List File,BB303.lst
Start Time,2016-09-27  13:29:07
Sampling Time,31 sec

Count,308
Particles / ml,23031

Efficiency,8.6%
PPUI,1.50

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),98.89,20.42,207.15,37.24,37.66
Aspect Ratio,0.77,0.22,0.99,0.12,15.19
Circle Fit,0.72,0.27,0.94,0.10,13.43
Circularity (Hu),0.92,0.36,1.00,0.07,7.85
Compactness,1.68,1.02,7.11,0.52,30.79
Diameter (ABD),11.01,5.10,16.24,2.17,19.68
Diameter (ESD),12.67,6.43,20.22,2.26,17.82
Elongation,2.84,1.00,20.29,1.76,61.84
Geodesic Aspect Ratio,0.46,0.05,1.00,0.24,52.25
Geodesic Length,19.54,7.07,56.30,5.93,30.33
Geodesic Thickness,7.84,1.92,16.70,2.27,29.00
Image Height,37.41,26.00,53.00,5.00,13.35
Image Width,36.89,20.00,49.00,4.95,13.42
Intensity,142.42,88.79,193.87,19.07,13.39
Length,14.57,7.32,22.92,2.60,17.87
Perimeter,54.77,28.30,122.76,10.88,19.86
Roughness,1.25,1.04,2.22,0.16,13.04
Sigma Intensity,40.93,15.09,55.57,7.65,18.70
Sum Intensity,69567.54,22251.00,1.48e+005,27000.82,38.81
Transparency,0.13,0.04,0.47,0.05,40.04
Volume (ABD),779.00,69.42,2242.77,428.25,54.97
Width,10.51,2.42,16.43,2.25,21.41

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,1,0.32,0.04,75,0.01
7-8um,7,2.27,0.44,523,0.12
8-9um,15,4.87,1.35,1122,0.36
0-5um,0,0.00,0.00,0.00,0.00
5-10um,37,12.01,3.57,2767,0.96
10-15um,228,74.03,70.19,17049,19
15-20um,41,13.31,24.88,3066,6.67
20-25um,1,0.32,1.21,75,0.32
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,14,4.55,1.75,1047,0.47
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

