List File,CH104.lst
Start Time,2016-09-27  12:23:44
Sampling Time,1 min 8 sec

Count,1872
Particles / ml,64613

Efficiency,8.5%
PPUI,2.60

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),69.32,20.01,245.23,25.56,36.87
Aspect Ratio,0.84,0.23,0.99,0.09,10.44
Circle Fit,0.76,0.03,0.95,0.09,12.14
Circularity (Hu),0.94,0.24,1.00,0.05,5.05
Compactness,1.67,1.00,9.13,0.63,37.79
Diameter (ABD),9.24,5.05,17.67,1.68,18.17
Diameter (ESD),10.69,6.02,23.26,2.06,19.24
Elongation,2.81,1.00,26.66,2.11,75.00
Geodesic Aspect Ratio,0.51,0.04,1.00,0.29,56.67
Geodesic Length,16.89,6.44,65.36,6.98,41.32
Geodesic Thickness,6.95,1.35,15.52,1.82,26.11
Image Height,33.88,24.00,66.00,4.46,13.16
Image Width,33.28,23.00,65.00,4.13,12.40
Intensity,134.32,92.55,181.73,15.78,11.75
Length,12.07,6.48,28.98,2.54,21.04
Perimeter,47.69,25.76,139.15,12.15,25.47
Roughness,1.25,1.03,2.17,0.16,12.60
Sigma Intensity,35.27,11.87,52.33,7.82,22.17
Sum Intensity,48841.59,18500.00,1.37e+005,16427.90,33.64
Transparency,0.13,0.03,0.56,0.05,34.61
Volume (ABD),455.56,67.34,2888.84,261.61,57.43
Width,9.14,3.93,17.57,1.72,18.83

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,42,2.24,0.48,1450,0.22
7-8um,107,5.72,1.83,3693,0.84
8-9um,246,13.14,6.10,8491,2.81
0-5um,0,0.00,0.00,0.00,0.00
5-10um,755,40.33,20.59,26059,9.48
10-15um,1078,57.59,72.17,37208,33
15-20um,32,1.71,5.47,1104,2.52
20-25um,4,0.21,1.70,138,0.78
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,360,19.23,12.17,12426,5.61
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

