List File,TT161.lst
Start Time,2016-09-23  14:59:41
Sampling Time,1 min 15 sec

Count,3263
Particles / ml,101675

Efficiency,8.5%
PPUI,3.72

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),112.87,20.63,330.33,37.08,32.86
Aspect Ratio,0.72,0.34,1.00,0.13,17.40
Circle Fit,0.69,0.08,0.93,0.10,14.50
Circularity (Hu),0.91,0.44,1.00,0.07,7.30
Compactness,1.62,1.00,12.39,0.45,27.54
Diameter (ABD),11.83,5.12,20.51,1.93,16.33
Diameter (ESD),13.52,6.45,25.67,2.12,15.66
Elongation,2.65,1.00,36.91,1.54,57.97
Geodesic Aspect Ratio,0.48,0.03,1.00,0.24,50.14
Geodesic Length,20.22,6.72,88.83,6.33,31.30
Geodesic Thickness,8.42,1.95,17.73,2.04,24.17
Image Height,38.81,22.00,75.00,5.40,13.93
Image Width,38.63,22.00,62.00,4.85,12.56
Intensity,129.45,72.91,188.59,17.86,13.80
Length,15.87,7.18,33.76,2.44,15.35
Perimeter,57.29,26.87,182.46,11.25,19.63
Roughness,1.21,1.04,2.53,0.13,10.68
Sigma Intensity,38.13,16.05,59.12,9.20,24.14
Sum Intensity,71132.58,16041.00,2.06e+005,27258.33,38.32
Transparency,0.13,0.03,0.43,0.04,30.81
Volume (ABD),937.63,70.47,4516.42,474.44,50.60
Width,10.86,3.26,19.06,2.34,21.59

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,8,0.25,0.03,249,0.04
7-8um,12,0.37,0.06,374,0.09
8-9um,32,0.98,0.24,997,0.33
0-5um,0,0.00,0.00,0.00,0.00
5-10um,139,4.26,1.22,4331,1.73
10-15um,2439,74.75,62.66,75999,89
15-20um,656,20.10,33.47,20441,47
20-25um,18,0.55,2.03,561,2.87
25-30um,2,0.06,0.38,62,0.54
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,85,2.60,0.88,2649,1.24
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

