List File,TT105.lst
Start Time,2016-09-16  11:27:47
Sampling Time,1 min 1 sec

Count,8
Particles / ml,303

Efficiency,8.6%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),109.68,21.45,196.57,61.71,56.26
Aspect Ratio,0.82,0.45,0.97,0.17,21.04
Circle Fit,0.74,0.58,0.87,0.08,11.48
Circularity (Hu),0.91,0.70,0.99,0.10,10.55
Compactness,1.91,1.26,2.86,0.53,27.85
Diameter (ABD),11.25,5.23,15.82,3.86,34.31
Diameter (ESD),13.03,7.18,16.69,3.72,28.57
Elongation,3.64,1.00,6.82,1.90,52.09
Geodesic Aspect Ratio,0.38,0.15,1.00,0.28,73.33
Geodesic Length,21.70,12.35,33.66,6.63,30.57
Geodesic Thickness,7.56,2.81,16.12,4.26,56.38
Image Height,39.38,30.00,45.00,5.60,14.23
Image Width,36.00,21.00,46.00,8.72,24.22
Intensity,132.90,100.00,173.33,24.27,18.26
Length,14.43,8.79,17.66,3.49,24.19
Perimeter,58.51,32.26,79.88,14.52,24.81
Roughness,1.32,1.11,1.72,0.22,16.62
Sigma Intensity,45.67,37.50,50.61,4.45,9.75
Sum Intensity,64733.75,26520.00,93937.00,27336.21,42.23
Transparency,0.15,0.05,0.27,0.07,47.89
Volume (ABD),960.38,74.74,2073.25,686.05,71.44
Width,11.36,3.59,16.08,4.35,38.34

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,2,25.00,3.84,76,0.02
8-9um,0,0.00,0.00,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2,25.00,3.84,76,0.02
10-15um,3,37.50,36.15,114,0.15
15-20um,3,37.50,60.01,114,0.25
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,0,0.00,0.00,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

