List File,CH101.lst
Start Time,2016-09-16  11:30:06
Sampling Time,1 min 8 sec

Count,21
Particles / ml,713

Efficiency,8.6%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),101.25,19.81,280.71,55.14,54.46
Aspect Ratio,0.88,0.77,0.99,0.07,7.89
Circle Fit,0.77,0.62,0.89,0.08,9.92
Circularity (Hu),0.95,0.84,0.99,0.04,3.84
Compactness,1.71,1.10,2.93,0.45,26.38
Diameter (ABD),10.97,5.02,18.91,3.01,27.40
Diameter (ESD),12.59,6.69,20.80,3.34,26.55
Elongation,2.99,1.00,7.07,1.53,51.26
Geodesic Aspect Ratio,0.43,0.14,1.00,0.23,55.11
Geodesic Length,20.27,10.91,40.41,7.85,38.72
Geodesic Thickness,7.52,3.19,11.27,2.25,29.94
Image Height,37.55,28.00,55.00,6.84,18.22
Image Width,36.50,25.00,50.00,5.89,16.14
Intensity,132.12,99.36,173.90,18.37,13.90
Length,13.60,7.46,23.54,3.67,26.97
Perimeter,55.58,34.15,92.25,15.74,28.31
Roughness,1.31,1.13,1.69,0.14,10.90
Sigma Intensity,42.14,25.96,52.07,7.81,18.52
Sum Intensity,62765.35,23893.00,1.45e+005,26634.06,42.43
Transparency,0.13,0.07,0.27,0.06,44.69
Volume (ABD),842.73,66.31,3538.01,732.22,86.89
Width,11.33,5.34,18.15,3.12,27.55

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,1,4.76,0.62,34,0.01
7-8um,1,4.76,0.94,34,0.01
8-9um,1,4.76,1.40,34,0.01
0-5um,0,0.00,0.00,0.00,0.00
5-10um,4,19.05,4.98,136,0.04
10-15um,13,61.90,54.01,441,0.46
15-20um,2,9.52,22.42,68,0.19
20-25um,1,4.76,18.59,34,0.16
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1,4.76,2.02,34,0.02
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

