sample_name,species,temp,rep,date,day,raw_abs_entry,abs,nitrate
TT161,TT,16,1,11-Aug-16,2,141,0.141,
TT162,TT,16,2,11-Aug-16,2,198,0.198,
TT163,TT,16,3,11-Aug-16,2,162,0.162,
TT164,TT,16,4,11-Aug-16,2,163,0.163,
TT165,TT,16,5,11-Aug-16,2,158,0.158,
CH161,CH,16,1,11-Aug-16,2,178,0.178,
CH162,CH,16,2,11-Aug-16,2,158,0.158,
CH163,CH,16,3,11-Aug-16,2,180,0.18,
CH164,CH,16,4,11-Aug-16,2,165,0.165,
CH165,CH,16,5,11-Aug-16,2,172,0.172,
BB161,BB,16,1,11-Aug-16,2,108,0.108,
BB162,BB,16,2,11-Aug-16,2,123,0.123,
BB163,BB,16,3,11-Aug-16,2,112,0.112,
BB164,BB,16,4,11-Aug-16,2,113,0.113,
BB165,BB,16,5,11-Aug-16,2,118,0.118,
TT251,TT,25,1,11-Aug-16,2,108,0.108,
TT252,TT,25,2,11-Aug-16,2,93,0.093,
TT253,TT,25,3,11-Aug-16,2,101,0.101,
TT254,TT,25,4,11-Aug-16,2,113,0.113,
TT255,TT,25,5,11-Aug-16,2,93,0.093,
CH251,CH,25,1,11-Aug-16,2,139,0.139,
CH252,CH,25,2,11-Aug-16,2,123,0.123,
CH253,CH,25,3,11-Aug-16,2,124,0.124,
CH254,CH,25,4,11-Aug-16,2,141,0.141,
CH255,CH,25,5,11-Aug-16,2,141,0.141,
BB251,BB,25,1,11-Aug-16,2,66,0.066,
BB252,BB,25,2,11-Aug-16,2,82,0.082,
BB253,BB,25,3,11-Aug-16,2,62,0.062,
BB254,BB,25,4,11-Aug-16,2,63,0.063,
BB255,BB,25,5,11-Aug-16,2,58,0.058,
ST10,Standard,NA,NA,11-Aug-16,2,50,0.05,10
ST20,Standard,NA,NA,11-Aug-16,2,113,0.113,20
ST30,Standard,NA,NA,11-Aug-16,2,146,0.146,30
CH161,CH,16,1,18-Aug-16,9,22,0.022,
TT161,TT,16,1,18-Aug-16,9,27,0.027,
BB161,BB,16,1,18-Aug-16,9,13,0.013,
CH251,CH,25,1,18-Aug-16,9,17,0.017,
TT251,TT,25,1,18-Aug-16,9,18,0.018,
BB251,BB,25,1,18-Aug-16,9,12,0.012,
CH162,CH,16,2,18-Aug-16,9,10,0.01,
TT162,TT,16,2,18-Aug-16,9,NA,NA,
BB162,BB,16,2,18-Aug-16,9,17,0.017,
CH252,CH,25,2,18-Aug-16,9,18,0.018,
TT252,TT,25,2,18-Aug-16,9,13,0.013,
BB252,BB,25,2,18-Aug-16,9,21,0.021,
CH163,CH,16,3,18-Aug-16,9,32,0.032,
TT163,TT,16,3,18-Aug-16,9,34,0.034,
BB163,BB,16,3,18-Aug-16,9,27,0.027,
CH253,CH,25,3,18-Aug-16,9,22,0.022,
TT253,TT,25,3,18-Aug-16,9,24,0.024,
BB253,BB,25,3,18-Aug-16,9,47,0.047,
CH164,CH,16,4,18-Aug-16,9,17,0.017,
