a,Temperature,N.Treatment,run,Species
1.067167623295195,13,0,1,CH
1.067167623319212,13,0,2,CH
0.910113387867157,13,0,3,CH
0.9268391343959195,13,0,4,CH
0.9101133880486193,13,0,5,CH
0.9268391343820991,13,0,6,CH
0.9268391343820991,13,0,7,CH
0.9101133880874559,13,0,8,CH
0.9268391344844354,13,0,9,CH
0.9101133880486193,13,0,10,CH
0.9226576529147437,13,0,11,CH
0.928920981053507,13,0,12,CH
0.9101133879760508,13,0,13,CH
0.9289209808935479,13,0,14,CH
0.9024245606833038,13,0,15,CH
0.9024245606833038,13,0,16,CH
0.910113388033373,13,0,17,CH
1.0671676233293677,13,0,18,CH
0.9268391347231754,13,0,19,CH
0.9101133880486193,13,0,20,CH
0.9226576529647934,13,0,21,CH
1.0671676233293677,13,0,22,CH
0.9289209809827023,13,0,23,CH
1.067167623319212,13,0,24,CH
0.910113387867157,13,0,25,CH
1.0671676233329799,13,0,26,CH
0.9289209809233805,13,0,27,CH
0.9268391344172312,13,0,28,CH
1.0671676233329799,13,0,29,CH
0.9268391344844354,13,0,30,CH
0.9268391343820991,13,0,31,CH
0.9268391343959195,13,0,32,CH
0.9101133879660978,13,0,33,CH
0.902424560649939,13,0,34,CH
1.067167623295195,13,0,35,CH
0.9289209810851938,13,0,36,CH
0.9289209809633554,13,0,37,CH
0.9101133880486193,13,0,38,CH
0.9289209809633554,13,0,39,CH
0.9268391344759205,13,0,40,CH
0.9226576527863084,13,0,41,CH
0.9268391344844354,13,0,42,CH
0.9289209809633554,13,0,43,CH
0.9226576529647934,13,0,44,CH
0.9268391344844354,13,0,45,CH
0.9268391344172304,13,0,46,CH
0.902424560649939,13,0,47,CH
0.9226576529647934,13,0,48,CH
0.9268391347316907,13,0,49,CH
0.902424560649939,13,0,50,CH
0.9226576529647934,13,0,51,CH
0.9226576529647934,13,0,52,CH
0.9024245606833038,13,0,53,CH
0.9289209809633554,13,0,54,CH
1.0671676234626204,13,0,55,CH
0.9101133879660978,13,0,56,CH
0.9024245606056132,13,0,57,CH
1.0671676234626202,13,0,58,CH
0.9226576529147437,13,0,59,CH
0.910113388033373,13,0,60,CH
0.9024245606056132,13,0,61,CH
0.9289209811158613,13,0,62,CH
0.9101133879660978,13,0,63,CH
0.9289209811158614,13,0,64,CH
1.0671676233329799,13,0,65,CH
0.9101133881970773,13,0,66,CH
1.0671676233349858,13,0,67,CH
0.9226576529647934,13,0,68,CH
1.067167623319212,13,0,69,CH
1.067167623319212,13,0,70,CH
1.0671676233293677,13,0,71,CH
0.9101133880486193,13,0,72,CH
0.9289209809827023,13,0,73,CH
0.9226576529647934,13,0,74,CH
0.9289209811158614,13,0,75,CH
0.9101133880486193,13,0,76,CH
0.9101133880486193,13,0,77,CH
0.9226576529647934,13,0,78,CH
0.9101133880486193,13,0,79,CH
