a,Temperature,N.Treatment,run,Species
1.0809851631163598,13,0,1,CS
1.0883294233302307,13,0,2,CS
1.0816912105903125,13,0,3,CS
1.176821807794328,13,0,4,CS
1.0883294231058478,13,0,5,CS
1.0533601212534618,13,0,6,CS
1.0883294232945442,13,0,7,CS
1.053360121277648,13,0,8,CS
1.0809851631163598,13,0,9,CS
1.0809851631748315,13,0,10,CS
1.176821807794328,13,0,11,CS
1.176821807087236,13,0,12,CS
1.0883294231058478,13,0,13,CS
1.176821807794328,13,0,14,CS
1.0809851631163598,13,0,15,CS
1.0883294232945442,13,0,16,CS
1.0533601212682138,13,0,17,CS
1.1768218070872363,13,0,18,CS
1.0816912105903125,13,0,19,CS
1.0809851631748315,13,0,20,CS
1.0816912104000318,13,0,21,CS
1.0809851633461358,13,0,22,CS
1.0809851631163598,13,0,23,CS
1.0816912104000318,13,0,24,CS
1.0809851631163598,13,0,25,CS
1.0533601212534618,13,0,26,CS
1.053360121277648,13,0,27,CS
1.0816912104000318,13,0,28,CS
1.0533601212534618,13,0,29,CS
1.053360121277648,13,0,30,CS
1.176821807087236,13,0,31,CS
1.1768218068165748,13,0,32,CS
1.0816912104000318,13,0,33,CS
1.0816912104000318,13,0,34,CS
1.0816912104000318,13,0,35,CS
1.0816912104000318,13,0,36,CS
1.0533601212534618,13,0,37,CS
1.0809851631163598,13,0,38,CS
1.0533601212534618,13,0,39,CS
1.0809851631163598,13,0,40,CS
1.0883294231672742,13,0,41,CS
1.088329423157457,13,0,42,CS
1.053360121277648,13,0,43,CS
1.0816912104000318,13,0,44,CS
1.176821807087236,13,0,45,CS
1.0883294232945442,13,0,46,CS
1.0816912105903125,13,0,47,CS
1.053360121277648,13,0,48,CS
1.0809851631163598,13,0,49,CS
1.0816912104000318,13,0,50,CS
1.0883294232945442,13,0,51,CS
1.0809851631163598,13,0,52,CS
1.0533601212534618,13,0,53,CS
1.0816912104000318,13,0,54,CS
1.0809851631748315,13,0,55,CS
1.0883294229611113,13,0,56,CS
1.0816912104000318,13,0,57,CS
1.0809851631748315,13,0,58,CS
1.0816912104000318,13,0,59,CS
1.053360121277648,13,0,60,CS
1.0816912104000318,13,0,61,CS
1.1768218068165748,13,0,62,CS
1.0883294232945442,13,0,63,CS
1.0809851631163598,13,0,64,CS
1.0809851631748315,13,0,65,CS
1.1768218064799567,13,0,66,CS
1.0816912104000318,13,0,67,CS
1.0816912105903125,13,0,68,CS
1.0533601212682138,13,0,69,CS
1.0809851631163598,13,0,70,CS
1.176821807794328,13,0,71,CS
1.0816912104000318,13,0,72,CS
1.176821807794328,13,0,73,CS
1.176821807087236,13,0,74,CS
1.0883294231672742,13,0,75,CS
1.0816912104000318,13,0,76,CS
1.0883294229611113,13,0,77,CS
1.0816912105903125,13,0,78,CS
1.176821807087236,13,0,79,CS
1.176821807087236,13,0,80,CS
1.0883294232945442,13,0,81,CS
1.053360121277648,13,0,82,CS
1.0883294232945442,13,0,83,CS
1.176821807087236,13,0,84,CS
1.0809851631163598,13,0,85,CS
1.0816912104000318,13,0,86,CS
1.088329423157457,13,0,87,CS
1.053360121277648,13,0,88,CS
1.0883294233302307,13,0,89,CS
1.088329423157457,13,0,90,CS
1.0816912105903125,13,0,91,CS
1.053360121277648,13,0,92,CS
