N.Treatment,Temperature,term,estimate,std.error,statistic,p.value
0,13,(Intercept),7.3623989180635805,0.29308299422013884,25.120525800734715,1.4909466307440914e-5
0,13,day,0.21591901599369395,0.05935312337078944,3.6378711638275503,0.02200604458987603
0,16,(Intercept),8.304369990997172,0.13176238271958604,63.02534774792559,2.5165498410008265e-4
0,16,day,0.07668146068855575,0.035024654579573135,2.189356657732106,0.16000504789319187
0,19,(Intercept),8.354291484269552,0.3320831421768537,25.15722848653487,0.001576327965828185
0,19,day,0.12038570847367648,0.088235967930487,1.3643609436972153,0.30569172759326235
0,22,(Intercept),8.085219762173677,0.268234781911326,30.142324215233646,7.215464892393882e-6
0,22,day,0.2093114805361048,0.08456216554395808,2.4752379411014265,0.06856031546845903
0,25,(Intercept),9.141777293690422,0.5156854465404663,17.727429298265175,0.0031669526561666043
0,25,day,0.009802937116463777,0.19785741661949605,0.04954546199961774,0.9649875479827146
0,28,(Intercept),9.352596368264942,0.2967295892747855,31.51892061429708,0.001005083607056099
0,28,day,-0.28751406924843814,0.11348417626184563,-2.5335168189884714,0.1268254236697784
11,13,(Intercept),4.758428398784,0.4954152386290585,9.604929416284804,6.56787540977117e-4
11,13,day,0.8140547528230516,0.10023224444053662,8.121685365491286,0.001249971355854213
11,16,(Intercept),6.89629542763759,0.6809012606782661,10.128187192322105,0.009608200438528511
11,16,day,0.6097453357530557,0.17991319399439712,3.389108504026917,0.07712477656496163
11,19,(Intercept),6.266772433062949,0.8879838730248808,7.057304331119713,0.0896106563879745
11,19,day,0.9695280226653767,0.2774197025011517,3.4948059345617377,0.17742096651628064
11,22,(Intercept),6.782721610065159,0.6418785705867591,10.566985596457728,4.5378737023189233e-4
11,22,day,0.8715068005387389,0.20101179285504667,4.335600355384117,0.012295403180058935
11,25,(Intercept),7.2548310554688165,0.4282471879595042,16.94075585186293,0.0034663445927447566
11,25,day,0.9297255379192791,0.16312485167903334,5.699472081351648,0.02943209528582199
11,28,(Intercept),7.2638156736365795,0.2525601783751633,28.76073227524653,0.0012067392732355343
11,28,day,0.8529678569158022,0.09588513481319798,8.895725688632986,0.012402206181326769
22,13,(Intercept),5.110030972526325,0.5366712053146475,9.521716317033146,0.002456652230124422
22,13,day,0.8041657282128019,0.1004737036302896,8.003743259747536,0.00407106565070964
22,16,(Intercept),5.33301942781331,0.7383496733892816,7.222891293948703,0.018633960617279607
22,16,day,1.035472466784504,0.1950176902816681,5.309633527547936,0.033688588761712414
22,19,(Intercept),5.072252336540191,1.0124920363735674,5.009671339942017,0.015311105571096247
22,19,day,1.1840721787761357,0.29491238465418046,4.014996454504954,0.02773534679745607
22,22,(Intercept),5.340388004571322,0.743949266326811,7.17843036654778,8.162919504434681e-4
22,22,day,1.2893818772352608,0.2500016251210975,5.157493982731916,0.003592265387018574
22,25,(Intercept),4.8758117772456995,0.39110958089836906,12.466612978506127,2.3809704748351774e-4
22,25,day,1.7183573159914571,0.17502861722547006,9.817579223504275,6.034986283735405e-4
22,28,(Intercept),3.523916248556515,0.6639258833839254,5.30769523639547,0.006055614096059358
22,28,day,2.3105775793751997,0.2958155685986802,7.810872126577818,0.0014498621800633801
33,13,(Intercept),5.457496711957798,0.5171383871239114,10.553261656536298,1.319689987932628e-4
33,13,day,0.7703736761478662,0.11252528201325793,6.846227464305305,0.0010152306910750832
33,16,(Intercept),4.768631436369404,0.6126213151373757,7.78397897451556,0.004412103168020961
33,16,day,1.21943172659519,0.17913943287535034,6.807165273564871,0.006483652556643185
33,19,(Intercept),5.569190547737218,0.9422554156498525,5.91048929540646,0.009673032981957569
33,19,day,1.2217091356579757,0.2743506143684562,4.453094222042475,0.02107507100030043
33,22,(Intercept),5.0227102518831686,0.6507575476779683,7.718251243962045,5.829183464466091e-4
33,22,day,1.4359695300427675,0.2182175500524103,6.580449325445566,0.0012166209579145004
33,25,(Intercept),5.054780335837674,0.7548381277912443,6.69650902588695,0.0025870278722943973
33,25,day,1.8043774352019057,0.33743989042430367,5.347255871062089,0.0058964892785423224
33,28,(Intercept),4.400340220111138,0.6084934746793234,7.231532305962889,0.0019399850261701853
33,28,day,2.085909062634272,0.27096085054747504,7.698193515482783,0.0015319828015179708
55,13,(Intercept),4.43065348437989,1.074252554763572,4.124405815683645,0.01456007145824161
55,13,day,0.8134586901116704,0.2171288517348023,3.746432975684023,0.020008934504098342
55,16,(Intercept),5.234876655933289,0.5633565811182834,9.292296977416804,0.011383827020901214
55,16,day,1.1719716713869819,0.14870136710650086,7.881377919999944,0.015720265616309223
55,19,(Intercept),4.663873830388361,0.5590479426583571,8.342529279708891,0.003610417656205075
55,19,day,1.399087593344363,0.16270928800539214,8.598695320318761,0.00330690360384668
55,22,(Intercept),5.326280557258998,0.3001561982712265,17.74502938115599,2.057406629698499e-6
55,22,day,1.231751699697996,0.08972263591366364,13.728438617020341,9.28614821940377e-6
55,25,(Intercept),5.373190499526851,0.5533725314186372,9.709897391820352,6.8489928557326e-5
55,25,day,1.4840928872548025,0.1953069447239293,7.598771714710917,2.703960552521422e-4
55,28,(Intercept),4.287071605035507,0.5437211628923154,7.884687773105066,0.0013990056901981801
55,28,day,1.8486252165876742,0.2419659303825526,7.640022765456954,0.0015766286179776045
110,13,(Intercept),4.795180979220381,0.5368475609832516,8.932109089660145,8.687395331488624e-4
110,13,day,0.7280428535383514,0.10847650025421957,6.7115260156084515,0.0025655222979314232
110,16,(Intercept),5.0621408411409865,0.466033516888411,10.8621819197461,4.076935628292348e-4
