"","r","K","temp","species"
"1",0.0393527614537621,16000,3,1
"2",-0.0437646959664044,379.28523088829,3,2
"3",-0.392970340386575,393.610629632217,3,3
"4",0.0442614545804589,15996.2631271005,3,4
"5",0.234497218059062,17357.9081759111,10,1
"6",0.107853857670698,13578.0319868643,10,2
"7",0.104987597697967,8185.63532467744,10,3
"8",0.181081988822226,28090.7338722982,10,4
"9",0.445987102989266,17357.9081759111,17,1
"10",1.35889075180434,13578.0319868643,17,2
"11",0.274989096119636,8185.63532467744,17,3
"12",0.606778928066199,28090.7338722982,17,4
"13",0.8,20000,24,1
"14",2.37775295579505,5685.62577139291,24,2
"15",0.262657807782936,7834.2012125701,24,3
"16",1.48444921213187,25127.1427238242,24,4
"17",0,0.1,31,1
"18",-0.0180459181730655,52.7309682918151,31,2
"19",-1,471.044644793104,31,3
"20",0.884795297048755,2998.13257749338,31,4
"21",-0.144018382068137,398.095270659466,38,1
"22",-1,258.03881600548,38,2
"23",-1,484.21089512692,38,3
"24",-0.051484844351414,213.209515062281,38,4
