term,estimate,std.error,statistic,p.value,Species
N_init,4.933643831464035,0.05911431772044589,83.45937197136311,2.2462832894276043e-280,AC
a,0.09468187780869898,0.713618725039402,0.1326785221386549,0.8945055212215343,AC
b,0.14594794023676333,0.16799334307328587,0.8687721642225704,0.3854238218879166,AC
z,-20,685.7321246658731,-0.02916590791155528,0.9767448929980098,AC
w,107.92584734205082,1367.5676890661211,0.0789181027052129,0.9371320080140944,AC
tn,2.3650503021128335,0.6934444346111863,3.41058372389839,7.052630541616197e-4,AC
ks_a,1.1226566603803967,0.03655855461370748,30.70845311700209,1.4795184599582474e-113,AC
ks_b,-17.45169566405458,3.4014002893976927,-5.130738572126382,4.260259474182964e-7,AC
N_init,5.215540247482303,0.07153261125825018,72.9113638624617,3.45194731231848e-228,CH
a,1.4486597394494372,1.458628329588426,0.9931657777812382,0.3212497331409506,CH
b,0.0043810490742326085,0.035846283323537176,0.1222176657672052,0.9027900750998686,CH
z,27.869997334966676,9.683936975185318,2.8779614537333704,0.004224492146927382,CH
w,40.46792290655254,16.994186009616918,2.3812804498933904,0.01773543531413415,CH
tn,0.3103145771291758,1.8061561460919178,0.17180938525200107,0.8636771910671731,CH
ks_a,0.978275267540804,0.042430977652187486,23.055685295772815,1.2193081526652197e-74,CH
ks_b,97.9753090479685,357.7533634296019,0.27386271958068653,0.784336230666218,CH
N_init,5.8498895159097435,0.05095262754053542,114.81036009881643,5.8441002925117e-310,CS
a,0.13013008592556996,0.6475326088135488,0.200962984959171,0.840828903018443,CS
b,0.13862475562209953,0.10379803998797539,1.335523827214451,0.18245875341547438,CS
z,-20,399.3052879462024,-0.05008699008938384,0.960077881770824,CS
w,100.49715364779155,798.0226086003424,0.12593271489394797,0.8998479870947388,CS
tn,0.23082256988566963,0.5950190788425216,0.3879246533315941,0.6982766137750875,CS
ks_a,1.0231654309121336,0.028442439155622504,35.973195734511194,6.949920651606804e-128,CS
ks_b,-96.937406097498,145.8107057184848,-0.66481679530894,0.5065479248329063,CS
N_init,6.058249384737996,0.06939381355345452,87.30244202635276,1.1367165116571242e-272,TT
a,0.27139498538151613,0.1446626744210098,1.8760539749989622,0.06133626056430625,TT
b,0.061343880538446305,0.025974157568021683,2.361727435347908,0.01864229069673406,TT
z,20.206350796858707,1.6451973993921583,12.282022087029942,7.265414833060379e-30,TT
w,26.120217900206725,1.3292003236926064,19.651076993152568,1.4763727835216467e-61,TT
tn,11.791779237736312,3.8443427318113823,3.0673069651571483,0.0022986858425286453,TT
ks_a,1.0732755872720638,0.03219008573437919,33.34180580096435,1.934634683880683e-120,TT
ks_b,14.055056557274574,16.32276053824495,0.8610710501047267,0.38968672869628584,TT
