a,Temperature,N.Treatment,run,Species
0.6729179335570021,13,0,1,AC
0.6646775167160526,13,0,2,AC
0.6689696582029054,13,0,3,AC
0.7554678399856579,13,0,4,AC
0.7554678394517593,13,0,5,AC
0.6689696579718469,13,0,6,AC
0.6689696581088218,13,0,7,AC
0.6646775164116518,13,0,8,AC
0.6729179335570021,13,0,9,AC
0.670069612125191,13,0,10,AC
0.6729179335570021,13,0,11,AC
0.6646775167160526,13,0,12,AC
0.6689696581576772,13,0,13,AC
0.6646775164116518,13,0,14,AC
0.6729179335570021,13,0,15,AC
0.7554678399856578,13,0,16,AC
0.6646775164116518,13,0,17,AC
0.6729179335570021,13,0,18,AC
0.755467839531398,13,0,19,AC
0.6689696581576772,13,0,20,AC
0.6729179333644674,13,0,21,AC
0.672917933661626,13,0,22,AC
0.6729179335570021,13,0,23,AC
0.6689696582922134,13,0,24,AC
0.755467839531398,13,0,25,AC
0.6689696582029054,13,0,26,AC
0.670069612125191,13,0,27,AC
0.672917933661626,13,0,28,AC
0.755467839531398,13,0,29,AC
0.6689696582922134,13,0,30,AC
0.6700696121581311,13,0,31,AC
0.672917933584704,13,0,32,AC
0.670069612125191,13,0,33,AC
0.6689696582232046,13,0,34,AC
0.672917933661626,13,0,35,AC
0.6646775164116518,13,0,36,AC
0.6689696581088218,13,0,37,AC
0.668969658030184,13,0,38,AC
0.670069612125191,13,0,39,AC
0.668969658030184,13,0,40,AC
0.6700696120312377,13,0,41,AC
0.6646775164116518,13,0,42,AC
0.6689696581576772,13,0,43,AC
0.7554678399856579,13,0,44,AC
0.6689696582326863,13,0,45,AC
0.6689696581088218,13,0,46,AC
0.7554678394517593,13,0,47,AC
0.6700696121630858,13,0,48,AC
0.6700696121630858,13,0,49,AC
0.6700696122701054,13,0,50,AC
0.6646775167160526,13,0,51,AC
0.6729179335570021,13,0,52,AC
0.6398313682370302,13,0,53,AC
0.6729179335570021,13,0,54,AC
0.6398313682370302,13,0,55,AC
0.6700696121630858,13,0,56,AC
0.6398313681661953,13,0,57,AC
0.6646775167160526,13,0,58,AC
0.7554678399856578,13,0,59,AC
0.6729179335570021,13,0,60,AC
0.6689696582326863,13,0,61,AC
0.6689696581088218,13,0,62,AC
0.6689696582922134,13,0,63,AC
0.6689696582326863,13,0,64,AC
0.6700696122701054,13,0,65,AC
0.755467839531398,13,0,66,AC
0.639831368210838,13,0,67,AC
0.7554678399856579,13,0,68,AC
0.6398313682370302,13,0,69,AC
0.6700696122243993,13,0,70,AC
0.6689696582756904,13,0,71,AC
0.670069612125191,13,0,72,AC
0.755467839531398,13,0,73,AC
0.6646775164116518,13,0,74,AC
0.6729179335570021,13,0,75,AC
0.7554678395352621,13,0,76,AC
0.6646775164116518,13,0,77,AC
0.6646775164116518,13,0,78,AC
0.670069612125191,13,0,79,AC
0.6729179335570021,13,0,80,AC
0.6689696581576772,13,0,81,AC
0.6646775164499498,13,0,82,AC
0.6689696581088218,13,0,83,AC
0.6398313682370302,13,0,84,AC
0.6398313681661953,13,0,85,AC
0.6646775164116518,13,0,86,AC
0.6689696582922134,13,0,87,AC
0.6646775164116518,13,0,88,AC
0.6689696582029054,13,0,89,AC
0.7554678399856578,13,0,90,AC
0.639831368210838,13,0,91,AC
0.6700696121630858,13,0,92,AC
0.670069612125191,13,0,93,AC
0.6689696582922134,13,0,94,AC
0.7554678394517593,13,0,95,AC
0.672917933661626,13,0,96,AC
0.6646775164116518,13,0,97,AC
0.6689696582326863,13,0,98,AC
0.6398313681661953,13,0,99,AC
0.6729179335570021,13,0,100,AC
0.6397566535972495,13,11,1,AC
0.642369971333214,13,11,2,AC
0.6461516206937563,13,11,3,AC
0.6423699713979497,13,11,4,AC
0.6397566535972495,13,11,5,AC
0.6423699713592242,13,11,6,AC
0.6496255614937255,13,11,7,AC
0.6496255615323157,13,11,8,AC
0.6442438001605244,13,11,9,AC
0.6448130909432109,13,11,10,AC
0.6397566535602074,13,11,11,AC
0.6442438001672707,13,11,12,AC
0.6397566534873265,13,11,13,AC
0.6442438001672707,13,11,14,AC
0.6496255614937255,13,11,15,AC
0.6461516206937563,13,11,16,AC
0.6397566534398975,13,11,17,AC
0.6448130909379433,13,11,18,AC
0.6461516206937563,13,11,19,AC
0.6448130909379433,13,11,20,AC
0.6461516206937563,13,11,21,AC
0.6442438001572885,13,11,22,AC
0.6397566534398975,13,11,23,AC
0.6442438001672707,13,11,24,AC
0.6496255615323157,13,11,25,AC
0.6448130909379433,13,11,26,AC
0.6461516206937563,13,11,27,AC
0.6448130909703488,13,11,28,AC
0.6423699713592242,13,11,29,AC
0.6496255614937255,13,11,30,AC
0.6448130909379433,13,11,31,AC
0.6461516206937563,13,11,32,AC
0.6442438001572885,13,11,33,AC
0.6496255615323157,13,11,34,AC
0.6448130909379433,13,11,35,AC
0.642369971333214,13,11,36,AC
0.6496255614937255,13,11,37,AC
0.6496255615323157,13,11,38,AC
0.6423699713345473,13,11,39,AC
0.6496255614937255,13,11,40,AC
0.6442438001605244,13,11,41,AC
0.6423699713345473,13,11,42,AC
0.6423699713345473,13,11,43,AC
0.6423699713979497,13,11,44,AC
0.6442438001672707,13,11,45,AC
0.6442438001672707,13,11,46,AC
0.6442438001672707,13,11,47,AC
0.6461516206937563,13,11,48,AC
0.6461516206937563,13,11,49,AC
0.6423699713979497,13,11,50,AC
0.6423699713979497,13,11,51,AC
0.6423699713979497,13,11,52,AC
0.6442438001572885,13,11,53,AC
0.6496255614937255,13,11,54,AC
0.6397566535972495,13,11,55,AC
0.6423699713979497,13,11,56,AC
0.6496255615323157,13,11,57,AC
0.6448130909379433,13,11,58,AC
0.6442438001605244,13,11,59,AC
0.6442438001605244,13,11,60,AC
0.649625561482055,13,11,61,AC
0.6397566535972495,13,11,62,AC
0.6448130909379433,13,11,63,AC
0.642369971333214,13,11,64,AC
0.6397566534873265,13,11,65,AC
0.6448130909703488,13,11,66,AC
0.6397566535602074,13,11,67,AC
0.6448130909379433,13,11,68,AC
0.6461516206937563,13,11,69,AC
0.6397566535972495,13,11,70,AC
0.6448130909379433,13,11,71,AC
0.6496255614937255,13,11,72,AC
0.6461516206937563,13,11,73,AC
0.6397566534398975,13,11,74,AC
0.6423699713979497,13,11,75,AC
0.6448130909379433,13,11,76,AC
0.6442438002005104,13,11,77,AC
0.6461516206937563,13,11,78,AC
0.6448130909459274,13,11,79,AC
0.6461516206937563,13,11,80,AC
0.6461516206937563,13,11,81,AC
0.6461516206937563,13,11,82,AC
0.642369971333214,13,11,83,AC
0.6442438001572885,13,11,84,AC
0.6423699713592242,13,11,85,AC
0.6442438001572885,13,11,86,AC
0.6448130909432109,13,11,87,AC
0.6423699713255178,13,11,88,AC
0.6461516207149113,13,11,89,AC
0.6448130909379433,13,11,90,AC
0.6442438001605244,13,11,91,AC
0.6442438001605244,13,11,92,AC
0.6397566535602074,13,11,93,AC
0.6423699713345473,13,11,94,AC
0.6448130909432109,13,11,95,AC
0.6423699713966797,13,11,96,AC
0.6397566534651766,13,11,97,AC
0.6496255614937255,13,11,98,AC
0.6423699713979497,13,11,99,AC
0.6461516206937563,13,11,100,AC
0.6731580665103827,13,110,1,AC
0.6729285344310758,13,110,2,AC
0.6731580665309091,13,110,3,AC
0.6729285343703845,13,110,4,AC
0.6836798544743018,13,110,5,AC
0.6784963924920474,13,110,6,AC
0.6017087535796591,13,110,7,AC
0.6736887113271826,13,110,8,AC
0.6729285344310758,13,110,9,AC
0.6731580665103827,13,110,10,AC
0.6017087535222272,13,110,11,AC
0.6836798544743018,13,110,12,AC
0.6732403657411931,13,110,13,AC
0.6836798544369669,13,110,14,AC
0.6017087536137544,13,110,15,AC
0.6017087535846437,13,110,16,AC
0.6732403657411931,13,110,17,AC
0.6784963925602713,13,110,18,AC
0.6017087535630804,13,110,19,AC
0.6017087535846489,13,110,20,AC
0.6736887113640465,13,110,21,AC
0.6017087535796591,13,110,22,AC
0.6731580665103827,13,110,23,AC
0.6784963924920474,13,110,24,AC
0.6731580665309091,13,110,25,AC
0.6784963925501951,13,110,26,AC
0.6732403657411931,13,110,27,AC
0.6784963925554053,13,110,28,AC
0.6017087535100081,13,110,29,AC
0.6017087535846489,13,110,30,AC
0.6736887112515634,13,110,31,AC
0.6729285343738369,13,110,32,AC
0.6729285344189755,13,110,33,AC
0.6731580665270418,13,110,34,AC
0.6836798544369669,13,110,35,AC
0.6731580665309091,13,110,36,AC
0.6017087535796591,13,110,37,AC
0.6736887113640465,13,110,38,AC
0.6784963925246293,13,110,39,AC
0.6836798544369669,13,110,40,AC
0.6731580665103827,13,110,41,AC
0.6732403657532327,13,110,42,AC
0.6731580665270419,13,110,43,AC
0.6729285343703845,13,110,44,AC
0.6732403657532327,13,110,45,AC
0.6731580665309091,13,110,46,AC
0.6729285343703845,13,110,47,AC
0.6729285343703845,13,110,48,AC
0.6017087535796591,13,110,49,AC
0.6731580665309091,13,110,50,AC
0.6732403658196536,13,110,51,AC
0.6017087535222273,13,110,52,AC
0.6729285343703845,13,110,53,AC
0.6736887112591666,13,110,54,AC
0.6017087535846489,13,110,55,AC
0.6836798544369669,13,110,56,AC
0.6784963925549651,13,110,57,AC
0.6784963925501951,13,110,58,AC
0.6836798544369669,13,110,59,AC
0.6836798544866393,13,110,60,AC
0.6736887112515632,13,110,61,AC
0.6736887112515634,13,110,62,AC
0.6784963925501951,13,110,63,AC
0.6736887113271826,13,110,64,AC
0.6836798544743018,13,110,65,AC
0.6784963924920474,13,110,66,AC
0.6731580665103827,13,110,67,AC
0.6731580665270418,13,110,68,AC
0.6836798544369669,13,110,69,AC
0.6729285343703845,13,110,70,AC
0.6729285344310758,13,110,71,AC
0.6836798544743018,13,110,72,AC
0.6017087535846489,13,110,73,AC
0.6836798544369669,13,110,74,AC
0.6784963925501951,13,110,75,AC
0.6784963925501951,13,110,76,AC
0.6731580665270418,13,110,77,AC
0.6836798544369669,13,110,78,AC
0.6017087535630804,13,110,79,AC
0.6017087535100081,13,110,80,AC
0.6729285343703831,13,110,81,AC
0.6017087535222272,13,110,82,AC
0.6732403657532327,13,110,83,AC
0.6731580665270418,13,110,84,AC
0.6784963924920474,13,110,85,AC
0.6736887112515634,13,110,86,AC
0.6732403657411931,13,110,87,AC
0.6729285343703831,13,110,88,AC
0.6731580665270419,13,110,89,AC
0.601708753579659,13,110,90,AC
0.6784963925549651,13,110,91,AC
0.6784963925554053,13,110,92,AC
0.6729285344310758,13,110,93,AC
0.6784963925501951,13,110,94,AC
0.6836798544743018,13,110,95,AC
0.6017087535222273,13,110,96,AC
0.6729285344310758,13,110,97,AC
0.6731580665309091,13,110,98,AC
0.6017087535630804,13,110,99,AC
0.6017087535100081,13,110,100,AC
0.7723266068603503,13,22,1,AC
0.5432111688535998,13,22,2,AC
0.5927541795243496,13,22,3,AC
0.599509936071186,13,22,4,AC
0.5992299358278286,13,22,5,AC
0.5992299354219982,13,22,6,AC
0.5927541795243496,13,22,7,AC
0.5992299359849125,13,22,8,AC
0.6011126769208981,13,22,9,AC
0.6011126767096824,13,22,10,AC
0.7723266067617621,13,22,11,AC
0.7723266068603503,13,22,12,AC
0.5978907476284132,13,22,13,AC
0.5992299358287808,13,22,14,AC
0.5992299358278286,13,22,15,AC
0.6011126764802672,13,22,16,AC
0.5432111688025445,13,22,17,AC
0.5992299358278286,13,22,18,AC
0.5432111688535998,13,22,19,AC
0.5927541795243496,13,22,20,AC
0.7723266068603503,13,22,21,AC
0.5432111687112172,13,22,22,AC
0.5978907475161295,13,22,23,AC
0.5432111688535998,13,22,24,AC
0.5995099365117569,13,22,25,AC
0.6011126767072522,13,22,26,AC
0.5978907476284132,13,22,27,AC
0.601112676486678,13,22,28,AC
0.6011126766669164,13,22,29,AC
0.5432111688535998,13,22,30,AC
0.5978907476284132,13,22,31,AC
0.7723266068603503,13,22,32,AC
0.5927541795243496,13,22,33,AC
0.5927541795243496,13,22,34,AC
0.5978907475991685,13,22,35,AC
0.5927541795618003,13,22,36,AC
0.5992299358287808,13,22,37,AC
0.5978907475161304,13,22,38,AC
0.5995099366386323,13,22,39,AC
0.5927541793261429,13,22,40,AC
0.5992299358278286,13,22,41,AC
0.5992299354219982,13,22,42,AC
0.5927541795243496,13,22,43,AC
0.5978907476284132,13,22,44,AC
0.5992299358287808,13,22,45,AC
0.599509936071186,13,22,46,AC
0.601112676486678,13,22,47,AC
0.5978907475161304,13,22,48,AC
0.5432111688025445,13,22,49,AC
0.5995099365801458,13,22,50,AC
0.5995099363797687,13,22,51,AC
0.5432111688535998,13,22,52,AC
0.7723266068603503,13,22,53,AC
0.5432111688535998,13,22,54,AC
0.601112676913656,13,22,55,AC
0.772326606581739,13,22,56,AC
0.6011126767072521,13,22,57,AC
0.5978907475161295,13,22,58,AC
0.5978907476284132,13,22,59,AC
0.5992299358287807,13,22,60,AC
0.5978907476284132,13,22,61,AC
0.7723266068603503,13,22,62,AC
0.5992299354219982,13,22,63,AC
0.5432111687631314,13,22,64,AC
0.5995099365801458,13,22,65,AC
0.6011126767096824,13,22,66,AC
0.5927541795243496,13,22,67,AC
0.5992299358278286,13,22,68,AC
0.5992299358278286,13,22,69,AC
0.599509936071186,13,22,70,AC
0.6011126764802672,13,22,71,AC
0.5992299358287808,13,22,72,AC
0.5995099365801458,13,22,73,AC
0.601112676486678,13,22,74,AC
0.5978907473939282,13,22,75,AC
0.5927541795243496,13,22,76,AC
0.5432111687112172,13,22,77,AC
0.599509936071186,13,22,78,AC
0.5927541795243496,13,22,79,AC
0.5432111688535998,13,22,80,AC
0.5978907473382371,13,22,81,AC
0.601112676486678,13,22,82,AC
0.5995099366386323,13,22,83,AC
0.5978907473939283,13,22,84,AC
0.6011126766733302,13,22,85,AC
0.5992299358278286,13,22,86,AC
0.5992299354219982,13,22,87,AC
0.7723266068255784,13,22,88,AC
0.5927541793261429,13,22,89,AC
0.5978907475161295,13,22,90,AC
0.5978907476284132,13,22,91,AC
0.7723266068603503,13,22,92,AC
0.5432111687112172,13,22,93,AC
0.599509936071186,13,22,94,AC
0.5995099360692998,13,22,95,AC
0.7723266068603503,13,22,96,AC
0.5927541795243496,13,22,97,AC
0.5995099360370332,13,22,98,AC
0.5992299358278286,13,22,99,AC
0.5927541795243496,13,22,100,AC
0.5743120836724965,13,220,1,AC
0.5845470962776359,13,220,2,AC
0.5664282950101607,13,220,3,AC
0.5845470962577907,13,220,4,AC
0.5764285248079022,13,220,5,AC
0.5780294061671162,13,220,6,AC
0.5664282949965855,13,220,7,AC
0.5777792666888513,13,220,8,AC
0.5780484074437519,13,220,9,AC
0.5780484074045945,13,220,10,AC
0.5806203424814351,13,220,11,AC
0.5664282951323241,13,220,12,AC
0.5777792666888513,13,220,13,AC
0.5780294061743122,13,220,14,AC
0.5743120836724965,13,220,15,AC
0.5780484074437519,13,220,16,AC
0.5664282949965854,13,220,17,AC
0.5777792666303455,13,220,18,AC
0.5764285247721399,13,220,19,AC
0.5764285247650942,13,220,20,AC
0.5780484074548579,13,220,21,AC
