curve.id.list,topt.list,maxgrowth.list,z.list,w.list,a.list,b.list,rsqr.list,s.list,n.list
1,23.683554678105942,2.7667852063989753,9.613302939403624,39.52155761125084,0.17607563828125433,0.1461665962654819,0.9888983327787638,0.06224330950779991,6
2,23.390295865962006,2.727389222195748,10.873280809308648,37.20560455648848,0.2263710369432887,0.13218080910482496,0.993121486993295,0.04591069499796041,6
3,23.29055183457895,2.689542247030027,15.55133351500316,28.138984044312338,0.28318131893930887,0.1121228696262311,0.9785885971807796,0.08216741536739848,6
4,23.675714742765322,2.692242049035268,8.429153708570924,42.041760276069546,0.18082331882899066,0.14560493519359288,0.9711294909588487,0.09450087730366429,6
5,23.78136216200079,2.7172655909234646,8.175279850235441,42.4429077065824,0.16344629876381886,0.1509235907292981,0.9815732143436032,0.07803924022663065,6
6,23.58597109628007,2.7641364031440094,11.906938672150856,35.045842753596226,0.19690408894512584,0.1369099577151305,0.9822380457766171,0.07793205642748299,6
7,23.543355583164686,2.7867800916547814,12.764544987113165,33.26980003166853,0.2035072194640586,0.1342808209110394,0.9926960085512904,0.050441550695574044,6
8,23.586548612099314,2.7673996991207126,8.892391951249843,41.03274143991064,0.19323674865883572,0.14335153133946793,0.9917862788829427,0.053103255169663376,6
9,23.637633042711563,2.6428623434203105,10.04395876830434,38.89750531894653,0.18649603940816487,0.14052472644285138,0.9707845024474182,0.09348188917288397,6
10,23.665300126389184,2.677141146289291,7.521654767342023,43.94638270695399,0.18677969162725563,0.14530244709504053,0.9720673706699996,0.09118403319211905,6
11,23.74672305751802,2.7480596111325912,7.329588983270578,44.10441133679484,0.1688959191483688,0.15148707140783582,0.9859807688338212,0.06788961705043395,6
12,23.469751517847683,2.6630942310505397,11.777430929273756,35.501915705094255,0.21699672782032425,0.13107467717557406,0.9897453623653665,0.05523590852895444,6
13,23.536546895610122,2.7435140542037426,10.006196010671852,38.98690710610952,0.20848875542338083,0.13742234988862925,0.9877659832530633,0.06317983790490021,6
14,23.443650285700222,2.632150881325494,12.083808367129096,34.972478910856914,0.22356952646364112,0.12856707839863526,0.992776828465512,0.045873591781391096,6
15,23.517179297516794,2.718023697978587,12.05828030677342,34.86319728051336,0.2105552363556611,0.1328292661657581,0.9874943478314802,0.0636128284994289,6
16,23.70724491783637,2.813622720600626,9.33772551575676,40.003130963061935,0.17220763857795252,0.14845503356554646,0.9853790882201596,0.07572971769115705,6
17,23.5817630109052,2.7239124285825334,8.382589413394978,42.19342107824803,0.19898527329532706,0.14199908682306844,0.954897406881038,0.11956108656118933,6
18,23.63280189080501,2.661899763481754,40.17262472806165,21.15908330175373,-0.014550403154844443,0.20487012850769903,0.9709463618030326,0.09267163579399738,6
