curve.id.list,topt.list,maxgrowth.list,z.list,w.list,a.list,b.list,rsqr.list,s.list,n.list
TT,24.846362525727578,1.1471552832949146,20.31026999788061,26.58935743452382,0.30661081888677494,0.05808611900988794,0.9992223503843669,0.006688789158951568,6
CS,23.60026805527731,0.6235363226612134,7.991625161575379,42.48931842615905,0.03885061366083498,0.15049708293494207,0.9496959881247186,0.03078462080493052,6
CH,26.52026199200116,1.492863552818064,23.71354198376632,31.486483040506265,0.828987911225862,0.023398939457805065,0.9617933565934996,0.06367123183420366,6
AC,27.08193981113105,1.2336821721421265,15.129245153626947,37.22289470184544,0.08719009495592527,0.11747540630074495,0.9944947653678832,0.022670576595474043,6
