term,estimate,std.error,statistic,p.value,Species,Temperature,N.Treatment
r,0.6867760184617154,0.08092652290355026,8.48641451307908,3.733791281044189e-4,CS,19,11
r,0.7306596763349911,0.07279268035319725,10.037543236349567,1.6790253770134479e-4,CS,19,22
r,0.7468842230122194,0.05704993759361617,13.091762314141338,4.6402425931819376e-5,CS,19,33
r,0.704432828480761,0.07169872165420499,9.824900810340283,1.8604896142541667e-4,CS,19,55
r,0.7190183308262922,0.07460972649202845,9.637058928276792,2.040517321579694e-4,CS,19,110
r,0.7036567186469859,0.09103548996019648,7.729476921084802,5.789772285782147e-4,CS,19,220
r,0.7523796677978049,0.04701028528866675,16.00457566206663,1.7341495422335618e-5,CS,19,440
r,0.7230730195799264,0.055194004394091584,13.100571837786969,4.625039859728378e-5,CS,19,330
r,0.39591018313232185,0.06346334346444446,6.238407268191469,4.289429498273953e-4,CS,22,0
r,0.7862206216804027,0.0477258595564549,16.473681752140738,3.188766263396743e-6,CS,22,11
r,0.8414349981453986,0.07128393401669234,11.803992158294214,2.2337825242867748e-5,CS,22,22
r,0.8556232084935201,0.057873562572558115,14.78435351929122,6.0201476398368125e-6,CS,22,33
r,0.8794064466585406,0.05497604570052152,15.99617497862707,3.7911918132366026e-6,CS,22,55
r,0.8156583797489242,0.04430088187207109,18.411786521639094,3.4552701732412063e-7,CS,22,110
r,0.8514776406247265,0.053227905864359874,15.996827731576332,3.790282321100649e-6,CS,22,220
r,0.7642123526379523,0.0798765405297815,9.567419264396161,7.448994721210965e-5,CS,22,440
r,0.7947762499680119,0.06855016169477673,11.59408279015877,2.4778544233361636e-5,CS,22,330
r,0.4445576440950342,0.06028219160514808,7.37460985172724,2.384405315308993e-5,CS,25,0
r,0.8231460285904129,0.07090823243133998,11.608610176363658,2.7591070015715713e-6,CS,25,11
r,0.8555036399043507,0.0583795773621491,14.65415952906545,1.3812086665827416e-7,CS,25,22
r,0.8401083859022169,0.05494262388679225,15.290649162173924,9.548009219997385e-8,CS,25,33
r,0.7727754918348579,0.0518772546840661,14.896229504453961,1.1981934768597915e-7,CS,25,55
r,0.7971407148718624,0.05124637029620607,15.555066832330898,8.224730113394786e-8,CS,25,110
r,0.8453870077249043,0.043072596838744745,19.627026689146824,1.0718708923293427e-8,CS,25,220
r,0.8687537170049004,0.04811957726191705,18.054059624760093,2.235096321546038e-8,CS,25,440
r,0.8712519277632025,0.03461512741770246,25.169687150064835,1.1855107792934657e-9,CS,25,330
r,0.3734218028455176,0.0605898728942104,6.163105895559644,1.660747878368905e-4,CS,28,0
r,0.511127756614241,0.04427074544915403,11.54549695128317,2.875730489967795e-6,CS,28,11
r,0.5278958321514698,0.04198225371326552,12.574261395230092,1.5002237002068906e-6,CS,28,22
r,0.54201457783971,0.03545446633808362,15.287624771198484,3.3255314020052277e-7,CS,28,33
r,0.5353487183828083,0.043864524877151,12.204594028594416,1.8845239290548837e-6,CS,28,55
r,0.5218886320465093,0.045074804657015195,11.578278286898474,2.814481945720007e-6,CS,28,110
r,0.5664946678673706,0.0426185171454841,13.292219105924405,9.798885542795284e-7,CS,28,220
r,0.5135657688382416,0.051389166111394324,9.993658346683516,8.528476594349078e-6,CS,28,440
r,0.570710940035619,0.06178951540044308,9.236371839736528,1.530947181329178e-5,CS,28,330
r,0.23310899794691772,0.05110801142470247,4.561104833639588,0.0026014919807320286,TT,13,0
r,0.40555258579189063,0.08144787149892396,4.979290168402357,0.0041782681817952305,TT,13,11
r,0.4595931821147808,0.025120722145003674,18.295380979172627,3.6092275753024165e-7,TT,13,22
r,0.3608260782346243,0.07573396200967124,4.764389299856606,0.002049003641559265,TT,13,33
r,0.40422884993396857,0.05352282990098964,7.55245659995445,1.3139243695542923e-4,TT,13,55
r,0.293608138088044,0.07750127319008136,3.7884298670543655,0.006816849932977897,TT,13,110
r,0.30455288656919516,0.059011755247005915,5.160885069329424,0.0013081788020167064,TT,13,220
r,0.46028786843073416,0.04117102768480272,11.179897474374636,1.0210404802713843e-5,TT,13,440
r,0.4830901445460067,0.047718928222970226,10.123658735349885,1.9728064172881674e-5,TT,13,330
r,0.3598701297576544,0.03822056421013994,9.415615315856082,3.177408320521977e-5,TT,16,0
r,0.5583723258919413,0.07331307319508937,7.616272263012186,6.202178283062574e-4,TT,16,11
r,0.49349415142913095,0.03961933440353769,12.455892024906554,4.948794231368604e-6,TT,16,22
r,0.5090266444512481,0.05377310616745652,9.466193804502797,3.067906102120001e-5,TT,16,33
r,0.50332300080044,0.040430022132790816,12.44923881434681,4.966623480873429e-6,TT,16,55
r,0.6009650167794256,0.037178452892319906,16.164336329970556,8.436048828062557e-7,TT,16,110
r,0.45335715991203085,0.0662225582991251,6.845962638052,2.4287455800862167e-4,TT,16,220
r,0.6736895506898555,0.03257016400584744,20.684254171053777,1.5501189684217953e-7,TT,16,440
r,0.7972134608768552,0.05933362828239162,13.436115133269936,2.9678319815754933e-6,TT,16,330
r,0.3176539055950622,0.08245215072952476,3.852584835986765,0.011969685542076185,TT,19,0
r,0.6143000382899857,0.043304815918771306,14.18549011828741,3.134960345795675e-5,TT,19,11
r,0.8612794241581778,0.06876573673339673,12.524833806366964,5.7574492676318675e-5,TT,19,22
r,0.6600826964756528,0.07415903530633576,8.900907269747869,2.97936167836424e-4,TT,19,33
r,0.7578629367763724,0.06377594991507642,11.883208917868524,7.43421933421353e-5,TT,19,55
r,0.7065331121604954,0.12446600215068028,5.676514871146552,0.0023623485034933714,TT,19,110
r,0.5857508150689827,0.1315436076787527,4.452902162296366,0.006684307457159366,TT,19,220
r,0.9774748393912936,0.07484544567289579,13.059910734759272,4.6957099716295576e-5,TT,19,440
r,1.0494229010633296,0.07226421858995115,14.522026551177007,2.794812388708002e-5,TT,19,330
r,0.6003594463352572,0.08063118779450282,7.445747269224624,7.293979135258515e-5,TT,22,0
r,0.7083963089045,0.09215001386896907,7.6874248756141315,5.8111320384149643e-5,TT,22,11
r,0.7026650680620725,0.06653572170994135,10.560719114542719,5.640260366514047e-6,TT,22,22
r,0.9446198843897383,0.06062186737614516,15.582164081627225,1.0838459231865625e-6,TT,22,33
r,0.8270015364706688,0.10977097699682782,7.533881533135736,6.709399559190249e-5,TT,22,55
r,0.8069854184135462,0.06799414694168089,11.86845419364852,2.3316302691308495e-6,TT,22,110
r,0.7841692412789212,0.14513524843018813,5.4030240741698,6.436905176143929e-4,TT,22,220
r,1.1572847962249333,0.06911329672038626,16.744748856460937,1.637549412151075e-7,TT,22,440
r,1.1075397588264633,0.0936838195598713,11.822102941892314,2.4021184795551916e-6,TT,22,330
r,0.4808361852441101,0.08787668222034102,5.471715284362543,3.9438015530073446e-4,TT,25,0
r,0.5881136467496729,0.1395412231918019,4.214622985935133,0.0055944434422824235,TT,25,11
r,0.5711353864915459,0.05578339962350342,10.238447106958096,2.9399279444850633e-6,TT,25,22
r,0.9738082716254781,0.11060648717337228,8.804260007815486,1.1914415353556058e-4,TT,25,33
r,1.3168756827777852,0.14793828547100007,8.901520512997486,1.1200294279340929e-4,TT,25,55
r,0.880024229979909,0.05770734244246333,15.249779191570475,9.772834154853395e-8,TT,25,110
r,0.9638927264764816,0.06259059863816498,15.399960176906545,8.974330963121095e-8,TT,25,220
r,1.1168824965574407,0.048306915422923515,23.12055089378438,2.5189551902889818e-9,TT,25,440
r,0.9618817910563605,0.04179501422463189,23.014271173270124,2.623956567052438e-9,TT,25,330
r,0.330384172627688,0.06702446324332727,4.929307250522143,8.141155125911933e-4,TT,28,0
r,0.5305982603187172,0.11595207775833949,4.576013389122348,0.003786396320349997,TT,28,11
r,0.522541599829249,0.06940355993025785,7.529031657084159,3.582113710134101e-5,TT,28,22
r,0.9314891164346129,0.10636308827478622,8.757635111422633,9.370571125994853e-4,TT,28,33
r,1.5197794405083074,0.15879704206545037,9.570577768582803,6.659357364127063e-4,TT,28,55
r,0.8796086363749095,0.06027207816927458,14.5939656154633,4.766106858041091e-7,TT,28,110
r,0.9302034723872233,0.06483833346738778,14.346504955360933,1.6599516577673526e-7,TT,28,220
r,0.9124509952269817,0.09404280095096018,9.702507645458061,4.598237034474753e-6,TT,28,440
r,0.867631006663804,0.06617587743380109,13.110986061827997,3.6095533284757624e-7,TT,28,330
