curve.id.list,topt.list,maxgrowth.list,z.list,w.list,a.list,b.list,rsqr.list,s.list,n.list
TT 1,26.368755282332796,1.469711075651103,-1.5920194691879288,65.17659533322866,0.028863290602380732,0.19958019011097017,0.9835766259475489,0.06164458046797282,5
TT 2,25.558019606799835,1.2430205343106315,-2.1625691685145445,66.46260862788156,0.060158854437456756,0.165056460257239,0.9934205372155761,0.03440243758560104,5
TT 3,25.99754236018608,1.3425169997804314,1.1313655261631992,59.51166852354704,0.035151849530194276,0.18621435254291865,0.9410477075859011,0.11388944919372432,5
TT 4,18.72977212949881,0.5357014450593147,15.689861469737222,31.46912994070079,0.3450274769117101,0.025520516385733633,0.9999976125968236,0.0010702909657469405,4
TT 5,25.99935013650468,1.4941197823376193,0.8833457603314213,60.33747765572822,0.045377314072740704,0.17983011776227995,0.9908472463594351,0.04786489350415781,5
CS 1,27.637637448047847,3.0464409448827503,13.231153302968607,35.30879563074942,0.004353008093359978,0.27669450831615094,0.987724568002999,0.09391292783008619,5
CS 2,23.3228554151954,1.6395329968588015,18.476407198793197,24.733002316509996,0.3379195828755858,0.07486674294729634,0.9750587098424425,0.1158233025742078,5
CS 3,24.729783197802107,2.162293911586903,17.391180547043028,27.359447286148583,0.19942305120352274,0.11010511396031834,0.9727035908240389,0.13872008700059543,5
CS 4,23.73444760428336,2.1551933150216214,19.21726444752602,23.776815058817622,0.42749305091396256,0.07472763818689915,0.9890311060216082,0.10039579871779443,5
CS 5,22.172415859794555,1.4416496084889083,17.337014233681753,27.625159863175046,0.456163298929844,0.05779381263096636,0.8421223149971041,0.25362803676968537,5
AC 1,25.494766839481933,0.8511211794970649,19.979827225063712,21.98637708772596,0.05074599336251394,0.12197150878106316,0.9198963410408645,0.10072274071901971,5
AC 2,18.37992803570458,0.4570397628964498,16.24464552784524,23.517337598703964,0.26270851223726277,0.03195099442932157,0.9840375940326633,0.039660260079329865,5
AC 3,19.933275775111042,0.42562176599416673,18.26711508297271,20.098813513264286,0.22257824200690865,0.033920460316248555,0.9309978098563642,0.08836968045541192,5
AC 4,21.495712269985027,0.4860264491761408,17.54192649383541,22.950498733041535,0.12743638169461463,0.06815400432660187,0.9795121598910107,0.045711402106482585,5
AC 5,17.572904985139548,0.39685721202633667,17.576337863628538,19.203273918985367,0.3974705954135471,-8.78785367367981e-5,0.951234121084725,0.08070450896282798,5
CH 1,27.984434175910657,1.3839634803575325,20.271689725617232,34.86315453828286,0.2941436984842914,0.06312464236966343,0.8820240560926808,0.20583210280890002,6
CH 2,27.764151219067408,1.3609259337130277,20.22370952363425,35.59273443318629,0.3310155179724256,0.058047160611651695,0.8974453850214675,0.1786117057943764,6
CH 3,26.190709249400136,1.340229128800512,19.123849309316707,36.18145542801924,0.41632596263640115,0.0509609772297486,0.9293795493877974,0.15650230741662602,6
CH 4,21.580840952723833,0.8886769210386438,19.817757273418714,35.11719718283516,0.699527802694336,0.011559412147687966,0.600029315306349,0.29417589033634284,6
CH 5,27.028640018827396,1.2432029573693444,19.917477964363304,35.96017725945869,0.3599148450821144,0.05215510880368437,0.8392980407550333,0.21282453454008748,6
