"","sample","date.sampled","date.measured","absorbance.1","absorbance.2","species","temp","rep","notes"
"79","1-03-5","2017-04-11","2017-06-26",0.065,0.062,1,3,5,""
"80","2-03-5","2017-04-11","2017-06-26",0.099,0.098,2,3,5,""
"81","1-10-5","2017-04-11","2017-06-26",0.023,0.021,1,10,5,""
"82","2-10-5","2017-04-11","2017-06-26",0.067,0.068,2,10,5,""
"83","1-17-5","2017-04-11","2017-06-26",0.025,0.027,1,17,5,""
"84","2-17-5","2017-04-11","2017-06-26",0.032,0.03,2,17,5,""
"85","1-24-5","2017-04-11","2017-06-26",0.022,0.019,1,24,5,""
"86","2-24-5","2017-04-11","2017-06-26",0.037,0.037,2,24,5,""
"87","1-31-5","2017-04-11","2017-06-26",0.023,0.022,1,31,5,""
"88","2-31-5","2017-04-11","2017-06-26",0.049,0.048,2,31,5,""
"89","1-38-5","2017-04-11","2017-06-26",0.052,0.055,1,38,5,""
"90","2-38-5","2017-04-11","2017-06-26",0.039,0.039,2,38,5,""
"91","BLANK",NA,"2017-06-27",0,0,NA,NA,NA,""
"92","3-03-1","2017-04-14","2017-06-27",0.03,0.03,3,3,1,""
"93","4-03-1","2017-04-14","2017-06-27",0.065,0.066,4,3,1,""
"94","3-10-1","2017-04-14","2017-06-27",0.053,0.053,3,10,1,""
"95","4-10-1","2017-04-14","2017-06-27",0.057,0.055,4,10,1,""
"96","3-17-1","2017-04-14","2017-06-27",0.052,0.055,3,17,1,""
"97","4-17-1","2017-04-14","2017-06-27",0.04,0.04,4,17,1,""
"98","3-24-1","2017-04-14","2017-06-27",0.065,0.064,3,24,1,"too much liquid - likely acid added twice"
"99","4-24-1","2017-04-14","2017-06-27",0.052,0.057,4,24,1,""
"100","3-31-1","2017-04-14","2017-06-27",0.051,0.053,3,31,1,""
"101","4-31-1","2017-04-14","2017-06-27",0.038,0.035,4,31,1,""
"102","3-38-1","2017-04-14","2017-06-27",0.048,0.047,3,38,1,""
"103","4-38-1","2017-04-14","2017-06-27",0.077,0.079,4,38,1,""
"104","3-03-2","2017-04-14","2017-06-27",0.011,0.011,3,3,2,""
"105","4-03-2","2017-04-14","2017-06-27",0.043,0.042,4,3,2,""
"106","3-10-2","2017-04-14","2017-06-27",0.038,0.037,3,10,2,""
"107","4-10-2","2017-04-14","2017-06-27",0.033,0.034,4,10,2,""
"108","3-17-2","2017-04-14","2017-06-27",0.077,0.078,3,17,2,""
"109","4-17-2","2017-04-14","2017-06-27",0.074,0.073,4,17,2,""
"110","3-24-2","2017-04-14","2017-06-27",0.044,0.043,3,24,2,""
"111","4-24-2","2017-04-14","2017-06-27",0.037,0.04,4,24,2,""
"112","3-31-2","2017-04-14","2017-06-27",0.036,0.034,3,31,2,""
"113","4-31-2","2017-04-14","2017-06-27",0.067,0.05,4,31,2,""
"114","3-38-2","2017-04-14","2017-06-27",0.038,0.038,3,38,2,""
"115","4-38-2","2017-04-14","2017-06-27",0.037,0.034,4,38,2,""
"116","3-03-3","2017-04-14","2017-06-27",0.044,0.034,3,3,3,""
"117","4-03-3","2017-04-14","2017-06-27",0.028,0.029,4,3,3,""
"118","3-10-3","2017-04-14","2017-06-27",0.053,0.049,3,10,3,""
"119","4-10-3","2017-04-14","2017-06-27",0.044,0.044,4,10,3,""
"120","3-17-3","2017-04-14","2017-06-27",0.045,0.046,3,17,3,""
"121","4-17-3","2017-04-14","2017-06-27",0.041,0.041,4,17,3,""
"122","3-24-3","2017-04-14","2017-06-27",0.051,0.049,3,24,3,""
"123","4-24-3","2017-04-14","2017-06-27",0.014,0.014,4,24,3,"don't see adequate cadmium"
"124","3-31-3","2017-04-14","2017-06-27",0.032,0.034,3,31,3,""
"125","4-31-3","2017-04-14","2017-06-27",0.042,0.04,4,31,3,""
"126","3-38-3","2017-04-14","2017-06-27",0.053,0.053,3,38,3,""
"127","4-38-3","2017-04-14","2017-06-27",0.046,0.044,4,38,3,""
"128","3-03-4","2017-04-14","2017-06-27",0.048,0.049,3,3,4,""
"129","4-03-4","2017-04-14","2017-06-27",0.042,0.038,4,3,4,""
"130","3-10-4","2017-04-14","2017-06-27",0.053,0.047,3,10,4,""
"131","4-10-4","2017-04-14","2017-06-27",0.05,0.044,4,10,4,""
"132","3-17-4","2017-04-14","2017-06-27",0.035,0.038,3,17,4,""
"133","4-17-4","2017-04-14","2017-06-27",0.045,0.045,4,17,4,""
"134","3-24-4","2017-04-14","2017-06-27",0.044,0.044,3,24,4,""
"135","4-24-4","2017-04-14","2017-06-27",0.022,0.026,4,24,4,""
"136","3-31-4","2017-04-14","2017-06-27",0.007,-0.02,3,31,4,""
"137","4-31-4","2017-04-14","2017-06-27",0.064,0.066,4,31,4,""
"138","3-38-4","2017-04-14","2017-06-27",0.074,0.073,3,38,4,""
"139","3-03-5","2017-04-14","2017-06-27",0.03,0.029,3,3,5,""
"140","4-03-5","2017-04-14","2017-06-27",0.05,0.05,4,3,5,""
"141","3-10-5","2017-04-14","2017-06-27",0.065,0.065,3,10,5,""
"142","4-10-5","2017-04-14","2017-06-27",0.058,0.054,4,10,5,""
"143","3-17-5","2017-04-14","2017-06-27",0.063,0.062,3,17,5,""
"144","4-17-5","2017-04-14","2017-06-27",0.053,0.054,4,17,5,""
"145","3-24-5","2017-04-14","2017-06-27",0.044,0.044,3,24,5,""
"146","4-24-5","2017-04-14","2017-06-27",0.043,0.04,4,24,5,""
"147","3-31-5","2017-04-14","2017-06-27",0.049,0.043,3,31,5,""
"148","4-31-5","2017-04-14","2017-06-27",0.042,0.044,4,31,5,""
"149","3-38-5","2017-04-14","2017-06-27",0.082,0.084,3,38,5,""
"150","4-38-5","2017-04-14","2017-06-27",0.035,0.04,4,38,5,""
"151","4-38-4","2017-04-14","2017-06-27",0.062,0.061,4,38,4,"low vol- done w 0.5ml"
"152","Blank","-","2017-06-28",-0.003,0.006,NA,NA,NA,NA
"153","1-03-1","2017-04-18","2017-06-28",0.028,0.026,1,3,1,NA
"154","2-03-1","2017-04-18","2017-06-28",0.034,0.035,2,3,1,NA
"155","3-03-1","2017-04-21","2017-06-28",0.031,0.028,3,3,1,NA
"156","4-03-1","2017-04-21","2017-06-28",0.026,0.024,4,3,1,NA
"157","1-10-1","2017-04-18","2017-06-28",-0.003,-0.007,1,10,1,NA
"158","2-10-1","2017-04-18","2017-06-28",0.01,0.011,2,10,1,NA
"159","3-10-1","2017-04-21","2017-06-28",0.019,0.019,3,10,1,NA
"160","4-10-1","2017-04-21","2017-06-28",-0.022,-0.021,4,10,1,NA
"161","1-17-1","2017-04-18","2017-06-28",0.025,0.028,1,17,1,NA
"162","2-17-1","2017-04-18","2017-06-28",-0.02,-0.019,2,17,1,NA
"163","3-17-1","2017-04-21","2017-06-28",0,-0.001,3,17,1,NA
"164","4-17-1","2017-04-21","2017-06-28",-0.007,-0.007,4,17,1,NA
"165","1-24-1","2017-04-18","2017-06-28",-0.007,-0.003,1,24,1,NA
"166","2-24-1","2017-04-18","2017-06-28",-0.004,0,2,24,1,NA
"167","3-24-1","2017-04-21","2017-06-28",-0.001,-0.002,3,24,1,NA
"168","4-24-1","2017-04-21","2017-06-28",0,-0.004,4,24,1,NA
"169","1-31-1","2017-04-18","2017-06-28",0.016,0.018,1,31,1,NA
"170","2-31-1","2017-04-18","2017-06-28",0.014,0.01,2,31,1,NA
"171","3-31-1","2017-04-21","2017-06-28",0.008,0.008,3,31,1,NA
"172","4-31-1","2017-04-21","2017-06-28",-0.005,-0.003,4,31,1,NA
"173","1-38-1","2017-04-18","2017-06-28",0.066,0.066,1,38,1,NA
"174","2-38-1","2017-04-18","2017-06-28",0.039,0.042,2,38,1,NA
