"","sample","date.sampled","date.measured","absorbance.1","absorbance.2","species","temp","rep","notes"
"350","1-38-3","2017-04-25","2017-06-29",0.039,0.038,1,38,3,""
"351","2-38-3","2017-04-25","2017-06-29",0.027,0.024,2,38,3,""
"352","3-38-3","2017-04-28","2017-06-29",0.031,0.029,3,38,3,""
"353","4-38-3","2017-04-28","2017-06-29",0.049,0.047,4,38,3,""
"354","1-03-4","2017-04-25","2017-06-29",0.04,0.038,1,3,4,""
"355","2-03-4","2017-04-25","2017-06-29",0.062,0.063,2,3,4,""
"356","3-03-4","2017-04-28","2017-06-29",0.039,0.04,3,3,4,""
"357","4-03-4","2017-04-28","2017-06-29",0.045,0.042,4,3,4,""
"358","1-10-4","2017-04-25","2017-06-29",0.006,0.008,1,10,4,""
"359","2-10-4","2017-04-25","2017-06-29",0.024,0.024,2,10,4,""
"360","3-10-4","2017-04-28","2017-06-29",0.033,0.037,3,10,4,"floatie in sample"
"361","4-10-4","2017-04-28","2017-06-29",0.022,0.018,4,10,4,""
"362","1-17-4","2017-04-25","2017-06-29",0.015,0.016,1,17,4,""
"363","2-17-4","2017-04-25","2017-06-29",0.029,0.03,2,17,4,""
"364","3-17-4","2017-04-28","2017-06-29",0.018,0.018,3,17,4,""
"365","4-17-4","2017-04-28","2017-06-29",0.011,0.012,4,17,4,"0.5ml"
"366","1-24-4","2017-04-25","2017-06-29",0.016,0.017,1,24,4,""
"367","2-24-4","2017-04-25","2017-06-29",0.014,0.011,2,24,4,""
"368","3-24-4","2017-04-28","2017-06-29",0.024,0.023,3,24,4,""
"369","4-24-4","2017-04-28","2017-06-29",0.009,0.013,4,24,4,""
"370","1-31-4","2017-04-25","2017-06-29",0.025,0.026,1,31,4,""
"371","2-31-4","2017-04-25","2017-06-29",0.015,0.016,2,31,4,""
"372","3-31-4","2017-04-28","2017-06-29",0.03,0.034,3,31,4,""
"373","4-31-4","2017-04-28","2017-06-29",0.02,0.016,4,31,4,""
"374","1-38-4","2017-04-25","2017-06-29",0.034,0.035,1,38,4,""
"375","2-38-4","2017-04-25","2017-06-29",0.028,0.027,2,38,4,""
"376","3-38-4","2017-04-28","2017-06-29",0.034,0.031,3,38,4,""
"377","4-38-4","2017-04-28","2017-06-29",0.054,0.051,4,38,4,""
"378","1-03-5","2017-04-25","2017-06-29",0.023,0.023,1,3,5,""
"379","2-03-5","2017-04-25","2017-06-29",0.036,0.033,2,3,5,""
"380","3-03-5","2017-04-28","2017-06-29",0.032,0.031,3,3,5,""
"381","4-03-5","2017-04-28","2017-06-29",0.056,0.054,4,3,5,""
"382","1-10-5","2017-04-25","2017-06-29",0.01,0.01,1,10,5,""
"383","2-10-5","2017-04-25","2017-06-29",0.007,0.008,2,10,5,""
"384","3-10-5","2017-04-28","2017-06-29",0.014,0.011,3,10,5,""
"385","4-10-5","2017-04-28","2017-06-29",0.006,0,4,10,5,""
"386","1-17-5","2017-04-25","2017-06-29",0.002,0.007,1,17,5,""
"387","2-17-5","2017-04-25","2017-06-29",0.009,0.007,2,17,5,""
"388","3-17-5","2017-04-28","2017-06-29",0.007,0.007,3,17,5,""
"389","4-17-5","2017-04-28","2017-06-29",0.01,0.01,4,17,5,""
"390","1-24-5","2017-04-25","2017-06-29",0.01,0.012,1,24,5,""
"391","2-24-5","2017-04-25","2017-06-29",0.008,0.009,2,24,5,""
"392","3-24-5","2017-04-28","2017-06-29",0.043,0.042,3,24,5,""
"393","4-24-5","2017-04-28","2017-06-29",0.012,0.01,4,24,5,""
"394","1-31-5","2017-04-25","2017-06-29",0.018,0.018,1,31,5,""
"395","2-31-5","2017-04-25","2017-06-29",0.026,0.024,2,31,5,""
"396","3-31-5","2017-04-28","2017-06-29",0.031,0.028,3,31,5,""
"397","4-31-5","2017-04-28","2017-06-29",0.084,0.084,4,31,5,""
"398","1-38-5","2017-04-25","2017-06-29",0.022,0.02,1,38,5,""
"399","2-38-5","2017-04-25","2017-06-29",0.024,0.024,2,38,5,""
"400","3-38-5","2017-04-28","2017-06-29",0.026,0.025,3,38,5,""
"401","4-38-5","2017-04-28","2017-06-29",0.011,0.008,4,38,5,""
"402","Blank","-","2017-06-30",-0.001,0.002,NA,NA,NA,""
"403","1-03-1","2017-05-02","2017-06-30",0.043,0.045,1,3,1,""
"404","2-03-1","2017-05-02","2017-06-30",0.054,0.055,2,3,1,""
"405","3-03-1","2017-05-05","2017-06-30",0.064,0.062,3,3,1,""
"406","4-03-1","2017-05-05","2017-06-30",0.023,0.027,4,3,1,""
"407","1-10-1","2017-05-02","2017-06-30",0.02,0.023,1,10,1,""
"408","2-10-1","2017-05-02","2017-06-30",0.041,0.042,2,10,1,""
"409","3-10-1","2017-05-05","2017-06-30",0.027,0.029,3,10,1,""
"410","4-10-1","2017-05-05","2017-06-30",0.033,0.033,4,10,1,""
"411","1-17-1","2017-05-02","2017-06-30",0.034,0.032,1,17,1,""
"412","2-17-1","2017-05-02","2017-06-30",0.031,0.029,2,17,1,""
"413","3-17-1","2017-05-05","2017-06-30",0.034,0.031,3,17,1,""
"414","4-17-1","2017-05-05","2017-06-30",0.028,0.031,4,17,1,""
"415","1-24-1","2017-05-02","2017-06-30",0.037,0.038,1,24,1,""
"416","2-24-1","2017-05-02","2017-06-30",0.046,0.036,2,24,1,""
"417","3-24-1","2017-05-05","2017-06-30",0.032,0.032,3,24,1,""
"418","4-24-1","2017-05-05","2017-06-30",0.023,0.026,4,24,1,""
"419","1-31-1","2017-05-02","2017-06-30",0.051,0.054,1,31,1,""
"420","2-31-1","2017-05-02","2017-06-30",0.047,0.05,2,31,1,""
"421","3-31-1","2017-05-05","2017-06-30",0.046,0.046,3,31,1,""
"422","4-31-1","2017-05-05","2017-06-30",0.043,0.035,4,31,1,""
"423","1-38-1","2017-05-02","2017-06-30",0.042,0.043,1,38,1,""
"424","2-38-1","2017-05-02","2017-06-30",0.04,0.043,2,38,1,""
"425","3-38-1","2017-05-05","2017-06-30",0.029,0.029,3,38,1,""
"426","4-38-1","2017-05-05","2017-06-30",0.057,0.057,4,38,1,""
"427","1-03-2","2017-05-02","2017-06-30",0.055,0.056,1,3,2,""
"428","2-03-2","2017-05-02","2017-06-30",0.079,0.084,2,3,2,""
"429","3-03-2","2017-05-05","2017-06-30",0.075,0.074,3,3,2,""
"430","4-03-2","2017-05-05","2017-06-30",0.037,0.039,4,3,2,""
"431","1-10-2","2017-05-02","2017-06-30",0.029,0.033,1,10,2,""
"432","2-10-2","2017-05-02","2017-06-30",0.032,0.036,2,10,2,""
"433","3-10-2","2017-05-05","2017-06-30",0.04,0.04,3,10,2,""
"434","4-10-2","2017-05-05","2017-06-30",0.096,0.09,4,10,2,""
"435","1-17-2","2017-05-02","2017-06-30",0.033,0.03,1,17,2,""
"436","2-17-2","2017-05-02","2017-06-30",0.029,0.029,2,17,2,""
"437","3-17-2","2017-05-05","2017-06-30",0.021,0.022,3,17,2,""
"438","4-17-2","2017-05-05","2017-06-30",0.025,0.027,4,17,2,""
"439","1-24-2","2017-05-02","2017-06-30",0.033,0.034,1,24,2,""
"440","2-24-2","2017-05-02","2017-06-30",0.035,0.035,2,24,2,""
"441","3-24-2","2017-05-05","2017-06-30",0.027,0.026,3,24,2,""
"442","4-24-2","2017-05-05","2017-06-30",0.027,0.028,4,24,2,""
"443","1-31-2","2017-05-02","2017-06-30",0.056,0.057,1,31,2,""
"444","2-31-2","2017-05-02","2017-06-30",0.046,0.048,2,31,2,""
"445","3-31-2","2017-05-05","2017-06-30",0.054,0.052,3,31,2,""
"446","4-31-2","2017-05-05","2017-06-30",0.079,0.076,4,31,2,""
"447","1-38-2","2017-05-02","2017-06-30",0.044,0.042,1,38,2,""
"448","2-38-2","2017-05-02","2017-06-30",0.04,0.04,2,38,2,""
"449","3-38-2","2017-05-05","2017-06-30",0.048,0.049,3,38,2,""
"450","4-38-2","2017-05-05","2017-06-30",0.078,0.079,4,38,2,""
"451","1-03-3","2017-05-02","2017-06-30",0.039,0.037,1,3,3,""
"452","2-03-3","2017-05-02","2017-06-30",0.058,0.056,2,3,3,""
"453","3-03-3","2017-05-05","2017-06-30",0.058,0.059,3,3,3,""
"454","4-03-3","2017-05-05","2017-06-30",0.039,0.037,4,3,3,""
"455","1-10-3","2017-05-02","2017-06-30",0.036,0.036,1,10,3,""
"456","2-10-3","2017-05-02","2017-06-30",0.033,0.038,2,10,3,""
"457","3-10-3","2017-05-05","2017-06-30",0.047,0.045,3,10,3,""
"458","4-10-3","2017-05-05","2017-06-30",0.036,0.037,4,10,3,""
"459","1-17-3","2017-05-02","2017-06-30",0.03,0.032,1,17,3,""
"460","2-17-3","2017-05-02","2017-06-30",0.031,0.033,2,17,3,""
"461","3-17-3","2017-05-05","2017-06-30",0.026,0.027,3,17,3,""
"462","4-17-3","2017-05-05","2017-06-30",0.027,0.03,4,17,3,""
"463","1-24-3","2017-05-02","2017-06-30",0.034,0.031,1,24,3,""
"464","2-24-3","2017-05-02","2017-06-30",0.032,0.026,2,24,3,"0.5ml"
"465","3-24-3","2017-05-05","2017-06-30",0.041,0.038,3,24,3,""
"466","4-24-3","2017-05-05","2017-06-30",0.028,0.029,4,24,3,""
"467","1-31-3","2017-05-02","2017-06-30",0.106,0.107,1,31,3,""
"468","2-31-3","2017-05-02","2017-06-30",0.046,0.047,2,31,3,""
"469","3-31-3","2017-05-05","2017-06-30",0.046,0.044,3,31,3,""
"470","4-31-3","2017-05-05","2017-06-30",0.043,0.048,4,31,3,"0.5ml"
"471","1-38-3","2017-05-02","2017-06-30",0.048,0.047,1,38,3,""
"472","2-38-3","2017-05-02","2017-06-30",0.046,0.038,2,38,3,""
"473","3-38-3","2017-05-05","2017-06-30",0.033,0.034,3,38,3,""
"474","4-38-3","2017-05-05","2017-06-30",0.054,0.055,4,38,3,""
"475","1-03-4","2017-05-02","2017-06-30",0.046,0.042,1,3,4,""
"476","2-03-4","2017-05-02","2017-06-30",0.054,0.056,2,3,4,""
"477","3-03-4","2017-05-05","2017-06-30",0.051,0.05,3,3,4,""
"478","4-03-4","2017-05-05","2017-06-30",0.045,0.036,4,3,4,""
"479","1-10-4","2017-05-02","2017-06-30",0.027,0.026,1,10,4,""
"480","2-10-4","2017-05-02","2017-06-30",0.033,0.037,2,10,4,""
"481","3-10-4","2017-05-05","2017-06-30",0.037,0.036,3,10,4,""
"482","4-10-4","2017-05-05","2017-06-30",0.022,0.017,4,10,4,""
"483","1-17-4","2017-05-02","2017-06-30",0.028,0.029,1,17,4,""
"484","2-17-4","2017-05-02","2017-06-30",0.025,0.022,2,17,4,""
"485","3-17-4","2017-05-05","2017-06-30",0.037,0.037,3,17,4,""
"486","4-17-4","2017-05-05","2017-06-30",0.027,0.025,4,17,4,""
"487","1-24-4","2017-05-02","2017-06-30",0.031,0.027,1,24,4,""
"488","2-24-4","2017-05-02","2017-06-30",0.029,0.026,2,24,4,""
"489","3-24-4","2017-05-05","2017-06-30",0.024,0.024,3,24,4,""
"490","4-24-4","2017-05-05","2017-06-30",0.028,0.028,4,24,4,""
"491","1-31-4","2017-05-02","2017-06-30",0.083,0.088,1,31,4,""
"492","2-31-4","2017-05-02","2017-06-30",0.04,0.029,2,31,4,""
"493","3-31-4","2017-05-05","2017-06-30",0.037,0.033,3,31,4,""
"494","4-31-4","2017-05-05","2017-06-30",0.032,0.032,4,31,4,""
"495","1-38-4","2017-05-02","2017-06-30",0.043,0.042,1,38,4,""
"496","2-38-4","2017-05-02","2017-06-30",0.064,0.062,2,38,4,""
"497","3-38-4","2017-05-05","2017-06-30",0.042,0.042,3,38,4,""
"498","4-38-4","2017-05-05","2017-06-30",0.071,0.07,4,38,4,""
"499","1-03-5","2017-05-02","2017-06-30",0.025,0.024,1,3,5,""
"500","2-03-5","2017-05-02","2017-06-30",0.057,0.057,2,3,5,""
"501","3-03-5","2017-05-05","2017-06-30",0.05,0.054,3,3,5,""
"502","4-03-5","2017-05-05","2017-06-30",0.041,0.037,4,3,5,""
"503","1-10-5","2017-05-02","2017-06-30",0.034,0.034,1,10,5,""
"504","2-10-5","2017-05-02","2017-06-30",0.027,0.034,2,10,5,""
"505","3-10-5","2017-05-05","2017-06-30",0.031,0.048,3,10,5,""
"506","4-10-5","2017-05-05","2017-06-30",0.042,0.038,4,10,5,""
"507","1-17-5","2017-05-02","2017-06-30",0.033,0.031,1,17,5,""
"508","2-17-5","2017-05-02","2017-06-30",0.048,0.046,2,17,5,""
"509","3-17-5","2017-05-05","2017-06-30",0.029,0.026,3,17,5,""
"510","4-17-5","2017-05-05","2017-06-30",0.034,0.028,4,17,5,""
"511","1-24-5","2017-05-02","2017-06-30",0.029,0.028,1,24,5,""
"512","2-24-5","2017-05-02","2017-06-30",0.079,0.083,2,24,5,""
"513","3-24-5","2017-05-05","2017-06-30",0.055,0.053,3,24,5,""
"514","4-24-5","2017-05-05","2017-06-30",0.029,0.031,4,24,5,""
"515","1-31-5","2017-05-02","2017-06-30",0.045,0.044,1,31,5,""
"516","2-31-5","2017-05-02","2017-06-30",0.038,0.038,2,31,5,""
"517","3-31-5","2017-05-05","2017-06-30",0.049,0.043,3,31,5,""
"518","4-31-5","2017-05-05","2017-06-30",0.023,0.024,4,31,5,""
"519","1-38-5","2017-05-02","2017-06-30",0.032,0.029,1,38,5,""
"520","2-38-5","2017-05-02","2017-06-30",0.031,0.034,2,38,5,""
"521","3-38-5","2017-05-05","2017-06-30",0.043,0.05,3,38,5,""
"522","4-38-5","2017-05-05","2017-06-30",0.04,0.038,4,38,5,""
"523","Blank","-","",NA,NA,NA,NA,NA,""
"524","1-03-1","2017-05-09","2017-06-30",0.02,0.016,1,3,1,""
"525","2-03-1","2017-05-09","2017-06-30",0.034,0.032,2,3,1,""
"526","1-10-1","2017-05-09","2017-06-30",0.004,0.001,1,10,1,""
"527","2-10-1","2017-05-09","2017-06-30",0,0.005,2,10,1,""
"528","1-17-1","2017-05-09","2017-06-30",0.013,0.006,1,17,1,""
"529","2-17-1","2017-05-09","2017-06-30",0.001,0,2,17,1,""
"530","1-24-1","2017-05-09","2017-06-30",0.001,0.001,1,24,1,""
"531","2-24-1","2017-05-09","2017-06-30",0.002,0.001,2,24,1,""
"532","1-31-1","2017-05-09","2017-06-30",0.031,0.034,1,31,1,""
"533","2-31-1","2017-05-09","2017-06-30",0.014,0.018,2,31,1,""
"534","1-38-1","2017-05-09","2017-06-30",0.051,0.044,1,38,1,""
"535","2-38-1","2017-05-09","2017-06-30",0.034,0.03,2,38,1,""
"536","1-03-2","2017-05-09","2017-06-30",0.029,0.029,1,3,2,""
"537","2-03-2","2017-05-09","2017-06-30",0.048,0.047,2,3,2,""
"538","1-10-2","2017-05-09","2017-06-30",0.011,0.013,1,10,2,""
"539","2-10-2","2017-05-09","2017-06-30",0.024,0.026,2,10,2,""
"540","1-17-2","2017-05-09","2017-06-30",0.025,0.032,1,17,2,""
"541","2-17-2","2017-05-09","2017-06-30",0.02,0.017,2,17,2,"0.5 ml"
"542","1-24-2","2017-05-09","2017-06-30",0.022,0.02,1,24,2,""
"543","2-24-2","2017-05-09","2017-06-30",0.032,0.03,2,24,2,""
"544","1-31-2","2017-05-09","2017-06-30",0.047,0.042,1,31,2,""
"545","2-31-2","2017-05-09","2017-06-30",0.041,0.037,2,31,2,""
"546","1-38-2","2017-05-09","2017-06-30",0.037,0.041,1,38,2,""
"547","2-38-2","2017-05-09","2017-06-30",0.041,0.039,2,38,2,""
"548","1-03-3","2017-05-09","2017-06-30",0.048,0.047,1,3,3,""
"549","2-03-3","2017-05-09","2017-06-30",0.051,0.05,2,3,3,""
"550","1-10-3","2017-05-09","2017-06-30",0.013,0.018,1,10,3,""
"551","2-10-3","2017-05-09","2017-06-30",0.018,0.018,2,10,3,""
"552","1-17-3","2017-05-09","2017-06-30",0.015,0.014,1,17,3,""
"553","2-17-3","2017-05-09","2017-06-30",0.01,0.013,2,17,3,""
"554","1-24-3","2017-05-09","2017-06-30",0.034,0.031,1,24,3,""
"555","2-24-3","2017-05-09","2017-06-30",0.039,0.04,2,24,3,""
"556","1-31-3","2017-05-09","2017-06-30",0.045,0.049,1,31,3,""
"557","2-31-3","2017-05-09","2017-06-30",0.036,0.035,2,31,3,""
"558","1-38-3","2017-05-09","2017-06-30",0.05,0.053,1,38,3,""
"559","2-38-3","2017-05-09","2017-06-30",0.031,0.03,2,38,3,""
"560","1-03-4","2017-05-09","2017-06-30",0.025,0.025,1,3,4,""
"561","2-03-4","2017-05-09","2017-06-30",0.036,0.037,2,3,4,""
"562","1-10-4","2017-05-09","2017-06-30",0.017,0.019,1,10,4,""
"563","2-10-4","2017-05-09","2017-06-30",0.023,0.023,2,10,4,""
"564","1-17-4","2017-05-09","2017-06-30",0,0,1,17,4,""
"565","2-17-4","2017-05-09","2017-06-30",0.018,0.021,2,17,4,""
"566","1-24-4","2017-05-09","2017-06-30",0.028,0.029,1,24,4,""
"567","2-24-4","2017-05-09","2017-06-30",0.017,0.017,2,24,4,""
"568","1-31-4","2017-05-09","2017-06-30",0.025,0.026,1,31,4,""
"569","2-31-4","2017-05-09","2017-06-30",0.024,0.023,2,31,4,""
"570","1-38-4","2017-05-09","2017-06-30",0.028,0.028,1,38,4,""
"571","2-38-4","2017-05-09","2017-06-30",0.03,0.029,2,38,4,""
"572","1-03-5","2017-05-09","2017-06-30",0.015,0.018,1,3,5,""
"573","2-03-5","2017-05-09","2017-06-30",0.047,0.044,2,3,5,""
"574","1-10-5","2017-05-09","2017-06-30",0.036,0.033,1,10,5,""
"575","2-10-5","2017-05-09","2017-06-30",0.013,0.014,2,10,5,""
"576","1-17-5","2017-05-09","2017-06-30",0.008,0.012,1,17,5,""
"577","2-17-5","2017-05-09","2017-06-30",0.02,0.018,2,17,5,""
"578","1-24-5","2017-05-09","2017-06-30",0.018,0.019,1,24,5,""
"579","2-24-5","2017-05-09","2017-06-30",0.017,0.016,2,24,5,""
"580","1-31-5","2017-05-09","2017-06-30",0.042,0.04,1,31,5,""
"581","2-31-5","2017-05-09","2017-06-30",0.038,0.034,2,31,5,""
"582","1-38-5","2017-05-09","2017-06-30",0.029,0.028,1,38,5,""
"583","2-38-5","2017-05-09","2017-06-30",0.015,0.016,2,38,5,""
"584","","","",NA,NA,NA,NA,NA,""
"585","","","",NA,NA,NA,NA,NA,""
"586","","","",NA,NA,NA,NA,NA,""
"587","","","",NA,NA,NA,NA,NA,""
"588","","","",NA,NA,NA,NA,NA,""
"589","","","",NA,NA,NA,NA,NA,""
"590","","","",NA,NA,NA,NA,NA,""
"591","","","",NA,NA,NA,NA,NA,""
"592","","","",NA,NA,NA,NA,NA,""
"593","","","",NA,NA,NA,NA,NA,""
"594","","","",NA,NA,NA,NA,NA,""
"595","","","",NA,NA,NA,NA,NA,""
"596","","","",NA,NA,NA,NA,NA,""
"597","","","",NA,NA,NA,NA,NA,""
"598","","","",NA,NA,NA,NA,NA,""
"599","","","",NA,NA,NA,NA,NA,""
"600","","","",NA,NA,NA,NA,NA,""
"601","","","",NA,NA,NA,NA,NA,""
"602","","","",NA,NA,NA,NA,NA,""
"603","","","",NA,NA,NA,NA,NA,""
"604","","","",NA,NA,NA,NA,NA,""
"605","","","",NA,NA,NA,NA,NA,""
"606","","","",NA,NA,NA,NA,NA,""
"607","","","",NA,NA,NA,NA,NA,""
"608","","","",NA,NA,NA,NA,NA,""
"609","","","",NA,NA,NA,NA,NA,""
"610","","","",NA,NA,NA,NA,NA,""
"611","","","",NA,NA,NA,NA,NA,""
"612","","","",NA,NA,NA,NA,NA,""
"613","","","",NA,NA,NA,NA,NA,""
"614","","","",NA,NA,NA,NA,NA,""
"615","","","",NA,NA,NA,NA,NA,""
"616","","","",NA,NA,NA,NA,NA,""
"617","","","",NA,NA,NA,NA,NA,""
"618","","","",NA,NA,NA,NA,NA,""
"619","","","",NA,NA,NA,NA,NA,""
"620","","","",NA,NA,NA,NA,NA,""
"621","","","",NA,NA,NA,NA,NA,""
"622","","","",NA,NA,NA,NA,NA,""
"623","","","",NA,NA,NA,NA,NA,""
"624","","","",NA,NA,NA,NA,NA,""
"625","","","",NA,NA,NA,NA,NA,""
"626","","","",NA,NA,NA,NA,NA,""
"627","","","",NA,NA,NA,NA,NA,""
"628","","","",NA,NA,NA,NA,NA,""
"629","","","",NA,NA,NA,NA,NA,""
"630","","","",NA,NA,NA,NA,NA,""
"631","","","",NA,NA,NA,NA,NA,""
"632","","","",NA,NA,NA,NA,NA,""
"633","","","",NA,NA,NA,NA,NA,""
"634","","","",NA,NA,NA,NA,NA,""
"635","","","",NA,NA,NA,NA,NA,""
"636","","","",NA,NA,NA,NA,NA,""
"637","","","",NA,NA,NA,NA,NA,""
"638","","","",NA,NA,NA,NA,NA,""
"639","","","",NA,NA,NA,NA,NA,""
"640","","","",NA,NA,NA,NA,NA,""
"641","","","",NA,NA,NA,NA,NA,""
"642","","","",NA,NA,NA,NA,NA,""
"643","","","",NA,NA,NA,NA,NA,""
"644","Blank","-","2017-07-05",0.002,0.004,NA,NA,NA,""
"645","2003-03-01","2017-05-12","2017-07-05",0.072,0.067,3,3,1,""
"646","2004-03-01","2017-05-12","2017-07-05",0.079,0.08,4,3,1,""
"647","2003-10-01","2017-05-12","2017-07-05",0.035,0.035,3,10,1,""
"648","2004-10-01","2017-05-12","2017-07-05",0.028,0.027,4,10,1,""
"649","3-17-1","2017-05-12","2017-07-05",0.02,0.02,3,17,1,""
"650","4-17-1","2017-05-12","2017-07-05",0.016,0.016,4,17,1,""
"651","3-24-1","2017-05-12","2017-07-05",0.016,0.016,3,24,1,""
"652","4-24-1","2017-05-12","2017-07-05",0.046,0.047,4,24,1,""
"653","3-31-1","2017-05-12","2017-07-05",0.024,0.027,3,31,1,""
"654","4-31-1","2017-05-12","2017-07-05",0.016,0.016,4,31,1,"650 ul"
"655","3-38-1","2017-05-12","2017-07-05",0.033,0.033,3,38,1,""
"656","4-38-1","2017-05-12","2017-07-05",0.02,0.022,4,38,1,""
"657","2003-03-02","2017-05-12","2017-07-05",0.033,0.032,3,3,2,""
"658","2004-03-02","2017-05-12","2017-07-05",0.041,0.039,4,3,2,""
"659","2003-10-02","2017-05-12","2017-07-05",0.02,0.018,3,10,2,""
"660","2004-10-02","2017-05-12","2017-07-05",0.02,0.02,4,10,2,""
"661","3-17-2","2017-05-12","2017-07-05",0.04,0.036,3,17,2,""
"662","4-17-2","2017-05-12","2017-07-05",0.067,0.066,4,17,2,""
"663","3-24-2","2017-05-12","2017-07-05",0.035,0.03,3,24,2,""
"664","4-24-2","2017-05-12","2017-07-05",0.044,0.043,4,24,2,""
"665","3-31-2","2017-05-12","2017-07-05",0.057,0.057,3,31,2,""
"666","4-31-2","2017-05-12","2017-07-05",0.055,0.055,4,31,2,""
"667","3-38-2","2017-05-12","2017-07-05",0.056,0.052,3,38,2,""
"668","4-38-2","2017-05-12","2017-07-05",0.093,0.092,4,38,2,""
"669","2003-03-03","2017-05-12","2017-07-05",0.065,0.064,3,3,3,""
"670","2004-03-03","2017-05-12","2017-07-05",0.112,0.116,4,3,3,"500 ul"
"671","2003-10-03","2017-05-12","2017-07-05",0.027,0.027,3,10,3,""
"672","2004-10-03","2017-05-12","2017-07-05",0.036,0.034,4,10,3,""
"673","3-17-3","2017-05-12","2017-07-05",0.05,0.05,3,17,3,""
"674","4-17-3","2017-05-12","2017-07-05",0.026,0.03,4,17,3,""
"675","3-24-3","2017-05-12","2017-07-05",0.021,0.023,3,24,3,""
"676","4-24-3","2017-05-12","2017-07-05",0.019,0.021,4,24,3,""
"677","3-31-3","2017-05-12","2017-07-05",0.058,0.057,3,31,3,""
"678","4-31-3","2017-05-12","2017-07-05",0.072,0.072,4,31,3,""
"679","3-38-3","2017-05-12","2017-07-05",0.029,0.031,3,38,3,""
"680","4-38-3","2017-05-12","2017-07-05",0.079,0.078,4,38,3,""
"681","2003-03-04","2017-05-12","2017-07-05",0.056,0.057,3,3,4,""
"682","2004-03-04","2017-05-12","2017-07-05",0.041,0.04,4,3,4,""
"683","2003-10-04","2017-05-12","2017-07-05",0.082,0.082,3,10,4,""
"684","2004-10-04","2017-05-12","2017-07-05",0.051,0.051,4,10,4,""
"685","3-17-4","2017-05-12","2017-07-05",0.026,0.025,3,17,4,""
"686","4-17-4","2017-05-12","2017-07-05",0.03,0.029,4,17,4,""
"687","3-24-4","2017-05-12","2017-07-05",0.034,0.031,3,24,4,""
"688","4-24-4","2017-05-12","2017-07-05",0.028,0.027,4,24,4,""
"689","3-31-4","2017-05-12","2017-07-05",0.067,0.068,3,31,4,""
"690","4-31-4","2017-05-12","2017-07-05",0.022,0.022,4,31,4,""
"691","3-38-4","2017-05-12","2017-07-05",0.073,0.071,3,38,4,""
"692","4-38-4","2017-05-12","2017-07-05",0.083,0.082,4,38,4,""
"693","2003-03-05","2017-05-12","2017-07-05",0.117,0.118,3,3,5,""
"694","2004-03-05","2017-05-12","2017-07-05",0.037,0.037,4,3,5,""
"695","2003-10-05","2017-05-12","2017-07-05",0.024,0.024,3,10,5,""
"696","2004-10-05","2017-05-12","2017-07-05",0.159,0.159,4,10,5,""
"697","3-17-5","2017-05-12","2017-07-05",0.044,0.043,3,17,5,""
"698","4-17-5","2017-05-12","2017-07-05",0.048,0.045,4,17,5,""
"699","3-24-5","2017-05-12","2017-07-05",0.046,0.046,3,24,5,""
"700","4-24-5","2017-05-12","2017-07-05",0.048,0.052,4,24,5,"650 ul"
"701","3-31-5","2017-05-12","2017-07-05",0.047,0.047,3,31,5,""
"702","4-31-5","2017-05-12","2017-07-05",0.051,0.051,4,31,5,""
"703","3-38-5","2017-05-12","2017-07-05",0.073,0.072,3,38,5,""
"704","4-38-5","2017-05-12","2017-07-05",0.061,0.06,4,38,5,""
"705","Blank","-","",-0.001,0.002,NA,NA,NA,""
"706","2001-03-01","2017-05-16","2017-07-06",0.019,0.015,1,3,1,""
"707","2002-03-01","2017-05-16","2017-07-06",0.05,0.044,2,3,1,""
"708","2001-10-01","2017-05-16","2017-07-06",0.024,0.025,1,10,1,""
"709","2002-10-01","2017-05-16","2017-07-06",0.024,0.02,2,10,1,""
"710","1-17-1","2017-05-16","2017-07-06",0.013,0.019,1,17,1,""
"711","2-17-1","2017-05-16","2017-07-06",0.018,0.014,2,17,1,""
"712","1-24-1","2017-05-16","2017-07-06",0.033,0.032,1,24,1,""
"713","2-24-1","2017-05-16","2017-07-06",0.028,0.026,2,24,1,""
"714","1-31-1","2017-05-16","2017-07-06",0.032,0.036,1,31,1,""
"715","2-31-1","2017-05-16","2017-07-06",0.025,0.025,2,31,1,""
"716","1-38-1","2017-05-16","2017-07-06",0.024,0.028,1,38,1,""
"717","2-38-1","2017-05-16","2017-07-06",0.017,0.017,2,38,1,""
"718","2001-03-02","2017-05-16","2017-07-06",0.026,0.029,1,3,2,""
"719","2002-03-02","2017-05-16","2017-07-06",0.04,0.04,2,3,2,""
"720","2001-10-02","2017-05-16","2017-07-06",0.028,0.031,1,10,2,""
"721","2002-10-02","2017-05-16","2017-07-06",0.015,0.014,2,10,2,""
"722","1-17-2","2017-05-16","2017-07-06",0.023,0.022,1,17,2,""
"723","2-17-2","2017-05-16","2017-07-06",0.026,0.026,2,17,2,""
"724","1-24-2","2017-05-16","2017-07-06",0.06,0.06,1,24,2,""
"725","2-24-2","2017-05-16","2017-07-06",0.03,0.032,2,24,2,""
"726","1-31-2","2017-05-16","2017-07-06",0.011,0.01,1,31,2,""
"727","2-31-2","2017-05-16","2017-07-06",0.035,0.034,2,31,2,""
"728","1-38-2","2017-05-16","2017-07-06",0.034,0.035,1,38,2,""
"729","2-38-2","2017-05-16","2017-07-06",0.026,0.024,2,38,2,""
"730","2001-03-03","2017-05-16","2017-07-06",0.036,0.034,1,3,3,""
