"","r","K","K_flat","K_flat_SE","temp","species"
"1",0.05,2.86140883836793,3.01294275910876,0.265378836232555,3,1
"2",-0.05,4.28984529337832,4.38691170492799,0.308506258855218,3,2
"3",-0.05,4.85237957670976,4.64506675874662,0.503608555734704,3,3
"4",0.09154307540707,3.11128936278463,3.24420750214969,0.391513116901067,3,4
"5",0.05,2.04226082065864,2.24512546148278,0.329371690395627,10,1
"6",-0.185199425659277,2.23532641139361,2.27353065715031,0.271318881031575,10,2
"7",-0.1226175194905,2.41489865955966,2.56098333765097,0.319259226860057,10,3
"8",2.91213354956473,2.24371707972333,2.2567046788844,0.290480163126247,10,4
"9",0.211765822810115,1.96836862726833,1.99231418485752,0.227349335163232,17,1
"10",-2.64836610426482,2.14840136483024,2.14792782387262,0.215611019110504,17,2
"11",-2.58428223443666,2.23021892097578,2.19475391392246,0.252568314032698,17,3
"12",2.9684128724374,1.93312832241042,1.92467187046548,0.28901745284652,17,4
"13",0.414332134671813,2.44746033892735,2.43409346403081,0.298699573833939,24,1
"14",-2.59156639965927,2.4455792993386,2.41157177747356,0.396901696157891,24,2
"15",-2.96257106897342,2.39304698677009,2.37212459333649,0.269082763541522,24,3
"16",2.94958446128271,2.03234681539759,2.0347072006,0.20115275704955,24,4
"17",2.82316883483928,3.5212894189077,3.69111342399421,0.437318311520006,31,1
"18",-2.58338352510301,2.9451917568034,2.94457805652177,0.207165467859267,31,2
"19",-2.57902025207038,3.19519449459778,3.19519450542053,0.398458639566103,31,3
"20",2.89155569662698,2.70707648982919,2.70707813293994,0.405178898620245,31,4
"21",0.5,3.69856643880069,3.44503065952691,0.265318308056954,38,1
"22",-2.94484666319094,2.60356624975174,2.62107863050733,0.220670379313985,38,2
"23",-2.59133942053487,3.01807018614575,3.01807019812984,0.33656823452039,38,3
"24",2.66917443878782,4.0541036836571,4.05410372878844,0.357126384850223,38,4
