Temperature,run,term,estimate,std.error,statistic,p.value
13,1,ks,0,1.8443591116512432,0,1
13,1,umax,1.0372549527206243,0.0781718281121573,13.268910012343824,4.345658087879858e-5
13,2,ks,0,1.7038225737230872,0,1
13,2,umax,1.0280360039178496,0.0715734488967726,14.363371051191665,2.9493605972347852e-5
13,3,ks,0,1.7575443562587818,0,1
13,3,umax,1.0184787998625915,0.07314381155661666,13.924333148461129,3.433421831061412e-5
13,4,ks,0,1.8379457187465307,0,1
13,4,umax,1.039653866891251,0.07808016729587955,13.31521054445942,4.272383176881192e-5
13,5,ks,0,3.315785056415034,0,1
13,5,umax,1.096129999534074,0.1485140948704891,7.380646264517507,7.177831058651849e-4
13,6,ks,0,1.7284077009644996,0,1
13,6,umax,1.0350672307162825,0.07310279798834157,14.159064484527049,3.163709652305279e-5
13,7,ks,0,3.3579419178855603,0,1
13,7,umax,1.0923477349879245,0.14988334753016577,7.28798597701507,7.610652466831123e-4
13,8,ks,0,1.786995038378576,0,1
13,8,umax,1.0186146130691252,0.07437937271547553,13.694853504151563,3.724099511797927e-5
13,9,ks,0,1.7505486855731978,0,1
13,9,umax,1.0285936910267033,0.07357619603271214,13.979979211882446,3.367073624162991e-5
13,10,ks,0,1.6421938470835709,0,1
13,10,umax,1.028375298537491,0.06900734337712092,14.902403834291704,2.462038377576413e-5
13,11,ks,0,1.8114361978883569,0,1
13,11,umax,1.0377240020129845,0.07681113311170261,13.51007282373864,3.9797325114779064e-5
13,12,ks,0,1.6882763735766007,0,1
13,12,umax,1.0304428741679483,0.07108643364872992,14.495633291435475,2.8198383236053918e-5
13,13,ks,0,1.8221645503560706,0,1
13,13,umax,1.0313163362939655,0.07678895366256282,13.43052987576736,4.096204165999528e-5
13,14,ks,0,1.9087098413963157,0,1
13,14,umax,1.0347329484563021,0.08070258457267154,12.82155898643543,5.136924032157477e-5
13,15,ks,0,1.8143232762817694,0,1
13,15,umax,1.0377918224473488,0.07693858739643823,13.488573907653937,4.0108177275044284e-5
13,16,ks,0,3.320700151536607,0,1
13,16,umax,1.095683506571052,0.14867367167332088,7.369721176850908,7.227317593281954e-4
13,17,ks,0,1.8309514081076077,0,1
13,17,umax,1.0421897139453227,0.07797275171596714,13.36607585354596,4.1935794710921633e-05
13,18,ks,0,1.8121686337256948,0,1
13,18,umax,1.0403716981086832,0.07703825005096926,13.504612285719928,3.987600521059824e-5
13,19,ks,0,1.8857604793063247,0,1
13,19,umax,1.0459540960388414,0.08059691565048557,12.977594584074382,4.842768888879384e-5
13,20,ks,0,3.321794878232646,0,1
13,20,umax,1.0956949473123099,0.14872422332786264,7.367293120078023,7.238370609352603e-4
13,21,ks,0,1.7214312547615633,0,1
13,21,umax,1.0496856120167577,0.07383600317727,14.216446812493468,3.101677896552598e-5
13,22,ks,0,1.73188400245772,0,1
13,22,umax,1.0528996153836638,0.07451179450084677,14.130643644231363,3.194982215651018e-5
13,23,ks,0,1.6786714537849892,0,1
13,23,umax,1.031980046719951,0.07078745111774935,14.578573326553789,2.7420835280771302e-5
13,24,ks,0,1.857101765983987,0,1
13,24,umax,1.0393366884823487,0.0788698941358588,13.177863364340517,4.494177351015399e-5
13,25,ks,0,1.9064031669941588,0,1
13,25,umax,1.035365679718842,0.08065434824266152,12.837072052256607,5.1067410912335134e-5
13,26,ks,0,1.7882453967704734,0,1
13,26,umax,1.0205805335451585,0.07457507218055559,13.68527718047936,3.7368561634485716e-5
13,27,ks,0,1.6677186191034958,0,1
13,27,umax,1.0505253563102612,0.07158937410401843,14.674319610391642,2.6554883955938554e-5
13,28,ks,0,1.75004405535346,0,1
13,28,umax,1.0485247741852097,0.07498025886631118,13.984011125577942,3.3623261043286576e-5
13,29,ks,0,1.864361561465626,0,1
13,29,umax,1.0358326260729214,0.07891126327587247,13.126549786076389,4.580554627262728e-5
13,30,ks,0,1.3946124890217557,0,1
13,30,umax,1.0290816112264765,0.05864387021456789,17.54798255062708,1.1019818140168837e-5
13,31,ks,0,1.5268422494678007,0,1
13,31,umax,1.0387695649761008,0.06480860612471051,16.02826579817513,1.7215805709706097e-5
13,32,ks,0,3.2984096641085108,0,1
13,32,umax,1.0995167237291124,0.14819231405623112,7.419525976980858,7.004947082715865e-4
13,33,ks,0,1.8802546055589044,0,1
13,33,umax,1.039580831314087,0.07987193084080735,13.01559659783453,4.774204011959994e-5
13,34,ks,0,3.337485560814865,0,1
13,34,umax,1.0939853890926428,0.14919359924843056,7.332656324424393,7.398245745063443e-4
13,35,ks,0,1.510370555526414,0,1
13,35,umax,1.0180872269863501,0.0628329961498195,16.203066690609734,1.6321328715327678e-5
13,36,ks,0,1.62500084883392,0,1
13,36,umax,1.0043712378646137,0.06669098277408628,15.060075531753542,2.3381260650344633e-5
13,37,ks,0,3.1662861810424237,0,1
13,37,umax,1.1112615314549072,0.14377577892966945,7.729128923714621,5.790989281377465e-4
13,38,ks,0,1.8248082474272262,0,1
13,38,umax,1.039912466389816,0.07754133510883902,13.411072493530941,4.125312309478732e-5
13,39,ks,0,1.672958829788673,0,1
13,39,umax,1.031499829401259,0.07051372486779618,14.628355420667159,2.6966448190207355e-5
13,40,ks,0,1.919104641605676,0,1
13,40,umax,1.040181545073021,0.08156936270954004,12.752110725408,5.274686914148041e-5
13,41,ks,0,1.921796912709994,0,1
13,41,umax,1.0420070820643808,0.08182715166451258,12.734246040196536,5.3108356437490675e-5
13,42,ks,0,3.3636014664340053,0,1
13,42,umax,1.098114037107242,0.15092849702453184,7.275723662236927,7.670217783815182e-4
13,43,ks,0,3.2027246406640124,0,1
13,43,umax,1.1065940412384787,0.1448195592418175,7.641191887559227,6.108482215555747e-4
13,44,ks,0,3.313100763117179,0,1
13,44,umax,1.0960486882036584,0.1483828607631368,7.3866259389167475,7.150915398780147e-4
13,45,ks,0,1.6870272860874567,0,1
13,45,umax,1.0252298643544964,0.07067448336798544,14.506365175906064,2.8096302127661082e-5
13,46,ks,0,1.6469501877865227,0,1
13,46,umax,1.0278284549001213,0.06917041217687768,14.859365768586592,2.4972162052609136e-5
13,47,ks,0,1.4886333174180792,0,1
13,47,umax,1.0349048601862316,0.06295169796921478,16.43966554631029,1.5197570468595106e-5
13,48,ks,0,1.8390937534302276,0,1
13,48,umax,1.0389904091278994,0.07807907741697431,13.306899152755921,4.285427330372445e-5
13,49,ks,0,3.323780053305778,0,1
13,49,umax,1.1009563753444425,0.14952769788834397,7.36289256701159,7.258453915152049e-4
13,50,ks,0,1.7670285838762996,0,1
13,50,umax,1.0556355877358787,0.07622139173028858,13.849597386928767,3.5250079090792634e-5
13,51,ks,0,1.8936831605743087,0,1
13,51,umax,1.0477512719350197,0.08107459255308345,12.923299876579785,4.942782855007194e-5
13,52,ks,0,1.8707733039433352,0,1
13,52,umax,1.0369895327639762,0.07927108479827959,13.081561018154275,4.657921812238087e-5
13,53,ks,0,3.3904125372108207,0,1
13,53,umax,1.091139215590124,0.15116525948132178,7.218187692953002,7.95718551394559e-4
13,54,ks,0,1.7490862187843346,0,1
13,54,umax,1.0286783461770743,0.07352077734044067,13.991668524038332,3.3533316443624355e-5
13,55,ks,0,3.340181047791653,0,1
13,55,umax,1.0943868590973622,0.14936888559592915,7.3267391313200525,7.425974650519965e-4
13,56,ks,0,1.7100616129719988,0,1
13,56,umax,1.0281383051664228,0.07184268215382088,14.310967719232659,3.002638765613516e-5
13,57,ks,0,1.7251931932531082,0,1
13,57,umax,1.023550869947003,0.07215499924114359,14.18544634067937,3.135007713911197e-5
13,58,ks,0,3.201945031817035,0,1
13,58,umax,1.1094155048100518,0.14515345760037549,7.643052553831704,6.101553817079338e-4
13,59,ks,0,1.9249223547578176,0,1
13,59,umax,1.0349267751902578,0.08140331431742945,12.713570496093023,5.353042259706552e-5
13,60,ks,0,1.7669234494124133,0,1
13,60,umax,1.0303097089927935,0.07438833196630895,13.850420916272578,3.5239829015924836e-5
13,61,ks,0,3.4111527875789065,0,1
13,61,umax,1.076309528097688,0.15002292886664248,7.174300196834811,8.184651098514388e-4
