Species,term,edf,ref.df,statistic,p.value
AC,s(Temperature),3.928644576230776,3.9965984442657874,92.8678021894055,0.06649115912575704
CH,s(Temperature),0.9999999847720662,1.0000000222970233,2.5762551326870327,0.18334556643640657
CS,s(Temperature),1.7394123730781088,2.1360244012244274,2.221654476124778,0.24463372981197848
TT,s(Temperature),1.0000000002948626,1.0000000006485934,29.886085164010424,0.004606204048663961
