Temperature,run,term,estimate,std.error,statistic,p.value
13,1,ks,0.6337095612585802,1.2597097305226341,0.5030599874747843,0.6362937752101119
13,1,umax,1.248681598222571,0.059660495104266215,20.929789403193872,4.612278762297207e-6
13,2,ks,0,1.600876229405718,0,1
13,2,umax,1.3005547046445174,0.0850757238365436,15.287024852627518,2.172606133442211e-5
13,3,ks,0.566374444509673,0.9827348916446711,0.5763247538324485,0.5893661959416319
13,3,umax,1.2720807750194962,0.04777979954369373,26.62381983951612,1.3976864965498427e-6
13,4,ks,0,1.868413249955479,0,1
13,4,umax,1.2765395110472804,0.09746001454028773,13.098084553635976,4.629326166730152e-5
13,5,ks,0,0.9272305580581005,0,1
13,5,umax,1.2132686213007224,0.04596888157043178,26.393259523658372,1.459425915469647e-6
13,6,ks,0,1.8526484037857058,0,1
13,6,umax,1.277153047964177,0.09668413260444604,13.209541354518466,4.4418245898962387e-5
13,7,ks,0.5947947476673218,1.0725349341857298,0.5545691135169326,0.6030804405677948
13,7,umax,1.240412922615332,0.05068307445388159,24.473908419743356,2.1234882704108945e-6
13,8,ks,1.0606998157751202,1.472224656426465,0.720474155316594,0.5034985974183549
13,8,umax,1.2856132231451347,0.06847131279801345,18.775939449819255,7.89198368014326e-6
13,9,ks,0,0.7470301953244948,0,1
13,9,umax,1.2179971182777116,0.037179511007666886,32.75990149592191,4.980408247994569e-7
13,10,ks,1.3356445209352898,0.9159144001302727,1.4582634804576913,0.20457048465840885
13,10,umax,1.2878415142486996,0.041439115364300685,31.077920050343547,6.474979929527371e-7
13,11,ks,0.4514390066415109,1.0583508681640683,0.4265494744900872,0.6874489895977574
13,11,umax,1.2574051170528737,0.05153924231392967,24.397043118987234,2.15690946611916e-6
13,12,ks,0.5307994547520276,0.9738146040119918,0.5450723911565934,0.6091262299286756
13,12,umax,1.2688957255205895,0.04742027637408781,26.75850548635691,1.363068881711911e-6
13,13,ks,1.5758834168232532,1.0165746033460104,1.5501896384547702,0.1817876617061195
13,13,umax,1.3042507105541372,0.04543283496355007,28.707227088085382,9.609877297885816e-7
13,14,ks,0.20920074204661576,1.3249234974046138,0.15789646908400226,0.8807170709338384
13,14,umax,1.2412848178133895,0.06553000318534735,18.942236494365737,7.555547237186573e-6
13,15,ks,0,1.03359260080005,0,1
13,15,umax,1.2304691634247584,0.05196840768746754,23.67725351187723,2.502549870864881e-6
13,16,ks,0,1.311546467176915,0,1
13,16,umax,1.2098849227649848,0.06484059674258921,18.659373657033246,8.1385320736203e-6
13,17,ks,0,1.6389694540771724,0,1
13,17,umax,1.3040159701031142,0.08733192017264112,14.931722187320341,2.4384137729970714e-5
13,18,ks,1.0786501625841867,1.4732198640285545,0.732171883451661,0.4969253820296995
13,18,umax,1.2840035086729629,0.06829915143927186,18.79969928784011,7.842832451233992e-6
13,19,ks,0.5686865795305474,0.931361395635486,0.6105971132103037,0.5681527810088444
13,19,umax,1.2746160463379368,0.045360330556963015,28.09979624679515,1.0688405807470562e-6
13,20,ks,0,1.0632099654389229,0,1
13,20,umax,1.19912252507439,0.05209569995351023,23.017687182329386,2.8790731635614154e-6
13,21,ks,0.19526586755881006,1.2862983868298974,0.151804487635288,0.8852762673862141
13,21,umax,1.242383137882963,0.06378168944211378,19.478680303859154,6.5814242433531706e-6
13,22,ks,0.7556580306025926,1.276318025681523,0.5920609247832956,0.5795660143177052
13,22,umax,1.2580465450215035,0.06006965156638088,20.943130386419504,4.59774878581402e-6
13,23,ks,0.6948574964922968,1.1108764712826975,0.6255038381449961,0.5590782042050579
13,23,umax,1.2756773795967615,0.05337895240208752,23.898509097508494,2.3896648630061426e-6
13,24,ks,0.4308294710455946,1.49601616661032,0.28798450221415045,0.7849141383917184
13,24,umax,1.2382081916921313,0.07191182956008468,17.21842149291401,1.2099542396666396e-5
13,25,ks,0.7030950392675113,1.305727135355112,0.538470113877425,0.6133503321152515
13,25,umax,1.278011774996158,0.06279832130109483,20.351049972634808,5.299072781926035e-6
13,26,ks,0.7850836965561404,1.240029690470465,0.6331168540474874,0.5544798048027832
13,26,umax,1.2653718203742341,0.05850895863805477,21.626975591926268,3.921277490143678e-6
13,27,ks,0,1.0439638071862225,0,1
13,27,umax,1.2270883260111738,0.05234564275921959,23.442033784083165,2.629644056034236e-6
13,28,ks,0.5769800181763236,0.9229993265838635,0.6251142352528025,0.5593141896885669
13,28,umax,1.2723116023631642,0.04482931487791212,28.381241288834545,1.0171557433864014e-6
13,29,ks,0,1.8513710960595158,0,1
13,29,umax,1.2779530953984066,0.09667800249204736,13.218654321116428,4.4268992177086384e-5
13,30,ks,0.5185954974758529,0.9592060258442687,0.540650791908233,0.6119532524350495
13,30,umax,1.2707756887750536,0.04684368861100657,27.128002223045844,1.2732470212011764e-6
13,31,ks,0.5132061862764402,0.9630695451614064,0.5328859051299655,0.6169364066311189
13,31,umax,1.2670444208281,0.046923316546208745,27.002448123639144,1.3029491889045966e-6
13,32,ks,0,1.5931158565892836,0,1
13,32,umax,1.2995272037182837,0.0845964210411673,15.36149151139494,2.1213758602120084e-5
13,33,ks,0.5836254280697958,0.9288474663765801,0.6283329063129275,0.5573665362781348
13,33,umax,1.2732323011403373,0.045111799707475836,28.22393053251076,1.0456653706433823e-6
13,34,ks,0.21463412894424788,1.2230647144324394,0.17548877537837268,0.8675811722050354
13,34,umax,1.2241560445685724,0.059618894281173736,20.53302160880787,5.070673563570224e-6
13,35,ks,0,1.5786852355034744,0,1
13,35,umax,1.2923344231944862,0.08336615024771485,15.501908380732868,2.0286505642030696e-5
