"","r_predict","temperature","Species","rep"
"1",0.0514832089751909,3,"TT",1
"2",0.0532381364761756,3.17587939698492,"TT",1
"3",0.0550494642414349,3.35175879396985,"TT",1
"4",0.0569188650260177,3.52763819095477,"TT",1
"5",0.0588480549313355,3.7035175879397,"TT",1
"6",0.0608387942176814,3.87939698492462,"TT",1
"7",0.0628928881141344,4.05527638190955,"TT",1
"8",0.065012187624433,4.23115577889447,"TT",1
"9",0.0671985903273003,4.4070351758794,"TT",1
"10",0.06945404116959,4.58291457286432,"TT",1
"11",0.0717805332505049,4.75879396984925,"TT",1
"12",0.0741801085950217,4.93467336683417,"TT",1
"13",0.0766548589145181,5.1105527638191,"TT",1
"14",0.079206926352468,5.28643216080402,"TT",1
"15",0.0818385042129217,5.46231155778895,"TT",1
"16",0.0845518376693354,5.63819095477387,"TT",1
"17",0.0873492244511568,5.81407035175879,"TT",1
"18",0.0902330155053982,5.98994974874372,"TT",1
"19",0.0932056156302556,6.16582914572864,"TT",1
"20",0.0962694840776386,6.34170854271357,"TT",1
"21",0.0994271351212815,6.51758793969849,"TT",1
"22",0.102681138586893,6.69346733668342,"TT",1
"23",0.106034120340586,6.86934673366834,"TT",1
"24",0.109488762731595,7.04522613065327,"TT",1
"25",0.113047804985037,7.22110552763819,"TT",1
"26",0.11671404354024,7.39698492462312,"TT",1
"27",0.120490332329852,7.57286432160804,"TT",1
"28",0.124379582994705,7.74874371859296,"TT",1
"29",0.128384765029074,7.92462311557789,"TT",1
"30",0.132508905850671,8.10050251256281,"TT",1
"31",0.136755090789393,8.27638190954774,"TT",1
"32",0.141126462988471,8.45226130653266,"TT",1
"33",0.145626223211328,8.62814070351759,"TT",1
"34",0.150257629547054,8.80402010050251,"TT",1
"35",0.155023997007011,8.97989949748744,"TT",1
"36",0.159928697004642,9.15577889447236,"TT",1
"37",0.164975156710149,9.33165829145729,"TT",1
"38",0.170166858271192,9.50753768844221,"TT",1
"39",0.175507337890309,9.68341708542714,"TT",1
"40",0.181000184749213,9.85929648241206,"TT",1
"41",0.186649039769606,10.035175879397,"TT",1
"42",0.192457594199572,10.2110552763819,"TT",1
"43",0.198429588014,10.3869346733668,"TT",1
"44",0.204568808116899,10.5628140703518,"TT",1
"45",0.210879086332772,10.7386934673367,"TT",1
"46",0.217364297173566,10.9145728643216,"TT",1
"47",0.224028355366955,11.0904522613065,"TT",1
"48",0.230875213130991,11.2663316582915,"TT",1
"49",0.23790885717934,11.4422110552764,"TT",1
"50",0.245133305440506,11.6180904522613,"TT",1
"51",0.252552603473553,11.7939698492462,"TT",1
"52",0.260170820561951,11.9698492462312,"TT",1
"53",0.267992045466168,12.1457286432161,"TT",1
"54",0.27602038181468,12.321608040201,"TT",1
"55",0.284259943111964,12.4974874371859,"TT",1
"56",0.292714847340985,12.6733668341709,"TT",1
"57",0.301389211136481,12.8492462311558,"TT",1
"58",0.310287143504184,13.0251256281407,"TT",1
"59",0.319412739059818,13.2010050251256,"TT",1
"60",0.328770070760394,13.3768844221106,"TT",1
"61",0.338363182098925,13.5527638190955,"TT",1
"62",0.348196078732227,13.7286432160804,"TT",1
"63",0.358272719509956,13.9045226130653,"TT",1
"64",0.368597006871403,14.0804020100503,"TT",1
"65",0.379172776574925,14.2562814070352,"TT",1
"66",0.390003786723106,14.4321608040201,"TT",1
"67",0.401093706044942,14.608040201005,"TT",1
"68",0.41244610139438,14.78391959799,"TT",1
"69",0.424064424422563,14.9597989949749,"TT",1
"70",0.435951997379004,15.1356783919598,"TT",1
"71",0.448111997994723,15.3115577889447,"TT",1
"72",0.460547443398073,15.4874371859296,"TT",1
"73",0.473261173011546,15.6633165829146,"TT",1
"74",0.486255830375358,15.8391959798995,"TT",1
"75",0.499533843840946,16.0150753768844,"TT",1
"76",0.513097406074745,16.1909547738693,"TT",1
"77",0.52694845230974,16.3668341708543,"TT",1
"78",0.541088637279237,16.5427135678392,"TT",1
"79",0.555519310764161,16.7185929648241,"TT",1
"80",0.57024149168184,16.894472361809,"TT",1
"81",0.585255840640827,17.070351758794,"TT",1
"82",0.600562630882628,17.2462311557789,"TT",1
"83",0.616161717527482,17.4221105527638,"TT",1
"84",0.632052505037328,17.5979899497487,"TT",1
"85",0.648233912804981,17.7738693467337,"TT",1
"86",0.664704338774228,17.9497487437186,"TT",1
"87",0.68146162099098,18.1256281407035,"TT",1
"88",0.698502996980943,18.3015075376884,"TT",1
"89",0.715825060844289,18.4773869346734,"TT",1
"90",0.733423717952665,18.6532663316583,"TT",1
"91",0.751294137128455,18.8291457286432,"TT",1
"92",0.769430700180585,19.0050251256281,"TT",1
"93",0.787826948665246,19.1809045226131,"TT",1
"94",0.806475527733757,19.356783919598,"TT",1
"95",0.825368126923341,19.5326633165829,"TT",1
"96",0.844495417739854,19.7085427135678,"TT",1
"97",0.863846987874476,19.8844221105528,"TT",1
"98",0.883411271889019,20.0603015075377,"TT",1
"99",0.90317547819684,20.2361809045226,"TT",1
"100",0.923125512158311,20.4120603015075,"TT",1
"101",0.943245895101428,20.5879396984925,"TT",1
"102",0.963519679069372,20.7638190954774,"TT",1
"103",0.983928357087727,20.9396984924623,"TT",1
"104",1.00445176873445,21.1155778894472,"TT",1
"105",1.02506800078579,21.2914572864322,"TT",1
"106",1.04575328270082,21.4673366834171,"TT",1
"107",1.06648187669657,21.643216080402,"TT",1
"108",1.08722596215405,21.8190954773869,"TT",1
"109",1.10795551408399,21.9949748743719,"TT",1
"110",1.1286381753684,22.1708542713568,"TT",1
"111",1.1492391224813,22.3467336683417,"TT",1
