"","X1","r","k","species","rep","temp","Species"
"1",1,0.0386980338436588,19999.8360798225,1,1,3,"TT"
"2",2,0.0358405081240554,19999.7759234698,1,2,3,"TT"
"3",3,0.042639941627208,19999.8707949002,1,3,3,"TT"
"4",4,0.0302380433674615,20000,1,4,3,"TT"
"5",5,0.0417890944676426,10478.2197354807,1,5,3,"TT"
"6",6,-0.157259795587752,384.215177235362,2,1,3,"CS"
"7",7,-0.262485473387591,481.679043228412,2,2,3,"CS"
"8",8,-0.00927625875005072,100,2,3,3,"CS"
"9",9,-0.492885198152725,379.452398677561,2,4,3,"CS"
"10",10,-0.00218067151426506,100,2,5,3,"CS"
"11",11,-0.299415314768197,447.165882447198,3,1,3,"AC"
"12",12,-0.161259324244198,341.45879329914,3,2,3,"AC"
"13",13,-0.45879251185126,305.963260516132,3,3,3,"AC"
"14",14,-0.221991619633425,306.811529542689,3,4,3,"AC"
"15",15,-0.639790853128195,520.772303311812,3,5,3,"AC"
"16",16,0.0262104963368614,17999.2377715556,4,1,3,"CH"
"17",17,0.0439970376273219,17999.764982641,4,2,3,"CH"
"18",18,0.0386999416078451,17999.6300007323,4,3,3,"CH"
"19",19,0.0699780639584848,10483.2875388576,4,4,3,"CH"
"20",20,0.0485488171804379,17999.9038365619,4,5,3,"CH"
"21",21,0.160791527282808,16647.6400658102,1,1,10,"TT"
"22",22,0.210861667325851,18253.26046592,1,2,10,"TT"
"23",23,0.288484026820716,16551.5981508984,1,3,10,"TT"
"24",24,0.286923583757304,17218.6004985582,1,4,10,"TT"
"25",25,0.204087041133001,19059.5306254426,1,5,10,"TT"
"26",26,0.157234426836281,12795.9585106724,2,1,10,"CS"
"27",27,0.0989839509556069,15294.967419643,2,2,10,"CS"
"28",28,0.0906447461053857,14659.5184998502,2,3,10,"CS"
"29",29,0.104121654605328,10577.2529285647,2,4,10,"CS"
"30",30,0.112285862069151,14429.3554697859,2,5,10,"CS"
"31",31,0.0992207639001554,7361.92151766274,3,1,10,"AC"
"32",32,0.107821195813945,7420.6123570505,3,2,10,"AC"
"33",33,0.116610944386749,8915.64416927502,3,3,10,"AC"
"34",34,0.111816979034546,7010.08698089812,3,4,10,"AC"
"35",35,0.135735549231498,7449.07114235043,3,5,10,"AC"
"36",36,0.160253023848534,29630.5257821429,4,1,10,"CH"
"37",37,0.157440608643499,31193.6646144393,4,2,10,"CH"
