Temperature,run,Species,rstar
13,1,TT,0
13,2,TT,0
13,3,TT,0
13,4,TT,0
13,5,TT,0
13,6,TT,0
13,7,TT,0
13,8,TT,0
13,9,TT,0
13,10,TT,0
13,11,TT,0
13,12,TT,0
13,13,TT,0
13,14,TT,0
13,15,TT,0
13,16,TT,0
13,17,TT,0
13,18,TT,0
13,19,TT,0
13,20,TT,0
13,21,TT,0
13,22,TT,0
13,23,TT,0
13,24,TT,0
13,25,TT,0
13,26,TT,0
13,27,TT,0
13,28,TT,0
13,29,TT,0
13,30,TT,0
13,31,TT,0
13,32,TT,0
13,33,TT,0
13,34,TT,0
13,35,TT,0
13,36,TT,0
13,37,TT,0
13,38,TT,0
13,39,TT,0
13,40,TT,0
13,41,TT,0
13,42,TT,0
13,43,TT,0
13,44,TT,0
13,45,TT,0
13,46,TT,0
13,47,TT,0
13,48,TT,0
13,49,TT,0
13,50,TT,0
13,51,TT,0
13,52,TT,0
13,53,TT,0
13,54,TT,0
13,55,TT,0
13,56,TT,0
13,57,TT,0
13,58,TT,0
13,59,TT,0
13,60,TT,0
13,61,TT,0
13,62,TT,0
13,63,TT,0
13,64,TT,0
13,65,TT,0
13,66,TT,0
13,67,TT,0
13,68,TT,0
13,69,TT,0
13,70,TT,0
13,71,TT,0
13,72,TT,0
13,73,TT,0
13,74,TT,0
13,75,TT,0
13,76,TT,0
13,77,TT,0
13,78,TT,0
13,79,TT,0
13,80,TT,0
13,81,TT,0
13,82,TT,0
13,83,TT,0
13,84,TT,0
13,85,TT,0
13,86,TT,0
13,87,TT,0
13,88,TT,0
13,89,TT,0
13,90,TT,0
13,91,TT,0
13,92,TT,0
13,93,TT,0
13,94,TT,0
13,95,TT,0
13,96,TT,0
13,97,TT,0
13,98,TT,0
13,99,TT,0
13,100,TT,0
16,1,TT,0.06766770948266206
16,2,TT,0
16,3,TT,0.06088983656214237
16,4,TT,0.06814637788350227
16,5,TT,0.06866771090523455
16,6,TT,0.12366556911543697
16,7,TT,0.06662837765828356
16,8,TT,0.06602009625449969
16,9,TT,0.10211059098964441
16,10,TT,0
16,11,TT,0.1098880424401651
16,12,TT,0.0606031951537292
16,13,TT,0.08456907539260154
16,14,TT,0.06369728749875353
16,15,TT,0.06297010743193913
16,16,TT,0.07505033293350498
16,17,TT,0.04410077773346424
16,18,TT,0.06467123251345377
16,19,TT,0.1217179185671322
16,20,TT,0.08689084110975298
16,21,TT,0
16,22,TT,0.09269939166411101
16,23,TT,0
16,24,TT,0.10431284763713586
16,25,TT,0.04467483802705028
16,26,TT,0.08173762472267179
16,27,TT,0
16,28,TT,0.03763643886022272
16,29,TT,0.05184908645716818
16,30,TT,0
16,31,TT,0.06376983211849079
16,32,TT,0
16,33,TT,0
16,34,TT,0.07231055753484145
16,35,TT,0
16,36,TT,0.11145766963351118
16,37,TT,0.08591595197679026
16,38,TT,0.10086133127923247
16,39,TT,0.08037706605952383
16,40,TT,0.06815626716335446
16,41,TT,0.0844118367923919
16,42,TT,0.12178331970890198
16,43,TT,0
16,44,TT,0.04602709405051326
16,45,TT,0.056837362673260575
16,46,TT,0.05671057005764455
16,47,TT,0
16,48,TT,0.06160844421982719
16,49,TT,0.059750856792451866
16,50,TT,0.08573984168623426
16,51,TT,0.05634406066958727
16,52,TT,0.11096610397727476
16,53,TT,0.07841669540343481
16,54,TT,0.07584953203390483
16,55,TT,0.12163940157528855
16,56,TT,0.08660528068299797
16,57,TT,0
16,58,TT,0
16,59,TT,0.06161092838413495
16,60,TT,0.0654020367229024
16,61,TT,0
16,62,TT,0.06672115528219166
16,63,TT,0.07517744875123586
16,64,TT,0.058298056501026256
16,65,TT,0.11086115374535592
16,66,TT,0.08557845765571279
16,67,TT,0.1375766234288818
16,68,TT,0.07897134741669712
16,69,TT,0.048416710320277355
16,70,TT,0.06080242480131685
16,71,TT,0
16,72,TT,0.08378378921565371
16,73,TT,0.032369366934118765
16,74,TT,0.08206089321312471
16,75,TT,0
16,76,TT,0.09037751759368609
16,77,TT,0
16,78,TT,0.06640820614785863
16,79,TT,0
16,80,TT,0.05623855411696629
16,81,TT,0.09893790771162493
16,82,TT,0.06098844796306571
16,83,TT,0.08118197760527582
16,84,TT,0.0663615733240421
16,85,TT,0.06363631629857237
16,86,TT,0.09510331722597735
16,87,TT,0.07276222944841003
16,88,TT,0
16,89,TT,0.07987410307894659
16,90,TT,0
16,91,TT,0
16,92,TT,0.061608690152170145
16,93,TT,0.07430561244787103
16,94,TT,0.08155587833698273
16,95,TT,0.0658478509914672
16,96,TT,0
16,97,TT,0
16,98,TT,0.06543151194413875
16,99,TT,0.05635108175828775
16,100,TT,0.06195974465259122
19,1,TT,0.260614667008568
19,2,TT,0.2555600819717616
19,3,TT,0.26006796011604416
19,4,TT,0.15315882226620006
19,5,TT,0.2588709542095737
19,6,TT,0.14969251200785844
19,7,TT,0.16307992277731004
19,8,TT,0.23561066974615322
19,9,TT,0.25697298982311617
19,10,TT,0.23860615178021644
19,11,TT,0.256340490167135
19,12,TT,0.25682535093832726
19,13,TT,0.24815630499305666
19,14,TT,0.16998772675000615
19,15,TT,0.16702162133087298
19,16,TT,0.1544415473951244
19,17,TT,0.25282776878011715
19,18,TT,0.25372348242363835
19,19,TT,0.24705919172037624
19,20,TT,0.2494070013496889
19,21,TT,0.2541025173965032
19,22,TT,0.24514414832205833
19,23,TT,0.15024558868496868
19,24,TT,0.25448980915826663
19,25,TT,0.2689097716119714
19,26,TT,0.22663709435831014
19,27,TT,0.16376412789932143
19,28,TT,0.24339136282457594
19,29,TT,0.15067386715338993
19,30,TT,0.09392238805960498
19,31,TT,0.2618149589584934
19,32,TT,0.1542039937122164
19,33,TT,0.23969064367523446
19,34,TT,0.2534577224787554
19,35,TT,0.2403639595559366
19,36,TT,0.2612546618378925
19,37,TT,0.24535585924595749
19,38,TT,0.17453754417013567
19,39,TT,0.24254393567751167
19,40,TT,0.26530232617799254
19,41,TT,0.15502332822385767
19,42,TT,0.2405932149905098
19,43,TT,0.15140044835538066
19,44,TT,0.26282759751209933
19,45,TT,0.1587502607362647
19,46,TT,0.2590740500422492
19,47,TT,0.1526698708431482
19,48,TT,0.24009393695995576
19,49,TT,0.07882772057545712
19,50,TT,0.24542241292678546
19,51,TT,0.1560417948359878
19,52,TT,0.15512038444259665
19,53,TT,0.25143731280305287
19,54,TT,0.15032547630852566
19,55,TT,0.24595399455738806
19,56,TT,0.2592141680738413
19,57,TT,0.1533994598377804
19,58,TT,0.265325264846862
19,59,TT,0.24534226547436858
19,60,TT,0.24727252449463155
19,61,TT,0.2606002486524744
19,62,TT,0.2414354524611921
19,63,TT,0.15740372615187495
19,64,TT,0.15837478961957718
19,65,TT,0.2651112792438648
19,66,TT,0.2437507563924835
19,67,TT,0.1500006951661954
19,68,TT,0.15380464081437284
19,69,TT,0.27095597007234123
19,70,TT,0.25719302902512775
19,71,TT,0.25120326582671104
19,72,TT,0.25316704758278874
19,73,TT,0.16213091820868503
19,74,TT,0.24158777488667604
19,75,TT,0.15680620696764067
19,76,TT,0.145541539243495
19,77,TT,0.24666807293033488
19,78,TT,0.25838320871144943
19,79,TT,0.15626009767605126
19,80,TT,0.24544660264256354
19,81,TT,0.2581611991963967
19,82,TT,0.25545483873821445
19,83,TT,0.15500560815143255
19,84,TT,0.24674202709537688
19,85,TT,0.27135239606114275
19,86,TT,0.25507338867776747
19,87,TT,0.25480074879214243
19,88,TT,0.26106604220719926
19,89,TT,0.2467539090967535
19,90,TT,0.26543852931281225
19,91,TT,0.25345890246527997
19,92,TT,0.14934983537318275
19,93,TT,0.25393356985332144
19,94,TT,0.23515072799335285
19,95,TT,0.25571530381419105
19,96,TT,0.2764652137988377
19,97,TT,0.26537336260899
19,98,TT,0.2460484139089254
19,99,TT,0.25450088218866307
19,100,TT,0.23990960603472009
22,1,TT,0.2865914196757184
22,2,TT,0.29487238547041056
22,3,TT,0.294552769666008
22,4,TT,0.22973808336149132
22,5,TT,0.2962150840205279
22,6,TT,0.2545862331076016
22,7,TT,0.2654112896117236
22,8,TT,0.2852274637133568
22,9,TT,0.29362012390447745
22,10,TT,0.23024884019789293
22,11,TT,0.2763910433131194
22,12,TT,0.2916318772460301
22,13,TT,0.2521702381629659
22,14,TT,0.2919700744083016
22,15,TT,0.2994205712657087
22,16,TT,0.2944475671252433
22,17,TT,0.2762681554946302
22,18,TT,0.291796724810146
22,19,TT,0.2901349054645992
22,20,TT,0.30807407318788316
22,21,TT,0.25327091253014766
22,22,TT,0.4411997795837237
22,23,TT,0.3009086931143065
22,24,TT,0.31986915592443604
22,25,TT,0.25196257307399844
22,26,TT,0.31962374303550994
22,27,TT,0.28624474713360665
