N.Treatment,Temperature,term,estimate,std.error,statistic,p.value
0,13,(Intercept),5.154184005584561,0.500209151242758,10.304057798181242,0.0019494541044182798
0,13,day,0.5756343670475935,0.14542346566677009,3.9583320642806585,0.028785681082585217
0,16,(Intercept),5.737568152281871,0.31816485503391456,18.03331845583724,3.719263041547471e-4
0,16,day,0.46804633449251554,0.09245113837988901,5.0626346272695555,0.014875494559159633
0,19,(Intercept),5.407233056564446,0.5522518053729877,9.791245594774347,0.06479461675224452
0,19,day,0.7462165582724383,0.2254027641965742,3.310591868437165,0.18675008965556816
0,22,(Intercept),5.465105919891365,0.6971992449351594,7.8386572555735174,0.08077907493934405
0,22,day,0.80969799585165525,0.2859146134103273,2.8319573672494514,0.2160974591133715
0,25,(Intercept),4.5835083787108735,0.7431462460786082,6.167707100583323,0.025294551101899706
0,25,day,1.4298201035452904,0.41762787947569835,3.4236701470704647,0.07574704530841785
0,28,(Intercept),4.903165358010564,0.6390453602376166,7.672640571535355,0.016565825710820298
0,28,day,1.1514217093375456,0.35915352816393104,3.2059317786013617,0.08506448221590346
11,13,(Intercept),5.000823997606126,0.6135614038356902,8.150486595707266,0.0012332277505261412
11,13,day,0.6381286454552414,0.12486623452869355,5.110498029061676,0.0069317613902747065
11,16,(Intercept),5.1532679008685935,0.29594267138415936,17.413061376942167,4.1277460483734636e-4
11,16,day,0.8086158993454485,0.08478153236511989,9.53764194616188,0.0024446807742207737
11,19,(Intercept),4.703097674725795,0.8654180128299337,5.434480915582719,0.0322316627095978
11,19,day,1.0735518790674494,0.28534497293290406,3.762294699054972,0.06394537714265291
11,22,(Intercept),5.0485046443474015,0.5673466235601334,8.898448381815932,0.012394758339429808
11,22,day,1.1198221428836195,0.19526902916160696,5.734765762351598,0.029086543444764627
11,25,(Intercept),4.978804847510144,0.4172323008689476,11.932932414726883,2.0977049513105705e-5
11,25,day,1.0972113888549309,0.14396183059226028,7.621543740733173,2.659776438847772e-4
11,28,(Intercept),5.5500851859351705,0.3567073833836252,15.559210278432241,4.461282544369768e-6
11,28,day,0.5999346998272113,0.11678292043740932,5.137178429689561,0.0021419158813782086
