Temperature,term,estimate,std.error,statistic,p.value
13,ks,12.929218084348275,12.372642613722148,1.0449843649414754,0.3438953459021449
13,umax,0.36308590309056976,0.0726498806642948,4.997749476951521,0.004112635199950789
16,ks,0,1.6054260832748815,0,1
16,umax,0.5603444744071912,0.036759083842513855,15.24370076272474,2.2030925899906022e-5
19,ks,7.462569996980439,5.494011415893416,1.3583098818091741,0.23243766239490565
19,umax,1.0547359776066505,0.1246588715117539,8.460978066107401,3.787074777628749e-4
22,ks,2.661207384347164,0.7532481600240701,3.5329756189011134,0.01232323077612345
22,umax,1.1974611725547932,0.025843267887351817,46.33551676879275,6.770770681324709e-9
25,ks,3.7792504912518092,1.9672136765245491,1.9211184511123174,0.10310611211410421
25,umax,1.2781853698318495,0.06518061442295801,19.609900599243893,1.139719221178964e-6
28,ks,1.4852855895184358,1.5008690725165847,0.9896170270388613,0.36057552399101334
28,umax,1.201822342268777,0.05813149643627777,20.674202729086517,8.333672741158083e-7
