Temperature,term,mn,uci,lci
13,ks,0.4470420020932774,1.3202835774242137,0
13,umax,1.2685885508597972,1.3006053300275866,1.2017929706127908
16,ks,0,0.09284451459077624,0
16,umax,1.616015365485185,1.6591395632933157,1.543354101859
19,ks,2.682736012303449,3.5074691695197497,0
19,umax,2.2668237296015032,2.298799823513714,2.013552067942675
22,ks,2.590724749387522,3.4744592884971732,0
22,umax,2.626452688565567,2.673233880786805,2.4151617890510884
25,ks,2.4710771382745116,3.213524856075381,0.427571409886168
25,umax,2.6907632999748676,2.764068150361511,2.5228838129289715
28,ks,0.6096940604002259,0.9653545097575015,0
28,umax,1.3962033486595153,1.4269680147066928,1.3860264632218557
