N.Treatment,Temperature,term,estimate,std.error,statistic,p.value
0,13,(Intercept),6.439683407976261,0.2861611311143557,22.503697070594942,2.3090857451008746e-5
0,13,day,0.19715653141712838,0.0580053997292544,3.3989341050553024,0.027304126531152693
0,16,(Intercept),5.509239249381311,0.997235521581269,5.524511642591283,0.005243274797181208
0,16,day,0.27499043983115135,0.2019250381600151,1.3618441889966895,0.24489985136146367
0,19,(Intercept),5.745287035474361,0.29032797000716704,19.788954661628132,2.8198374131086515e-4
0,19,day,0.25313203935236206,0.06592787319277067,3.8395298846090986,0.031159346023447443
0,22,(Intercept),7.27803948911267,0.45048577690262387,16.15598063751051,3.5759156593664486e-6
0,22,day,-0.1067979993218385,0.11159376463338595,-0.9570247914182055,0.3755105390000584
0,25,(Intercept),7.479444032827919,0.35141827907346834,21.28359416177167,7.015048615272328e-7
0,25,day,-0.04280173280268213,0.08701841034182133,-0.4918698541440889,0.6402870125781919
0,28,(Intercept),7.372879173168449,0.35404299120647315,20.824813246673436,7.982702121335953e-7
0,28,day,-0.022880542666051298,0.08772475871902513,-0.2608219503838786,0.8029508627722676
11,13,(Intercept),5.786910411410993,0.45083492221179583,12.835985249368914,2.123552977927199e-4
11,13,day,0.2107070287418059,0.11040044561757699,1.9085704551563785,0.12895819802234823
11,16,(Intercept),4.862842676432109,0.6338565162910084,7.671835110076459,5.995556595394925e-4
11,16,day,0.6184768471007774,0.13686264712604077,4.51896014060874,0.006288889271980537
11,19,(Intercept),6.391425252480315,0.33745492906987556,18.940085628907397,4.57715137082453e-5
11,19,day,0.49450620474210333,0.08212988189111922,6.021026614864458,0.003833058845584127
11,22,(Intercept),4.511218684157064,0.346230976144677,13.029506297761163,3.6531198077015764e-6
11,22,day,0.9642848660906491,0.10876566348736062,8.865710327806774,4.703389707812053e-5
11,25,(Intercept),5.083840384834642,0.21856320611676255,23.260275483508018,6.888108958108918e-8
11,25,day,0.9918104129816564,0.08053637366803179,12.315061726889583,5.342258014241313e-6
11,28,(Intercept),4.83681213534535,0.3122902436044909,15.488194826448282,1.1295236621177924e-6
11,28,day,1.1659601400578736,0.11461329352613449,10.172992191276727,1.910482850257859e-5
22,13,(Intercept),5.286813031427212,0.3141368550524191,16.829649072997235,1.354063005375458e-5
22,13,day,0.3239638362220692,0.08305440806878393,3.9006218183358685,0.011402146234860128
22,16,(Intercept),4.85087762450837,0.38176475192002907,12.706457576587681,1.4572705282963097e-5
22,16,day,0.5799946754448149,0.0880869664511269,6.5843415752841485,5.891374916243342e-4
22,19,(Intercept),4.436949183311147,0.21259784146124588,20.870151610264355,4.677908169109316e-6
22,19,day,0.9035005942629099,0.055857391827419375,16.175130357937658,1.6460480127179264e-5
22,22,(Intercept),4.5000319067853995,0.2750705941606849,16.359552792315803,1.5567392223413916e-5
22,22,day,1.0401197867481065,0.07658938000448524,13.580470121147275,3.879941306696006e-5
22,25,(Intercept),4.5107065213355915,0.3843006381193509,11.73744218435234,7.375013062643382e-6
22,25,day,1.169078296523438,0.11915785773924378,9.811172495915145,2.425571594742984e-5
