root,temp,model,Species
2.369411966088502,12.9,IDE_birth_ks_var,AC
2.371090792339027,13,IDE_birth_ks_var,AC
2.3730284352300446,13.100000000000001,IDE_birth_ks_var,AC
2.375222299630015,13.200000000000001,IDE_birth_ks_var,AC
2.3776699692255705,13.3,IDE_birth_ks_var,AC
2.3803692003635333,13.4,IDE_birth_ks_var,AC
2.383317916219392,13.5,IDE_birth_ks_var,AC
2.386575236436197,13.600000000000001,IDE_birth_ks_var,AC
2.3900173312852546,13.700000000000001,IDE_birth_ks_var,AC
2.3937036276820116,13.8,IDE_birth_ks_var,AC
2.397632663922779,13.9,IDE_birth_ks_var,AC
2.4018031204771773,14,IDE_birth_ks_var,AC
2.4062138158910567,14.100000000000001,IDE_birth_ks_var,AC
2.4108637029486286,14.200000000000001,IDE_birth_ks_var,AC
2.4157518650873557,14.3,IDE_birth_ks_var,AC
2.4208775130592985,14.4,IDE_birth_ks_var,AC
2.4262399818336213,14.5,IDE_birth_ks_var,AC
2.4318387277349673,14.600000000000001,IDE_birth_ks_var,AC
2.4376733258134475,14.700000000000001,IDE_birth_ks_var,AC
2.4437434674419607,14.8,IDE_birth_ks_var,AC
2.4500489581373186,14.9,IDE_birth_ks_var,AC
2.456589715601863,15,IDE_birth_ks_var,AC
2.463350941470747,15.100000000000001,IDE_birth_ks_var,AC
2.470392968534984,15.200000000000001,IDE_birth_ks_var,AC
2.4776255095725106,15.3,IDE_birth_ks_var,AC
2.4851121849991857,15.4,IDE_birth_ks_var,AC
2.4928577093249924,15.5,IDE_birth_ks_var,AC
2.500784255248074,15.600000000000001,IDE_birth_ks_var,AC
2.5089791273760005,15.700000000000001,IDE_birth_ks_var,AC
2.517412831947456,15.8,IDE_birth_ks_var,AC
2.5260863618431775,15.9,IDE_birth_ks_var,AC
2.5350008235000066,16,IDE_birth_ks_var,AC
2.544157436867854,16.1,IDE_birth_ks_var,AC
2.553557535505632,16.200000000000003,IDE_birth_ks_var,AC
2.563202566818092,16.3,IDE_birth_ks_var,AC
2.573094092435702,16.4,IDE_birth_ks_var,AC
2.5832337887405505,16.5,IDE_birth_ks_var,AC
2.593623447541193,16.6,IDE_birth_ks_var,AC
2.604264976900343,16.700000000000003,IDE_birth_ks_var,AC
2.615160402119309,16.8,IDE_birth_ks_var,AC
2.6263118668837606,16.9,IDE_birth_ks_var,AC
2.637721634575835,17,IDE_birth_ks_var,AC
2.649392089757795,17.1,IDE_birth_ks_var,AC
2.66132573983316,17.200000000000003,IDE_birth_ks_var,AC
2.673525216891406,17.3,IDE_birth_ks_var,AC
2.6859932797429273,17.4,IDE_birth_ks_var,AC
2.6987328161512467,17.5,IDE_birth_ks_var,AC
