temp,Species,rep,term,estimate,std.error,statistic,p.value,draw_down
3,AC,1,a,4.234767218333958,0.6257343976903703,6.767675285176557,5.082869376370867e-4,0.1652327816660426
3,AC,2,a,4.474293679546951,0.884039024891842,5.06119475901458,0.0023079562502693147,-0.07429367954695021
3,AC,3,a,4.503321723722623,0.46824383575070616,9.617471453741036,7.231535318554604e-5,-0.1033217237226225
3,AC,4,a,5.161118782856675,1.0973532821626757,4.703242671936139,0.003315003684362637,-0.7611187828566743
3,AC,5,a,4.624017038059308,1.0262826445913562,4.505598006970577,0.006366634195691674,-0.22401703805930762
3,CH,1,a,3.4018916502939405,0.6880775473298559,4.944052692164239,7.977870012035044e-4,0.9981083497060599
3,CH,2,a,2.6793171026370923,0.30972825962572564,8.650541303124125,1.1790836646061576e-5,1.720682897362908
3,CH,3,a,3.2200344879516503,0.758729629144456,4.243981471479588,0.002822147974310303,1.17996551204835
3,CH,4,a,3.7063031962891095,0.7945423505095992,4.6647018801602975,0.0011773726226533374,0.6936968037108908
3,CH,5,a,2.694619507904023,0.4314327380946983,6.245746486008583,1.503964973427588e-4,1.7053804920959772
3,CS,1,a,3.6146535155286417,0.3787958531133942,9.542484390520979,2.138983312545506e-4,0.7853464844713587
3,CS,2,a,4.918207304902879,0.823384363142123,5.973160925882139,0.0018835341027691166,-0.5182073049028784
3,CS,3,a,4.935124507678025,0.5979573074100301,8.253305790431492,4.257644375903499e-4,-0.5351245076780247
3,CS,4,a,4.677460844457207,0.5872533370701732,7.964979590909126,5.031479666754605e-4,-0.27746084445720687
3,CS,5,a,4.008193875848798,0.4918664936230974,8.148946772780496,4.5202131116886215e-4,0.3918061241512021
3,TT,1,a,3.0573027937628474,0.411418972984673,7.431117655035185,2.2332037333035222e-5,1.342697206237153
3,TT,2,a,2.986039865787857,0.4255006194476714,7.017709797141866,3.637137092174675e-5,1.4139601342121435
3,TT,3,a,3.3909526977670117,0.42387690226102764,7.999852503590368,1.1776844505677596e-5,1.0090473022329887
3,TT,4,a,3.0942117437263628,0.2845273761197184,10.874917506793564,7.331436062744421e-7,1.3057882562736376
3,TT,5,a,3.0022285227124335,0.42339122359254383,7.090908727956222,3.331369578364523e-5,1.397771477287567
10,AC,1,a,2.215783615454645,0.25459264792332653,8.703250598665965,1.2712377243511788e-4,2.1842163845453553
10,AC,2,a,3.2696986589513326,0.784778913302382,4.166394641252918,0.005902188980665992,1.1303013410486678
10,AC,3,a,2.697848830373267,0.4411125125313071,6.116010663337945,8.721197384914826e-4,1.7021511696267333
10,AC,4,a,2.336162681666891,0.4385505454883786,5.327008951876445,0.003122220041016102,2.0638373183331096
10,AC,5,a,2.103375001197473,0.5020088090230123,4.189916518180169,0.005749786717417768,2.2966249988025274
10,CH,1,a,2.0897134074815233,0.6682680772024903,3.127058554449436,0.020400804065896866,2.310286592518477
10,CH,2,a,2.2610181277842414,0.482176456011841,4.689192306247148,0.005388993262309464,2.138981872215759
10,CH,3,a,2.584143779558765,0.30696818251058516,8.418278918759459,1.5318561616063214e-4,1.8158562204412352
10,CH,4,a,2.0954081367108395,0.29189562214148335,7.178621321340627,3.692531743347404e-4,2.304591863289161
10,CH,5,a,1.9573807339327491,0.45853675860095205,4.268754243182032,0.007948204521412558,2.4426192660672514
10,CS,1,a,2.4070774118944396,0.49009743174375325,4.911426291972443,0.001730445255505232,1.9929225881055608
10,CS,2,a,2.11571399598395,0.2951054956328225,7.169348003658913,1.8225548684622765e-4,2.2842860040160504
10,CS,3,a,2.9164554833882557,0.2728492893825068,10.688887957115707,1.2409464613788454e-4,1.4835445166117447
10,CS,5,a,2.229352635388408,0.3146511719794154,7.085155988340807,1.9620758649136055e-4,2.1706473646115922
10,TT,1,a,2.3526981557001547,0.9736174162228101,2.416450359759942,0.05211425361620686,2.0473018442998456
10,TT,2,a,2.812648739159256,0.5293149693384684,5.313752495370518,0.00180592085013987,1.5873512608407445
10,TT,3,a,2.651303028105096,0.5991896295417863,4.4248146119161085,0.004447836253326033,1.7486969718949044
10,TT,4,a,2.173201854773785,0.36779482213626524,5.908734228913723,0.0010451533709152875,2.2267981452262156
10,TT,5,a,2.4894769830258947,0.3476979946732508,7.15988306278666,3.7455037437192975e-4,1.9105230169741056
17,AC,1,a,1.7354505965229754,0.36456346353199337,4.76035250408651,0.003125254169884617,2.664549403477025
17,AC,2,a,2.318769493532101,0.3103410261180468,7.4716821122132036,1.4061929218466313e-4,2.0812305064678993
17,AC,3,a,2.248414912579979,0.25009134040405684,8.990374912411427,1.0590834186482732e-4,2.1515850874200213
17,AC,4,a,2.311395988838107,0.352702591053015,6.5533853378771445,3.178211973697994e-4,2.0886040111618933
17,AC,5,a,2.3370677323160587,0.32159871513202504,7.267030688715994,1.67448823113045e-4,2.0629322676839417
17,CH,1,a,1.6337932927096415,0.4415207379181901,3.700377247087246,0.01399392452721038,2.766206707290359
17,CH,2,a,2.298008346998967,0.42528303646268417,5.403479918015969,0.0016584284613126688,2.101991653001033
17,CH,3,a,1.7437435463074835,0.3041106011362872,5.733912398292307,0.0012220645158894682,2.656256453692517
17,CH,4,a,1.7167913064183762,0.34863609151643055,4.92430746039805,0.0026453119994960697,2.683208693581624
17,CH,5,a,2.1340930032493683,0.2987823144235285,7.142634956044483,3.7950369950692764e-4,2.265906996750632
17,CS,1,a,1.698012961227947,0.406862690124943,4.173430010764826,0.013992346678648218,2.701987038772053
17,CS,2,a,2.4213895571435944,0.5081000062695176,4.76557671180029,0.005034488322034061,1.978610442856406
