Temperature,Species,term,estimate,std.error,statistic,p.value
13,TT,ks,0.001,2.188397742269342,4.569553242926544e-4,0.9996367808011556
13,TT,umax,0.45558301021060227,0.029879689767947082,15.247247001182757,2.6050143882145229e-23
13,CS,ks,0.7367342781053723,2.4765761721935378,0.2974809684342705,0.7670938314681514
13,CS,umax,0.30582616766741827,0.026480615627699444,11.549058072030462,4.271638590696258e-17
13,CH,ks,0.001,1.8168935587210329,5.503899748006871e-4,0.9995624178931073
13,CH,umax,0.5929598546440171,0.04115829582434974,14.406812594344954,1.259163030094408e-22
13,AC,ks,0.001,2.5065638030522375,3.989525416358052e-4,0.9996829628359815
13,AC,umax,0.4359666264931878,0.044603285200442266,9.774316500096386,3.5773188234641144e-14
16,TT,ks,4.2652675864232865,2.6425221503429412,1.6140896248948182,0.11127932766169146
16,TT,umax,0.6875713696544183,0.03800111512595289,18.09345245200031,2.789487725315182e-27
16,CS,ks,0.001,3.8822898358471694,2.575799443839788e-4,0.9997954480310164
16,CS,umax,0.31206142775267753,0.046267193351719936,6.7447667590382805,1.1612177211260144e-8
16,CH,ks,0.001,1.661819065178128,6.017502271781985e-4,0.9995219739159555
16,CH,umax,0.9276558535219986,0.0509084178602227,18.22205231498311,1.9175214147369434e-25
16,AC,ks,0.001,1.7892148764104256,5.589043625694801e-4,0.9995558533134231
16,AC,umax,0.5362662783909519,0.03917449566289852,13.689168662325379,2.1113133197928533e-20
19,TT,ks,3.298876444629459,2.232644097052442,1.4775648519101934,0.14555581864763004
19,TT,umax,0.9278314977407608,0.05591164517744388,16.594601979536645,2.0072767881110708e-22
19,CS,ks,0.6855218030485711,2.3983259303053726,0.2858334617435777,0.7761198938309528
19,CS,umax,0.5088324930149052,0.04291856197783921,11.855767517971323,1.574142054018647e-16
19,CH,ks,2.0660949418050416,2.3870390007454856,0.8655472077162496,0.3908726944596038
19,CH,umax,1.237384921078396,0.07410828923509247,16.69698401960219,4.324419667704179e-22
19,AC,ks,0.001,1.547821936674514,6.460691480755815e-4,0.9994869836485871
19,AC,umax,0.7701839793331914,0.04866182312032833,15.827273413672192,1.5786478142447527e-21
22,TT,ks,5.13944429517639,2.755507861758927,1.8651531960775178,0.0659206578151613
22,TT,umax,1.075221528846999,0.06845546653332844,15.7068760655296,7.178364715678039e-26
22,CS,ks,0.1905411427423428,1.7056690668675811,0.11171049909011181,0.9114081134878655
22,CS,umax,0.6057085991151021,0.038075338714610996,15.908160493465763,9.621490003768332e-24
22,CH,ks,0.6902281246349,1.656967754106362,0.4165609879397772,0.6782562071244687
22,CH,umax,1.247468953969162,0.053190410124976106,23.452892185604714,3.667348633884186e-35
22,AC,ks,1.8288205787430891,1.3221697482548358,1.3831965079801547,0.1701440542891249
22,AC,umax,0.9959271234528688,0.040882432213342944,24.360760099978215,1.2661105929155621e-40
25,TT,ks,9.021508457938117,3.314948996409776,2.7214622208995602,0.008054354495845689
25,TT,umax,1.1453745973603067,0.05651827714081909,20.2655610769332,2.244775891526362e-32
25,CS,ks,0.7609702060539233,1.9416295195988502,0.39192348404918326,0.6960622813063361
25,CS,umax,0.6025146134262354,0.0374465053897721,16.09000912514529,6.015418503808419e-28
25,CH,ks,1.634864092654126,1.9329857675220763,0.8457714071790001,0.4006466493966756
25,CH,umax,1.5499790522109282,0.07553587636530744,20.51977320968519,7.6306006446906e-31
25,AC,ks,3.1948005105339443,1.3110454144080623,2.436834357852049,0.016639457504014885
25,AC,umax,1.1969587722814097,0.04275179017838953,27.9978631839014,2.898583625931729e-48
28,TT,ks,9.023345509738128,3.528884306602119,2.5569966952037877,0.012696513658051882
28,TT,umax,1.040655063909351,0.053334710055640666,19.51177878015466,3.040747095227652e-30
28,CS,ks,1.4414615160158941,3.509592173718473,0.41072051813035615,0.6823755142048542
28,CS,umax,0.29591875131152956,0.03356554327173189,8.816146633346625,2.0186173376432887e-13
28,CH,ks,1.314940603698656,1.8675462041841384,0.7041007075233807,0.4838101382168406
28,CH,umax,1.4690274596608255,0.07484750512005835,19.626939566047625,1.739433809592746e-29
28,AC,ks,2.2511297542447433,1.166796880501445,1.9293244538649204,0.0566130252983961
28,AC,umax,1.2147069888656294,0.04224452852415167,28.754185010519596,2.8763158982609794e-49
