Temperature,term,estimate,std.error,statistic,p.value
13,ks,0,2.693026845532397,0,1
13,umax,0.6920425716614298,0.07126352714361038,9.711034513725716,6.844434453708897e-5
16,ks,2.6905830911618542,3.3290705939243947,0.8082084819926048,0.4498187616420457
16,umax,1.0370047194737908,0.09863932944398897,10.513095793728406,4.351248119926636e-5
19,ks,5.565728402371042,0.863497609039174,6.445563188720472,6.602203072123863e-4
19,umax,1.475079521553006,0.028679820040268904,51.432663087908814,3.6248229983086163e-9
22,ks,5.555183361785885,1.903158450130796,2.9189284588490785,0.026668480144132308
22,umax,1.487371046193351,0.06378659481014284,23.317925194477397,4.0799177028525455e-7
25,ks,4.283656211232637,2.723226572403655,1.5730076427139403,0.16677935377256342
25,umax,1.7028196136972924,0.11526713171605996,14.772811540863923,6.047760528467811e-6
28,ks,3.2436281408389482,4.290811074874859,0.7559475549581377,0.47829874871816325
28,umax,1.864713845425379,0.2173157566008719,8.58066563875607,1.3765113862657382e-4
