Temperature,Species,umax_lwr_CI,umax_upr_CI,root_lwr_CI,root_upr_CI,ks_lwr_CI,ks_upr_CI,model,resource_affects,ks
16,CH,0.9727195308286174,1.0554129002761703,0,0.18825680919011425,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
16,CS,0.5424290053286165,0.6223203551052474,0,0.16216448335755876,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
16.5,CH,1.0197885067280954,1.103682609577797,0,0.17923480877918202,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
16.5,CS,0.5659270726852766,0.6472749800724671,0,0.15469050542021331,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
17,CH,1.065751386712908,1.1505184411788034,0,0.17131227166015137,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
17,CS,0.5896082833292587,0.6723191674515913,0,0.14780537644813935,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
17.5,CH,1.1105374619682131,1.1958520703108146,0,0.16431891358323278,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
17.5,CS,0.6133454676679008,0.6973167223125233,0,0.141521359367263,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
18,CH,1.154073843845241,1.239613441762569,0,0.15812268648892713,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
18,CS,0.6369896132299993,0.7221099725663047,0,0.13579770161730254,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
18.5,CH,1.196285410993099,1.2817307349224059,0,0.1525982136820639,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
18.5,CS,0.6603671692519355,0.7465172828267452,0,0.13060053972420646,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
19,CH,1.2370947553598028,1.3221303281951777,0,0.14759544960852647,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
19,CS,0.6832770594368666,0.7703303145440172,0,0.1259022512375171,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
19.5,CH,1.274895947670353,1.3607367627832043,0,0.14316323119374594,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
19.5,CS,0.705487373472476,0.7933110082601796,0,0.12168114089801703,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
20,CH,1.3073938062963169,1.3974727058207481,0,0.13917982205187812,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
20,CS,0.7267317050601865,0.8151882616387275,0,0.11792140000001589,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
20.5,CH,1.338404621319388,1.4322589128513004,0,0.13559457391855212,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
20.5,CS,0.7467051011118918,0.8356542745285682,0,0.11462122760005929,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
21,CH,1.3679184929677026,1.4650141896368192,0,0.13236497971328298,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
21,CS,0.7650595833851336,0.8543605297206132,0,0.1117721851951729,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
21.5,CH,1.3959254788322588,1.495655353287875,0,0.12945518618874524,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
21.5,CS,0.7813992001280247,0.8709133752243268,0,0.10937314410538067,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
22,CH,1.4224155937149847,1.524097192703494,0,0.12683482714998487,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
22,CS,0.795274561262484,0.8848691708124518,0,0.10737729151295683,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
22.5,CH,1.4473788094763174,1.5515386208742135,0,0.12447810117672772,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
22.5,CS,0.8058987993169106,0.8957289582334558,0,0.10593165702595551,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
23,CH,1.4708050548822973,1.5821209202989388,0,0.12236303765902859,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
23,CS,0.8123701034742262,0.9029326108499085,0,0.10501412784889058,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
23.5,CH,1.4926842154511735,1.6096581805562786,0,0.12047090928717319,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
23.5,CS,0.8148674426202377,0.905852414501959,0,0.10468236957611388,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
24,CH,1.513006133299516,1.6337170659095104,0,0.11878575956136009,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
24,CS,0.8127435061893866,0.9037860270912291,0,0.10502005486187335,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
24.5,CH,1.5317606069878416,1.653827902339619,0,0.11729402154198262,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
24.5,CS,0.8052760767050767,0.8959487597023204,0,0.10614821514327248,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
25,CH,1.5489373913657396,1.6694821614972393,0,0.11598420973887429,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
25,CS,0.7916604775491851,0.8814651169948523,0,0.10830460682062452,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
25.5,CH,1.5598319920992505,1.6801297876149976,0,0.11484667129273554,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
25.5,CS,0.7710013155702556,0.8593595290740008,0,0.11163034008880929,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
26,CH,1.5664259776496166,1.6851763582068129,0,0.11387338582666398,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
26,CS,0.7405983377153926,0.8285462010442983,0,0.11659068006967784,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
26.5,CH,1.5699568674712916,1.683980068869104,0,0.11305780582056871,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
26.5,CS,0.6997149531433975,0.7878179999295917,0,0.12387069296464255,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
27,CH,1.5703047955746443,1.675848531959676,0,0.11239473128873442,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
27,CS,0.6472447512795602,0.7358342915573082,0,0.13457318966909426,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
27.5,CH,1.5673467822615554,1.682492385377986,0,0.11188021406913272,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
27.5,CS,0.5815800501216816,0.6711076323100873,0,0.15077437171285718,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
28,CH,1.5609566666491708,1.6900011162922868,0,0.11151148827270256,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
28,CS,0.5009294896055104,0.5919892122906351,0,0.17672611466383298,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
28.5,CH,1.5510050378762847,1.6957209314943853,0,0.11128692447593891,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
28.5,CS,0.4032989279058345,0.5008062191785555,0,0.22297325317741604,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
29,CH,1.5373591649683274,1.699651830984282,0,0.11120600613707551,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
29,CS,0.28647045938503146,0.40290819507295084,0,0.3238503495220774,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
29.5,CH,1.5029416254458177,1.7017938147619764,0,0.11126932752958979,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
29.5,CS,0.14797937634234642,0.2887019325355338,0,0.6945386602823964,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
30,CH,1.4353703429149514,1.7021468828274688,0,0.11147861326456918,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
30,CS,-0.01491111966844006,0.15501070133944467,6.529489275813946e-5,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
30.5,CH,1.3542874983956648,1.7007110351807593,0,0.11183676026085598,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
30.5,CS,-0.20523766904951987,0.004649457543824232,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
31,CH,1.2584546025862715,1.6974862718218477,0,0.11234790386518886,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
31,CS,-0.42636719946840906,-0.16640529100716173,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
31.5,CH,1.1465434015791585,1.6924725927507343,0,0.11301751077531898,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
31.5,CS,-0.682030318063552,-0.36248241125137487,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
32,CH,1.0171301105248085,1.6887219200667012,0,0.11385250253866867,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
32,CS,-0.9763579264783083,-0.5863111197539441,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
32.5,CH,0.8686893036292783,1.6854597057969334,0,0.11486141476463531,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
32.5,CS,-1.313921359866765,-0.8408839994535406,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
33,CH,0.6995874410316923,1.6807076700530648,0,0.11605459890089471,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
33,CS,-1.6997763784865678,-1.1294807299095837,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
33.5,CH,0.5080760120479434,1.6744658128350958,0,0.11744447561854088,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
33.5,CS,-2.1395113704255437,-1.4556938629411411,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
34,CH,0.2922842731502756,1.6667341341430257,0,0.1948641113135823,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
34,CS,-2.6393001566173946,-1.823456814521076,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
34.5,CH,0.050211557876834755,1.6575126339768553,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
34.5,CS,-3.205959824823157,-2.237074257731611,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
35,CH,-0.22028086537237643,1.6468013123365843,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
35,CS,-3.8470140579456737,-2.7012551166471526,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
35.5,CH,-0.5214784129997411,1.6346001692222125,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
35.5,CS,-4.570762464183359,-3.2211483772752367,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
36,CH,-0.8558223100527363,1.6209092046337403,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
36,CS,-5.386356462418951,-3.802381949252052,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
36.5,CH,-1.2259192464073114,1.6057284185711673,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
36.5,CS,-6.303882326209761,-4.451104830956895,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
37,CH,-1.6345515949739993,1.5890578110344935,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
37,CS,-7.334452044154241,-5.17403285119201,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
37.5,CH,-2.084688223208603,1.5708973820237193,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
37.5,CS,-8.490302713645882,-5.978498282687932,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
38,CH,-2.579495930892953,1.5512471315388445,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
38,CS,-9.784905249511402,-6.872503646569453,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
38.5,CH,-3.1223515489232807,1.530107059579869,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
38.5,CS,-11.233083259225703,-7.86478005269101,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
39,CH,-3.716854735708558,1.5074771661467927,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
39,CS,-12.851143012799305,-8.964850448572262,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
39.5,CH,-4.36684150974353,1.4833574512396157,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
39.5,CS,-14.657015518588828,-10.183098179695238,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
40,CH,-5.0763985589861935,1.4577479148583383,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
40,CS,-16.670411806774123,-11.530841296336634,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
40.5,CH,-5.849878369842267,1.4306485570029601,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
40.5,CS,-18.912992620719443,-13.020413077089504,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
41,CH,-6.691915220845408,1.4020593776734813,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
41,CS,-21.408553823583286,-14.665249276978331,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
41.5,CH,-7.607442088527255,1.3719803768699022,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
41.5,CS,-24.183228944119584,-16.479982648806885,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
42,CH,-8.601708515501947,1.3404115545922222,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
42,CS,-27.265710412439436,-18.480545330332017,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
42.5,CH,-9.680299493452084,1.3073529108404414,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
42.5,CS,-30.687491174470647,-20.68427973728184,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
43,CH,-10.8491554165035,1.2728044456145602,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
43,CS,-34.483128523928066,-23.110058653400547,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
43.5,CH,-12.114593163422406,1.236766158914578,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
43.5,CS,-38.6905321538416,-25.7784152639006,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
44,CH,-13.483328370167133,1.1992380507404956,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
44,CS,-43.35127860722209,-28.71168393824628,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
44.5,CH,-14.962498957586105,1.1602201210923124,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
44.5,CS,-48.51095449951798,-31.93415263242095,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
45,CH,-16.559689982481967,1.1197123699700284,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
45,CS,-54.219531095470074,-35.472227850108005,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
45.5,CH,-18.282959883867107,1.077714797373644,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
45.5,CS,-60.53177305127185,-39.3546131769344,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
46,CH,-20.140868200027768,1.0342274033031589,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
46,CS,-67.50768438117163,-43.61250248250778,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
46.5,CH,-22.14250483600168,0.989250187758573,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
46.5,CS,-75.2129949775347,-48.27978897188096,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
47,CH,-24.297520965267204,0.9427831507398866,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
47,CS,-83.71969130678487,-53.39329136178785,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
47.5,CH,-26.616161653851993,0.8948262922470995,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
47.5,CS,-93.10659522259527,-58.99299855804378,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
48,CH,-29.10930029970543,0.8453796122802117,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
48,CS,-103.45999518440499,-65.12233431945538,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
48.5,CH,-31.788474985054478,0.7944431108392234,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
48.5,CS,-114.8743345461806,-71.82844351105678,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
49,CH,-34.66592684458867,0.7420167879241347,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
49,CS,-127.45296198993113,-79.16250167613529,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
49.5,CH,-37.75464055770875,0.688100643534945,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
49.5,CS,-141.30894962361853,-87.18004979304017,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
50,CH,-41.06838707873998,0.6326946776716549,0,200,5.742797697735806e-8,1.7665716280973947,NB,growth,fixed
50,CS,-156.56598474686336,-95.9413562299512,200,200,1.3935927924866078e-8,0.7807156982024394,NB,growth,fixed
-3,AC,0.0033189025248619845,0.08550008164567863,200,200,0.007099385192171814,0.35201280529686557,NB,growth,var
-3,TT,-1.4926223150573024,-0.06387212807443195,200,200,0.3415667060542023,10.67844789103011,NB,growth,var
-2.5,AC,0.007863839864107273,0.09042305805092932,200,200,0.007719552510301744,0.36472469600377705,NB,growth,var
-2.5,TT,-1.4299656715665825,-0.0593272504255519,200,200,0.3641717566022742,10.95182845117748,NB,growth,var
