List File,CH305.lst
Start Time,2016-10-07  13:59:39
Sampling Time,1 min 0 sec

Count,1325
Particles / ml,50895

Efficiency,8.6%
PPUI,2.13

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),64.93,19.60,212.71,24.57,37.84
Aspect Ratio,0.82,0.41,1.00,0.09,10.91
Circle Fit,0.79,0.23,0.95,0.08,9.70
Circularity (Hu),0.95,0.59,1.00,0.03,3.57
Compactness,1.40,1.00,2.98,0.34,24.28
Diameter (ABD),8.94,5.00,16.46,1.67,18.68
Diameter (ESD),10.04,5.55,19.00,1.87,18.61
Elongation,1.96,1.00,7.22,1.16,58.96
Geodesic Aspect Ratio,0.68,0.14,1.00,0.31,45.80
Geodesic Length,13.52,6.10,35.85,5.00,36.97
Geodesic Thickness,7.80,3.00,14.03,1.96,25.17
Image Height,32.20,22.00,53.00,3.96,12.31
Image Width,32.55,23.00,53.00,3.76,11.56
Intensity,130.80,86.07,181.40,16.14,12.34
Length,11.34,6.22,22.54,2.19,19.28
Perimeter,42.64,24.39,86.19,8.67,20.32
Roughness,1.19,1.03,1.78,0.13,10.85
Sigma Intensity,32.86,8.19,54.51,10.65,32.42
Sum Intensity,44653.58,18937.00,1.10e+005,13717.90,30.72
Transparency,0.11,0.03,0.27,0.05,42.08
Volume (ABD),413.96,65.29,2333.77,242.92,58.68
Width,8.53,4.29,13.94,1.72,20.14

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,5,0.38,0.06,192,0.02
6-7um,49,3.70,0.96,1882,0.29
7-8um,102,7.70,2.94,3918,0.88
8-9um,256,19.32,10.74,9833,3.21
0-5um,0,0.00,0.00,0.00,0.00
5-10um,683,51.55,30.29,26235,9.05
10-15um,628,47.40,65.78,24122,20
15-20um,12,0.91,3.80,461,1.13
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,264,19.92,15.29,10141,4.57
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

