DAY,Temperature,N.Treatment,HOUR,MINUTE,Particles.per.ml,Hours.since.Innoc,corrected_hour,corrected.hours.since.innoc
2,25,8,10,2,1834,48.03333333,10,48.03333333
2,28,0,9,34,2175,47.56666667,9,47.56666667
2,28,1,10,8,1630,48.13333333,10,48.13333333
2,28,2,10,12,1017,48.2,10,48.2
2,28,3,10,14,1309,48.23333333,10,48.23333333
2,28,4,10,17,1087,48.28333333,10,48.28333333
2,28,5,10,19,1098,48.31666667,10,48.31666667
2,28,6,10,21,1684,48.35,10,48.35
2,28,7,10,23,2273,48.38333333,10,48.38333333
2,28,8,10,25,1503,48.41666667,10,48.41666667
2,13,0,14,41,518,52.68333333,14,52.68333333
2,13,1,15,12,408,53.2,15,53.2
2,13,2,15,15,443,53.25,15,53.25
2,13,3,15,20,943,53.33333333,15,53.33333333
2,13,4,15,23,971,53.38333333,15,53.38333333
2,13,5,15,25,873,53.41666667,15,53.41666667
2,13,6,15,28,790,53.46666667,15,53.46666667
2,13,7,15,30,946,53.5,15,53.5
2,13,8,15,32,567,53.53333333,15,53.53333333
2,16,0,14,45,1126,52.75,14,52.75
2,16,1,15,44,1388,53.73333333,15,53.73333333
2,16,2,15,48,1054,53.8,15,53.8
2,16,3,15,50,1185,53.83333333,15,53.83333333
2,16,4,15,52,1059,53.86666667,15,53.86666667
2,16,5,15,55,740,53.91666667,15,53.91666667
2,16,6,15,57,833,53.95,15,53.95
2,16,7,15,59,836,53.98333333,15,53.98333333
2,16,8,15,2,826,53.03333333,15,53.03333333
2,19,0,21,37,1836,59.61666667,21,59.61666667
2,19,1,21,53,3365,59.88333333,21,59.88333333
2,19,2,21,55,2502,59.91666667,21,59.91666667
2,19,3,21,57,2405,59.95,21,59.95
2,19,4,22,0,1899,60,22,60
2,19,5,22,2,2870,60.03333333,22,60.03333333
2,19,6,22,4,2077,60.06666667,22,60.06666667
2,19,7,22,6,2758,60.1,22,60.1
2,19,8,22,8,2731,60.13333333,22,60.13333333
2,22,0,21,42,2433,59.7,21,59.7
2,22,1,22,14,1979,60.23333333,22,60.23333333
2,22,2,22,16,1450,60.26666667,22,60.26666667
2,22,3,22,18,1437,60.3,22,60.3
2,22,4,22,20,2050,60.33333333,22,60.33333333
2,22,5,22,22,1504,60.36666667,22,60.36666667
2,22,6,22,24,2171,60.4,22,60.4
2,22,7,22,27,1305,60.45,22,60.45
2,22,8,22,29,1461,60.48333333,22,60.48333333
2,25,0,21,45,2841,59.75,21,59.75
2,25,1,20,6,1635,58.1,20,58.1
2,25,2,20,9,1327,58.15,20,58.15
2,25,3,20,12,1463,58.2,20,58.2
2,25,4,20,14,1655,58.23333333,20,58.23333333
2,25,5,20,16,1382,58.26666667,20,58.26666667
2,25,6,20,19,1952,58.31666667,20,58.31666667
2,25,7,20,21,1596,58.35,20,58.35
2,25,8,20,23,1584,58.38333333,20,58.38333333
2,28,0,21,47,1751,59.78333333,21,59.78333333
2,28,1,20,29,659,58.48333333,20,58.48333333
2,28,2,20,34,940,58.56666667,20,58.56666667
2,28,3,20,36,864,58.6,20,58.6
2,28,4,20,38,1147,58.63333333,20,58.63333333
2,28,5,20,41,999,58.68333333,20,58.68333333
2,28,6,20,43,860,58.71666667,20,58.71666667
2,28,7,20,46,1141,58.76666667,20,58.76666667
2,28,8,20,48,948,58.8,20,58.8
3,25,0,11,59,2401,73.98333333,11,73.98333333
3,25,1,12,1,8724,74.01666667,12,74.01666667
3,25,2,12,3,5261,74.05,12,74.05
3,25,3,12,5,4377,74.08333333,12,74.08333333
3,25,4,12,8,4925,74.13333333,12,74.13333333
3,25,5,12,10,4438,74.16666667,12,74.16666667
3,25,6,12,12,6581,74.2,12,74.2
3,25,7,12,14,7153,74.23333333,12,74.23333333
3,25,8,12,16,9769,74.26666667,12,74.26666667
3,28,0,11,56,1908,73.93333333,11,73.93333333
3,28,1,13,39,1998,75.65,13,75.65
3,28,2,13,42,1340,75.7,13,75.7
3,28,3,13,45,2199,75.75,13,75.75
3,28,4,13,47,1382,75.78333333,13,75.78333333
3,28,5,13,49,2357,75.81666667,13,75.81666667
3,28,6,13,55,2305,75.91666667,13,75.91666667
3,28,7,13,58,3268,75.96666667,13,75.96666667
3,28,8,14,0,2042,76,14,76
3,13,0,14,49,2141,76.81666667,14,76.81666667
3,13,1,15,19,1110,77.31666667,15,77.31666667
3,13,2,15,21,1089,77.35,15,77.35
3,13,3,15,23,1025,77.38333333,15,77.38333333
3,13,4,15,25,1526,77.41666667,15,77.41666667
3,13,5,15,28,1193,77.46666667,15,77.46666667
3,13,6,15,30,1046,77.5,15,77.5
3,13,7,15,37,2119,77.61666667,15,77.61666667
3,13,8,15,40,2383,77.66666667,15,77.66666667
3,16,0,14,53,1770,76.88333333,14,76.88333333
3,16,1,15,53,1860,77.88333333,15,77.88333333
3,16,2,15,56,2136,77.93333333,15,77.93333333
3,16,3,15,58,1525,77.96666667,15,77.96666667
3,16,4,16,1,1552,78.01666667,16,78.01666667
3,16,5,16,3,1967,78.05,16,78.05
3,16,6,16,5,2748,78.08333333,16,78.08333333
3,16,7,16,8,2497,78.13333333,16,78.13333333
3,16,8,16,11,1785,78.18333333,16,78.18333333
3,19,0,14,56,2077,76.93333333,14,76.93333333
3,19,1,16,30,3256,78.5,16,78.5
3,19,2,16,33,2810,78.55,16,78.55
3,19,3,16,35,2996,78.58333333,16,78.58333333
3,19,4,16,37,3061,78.61666667,16,78.61666667
3,19,5,16,39,3293,78.65,16,78.65
3,19,6,16,41,2793,78.68333333,16,78.68333333
3,19,7,16,44,3168,78.73333333,16,78.73333333
3,19,8,16,46,3103,78.76666667,16,78.76666667
3,22,0,14,13,2521,76.21666667,14,76.21666667
3,22,1,14,17,8389,76.28333333,14,76.28333333
3,22,2,14,27,3688,76.45,14,76.45
3,22,3,14,29,5072,76.48333333,14,76.48333333
3,22,4,14,31,5875,76.51666667,14,76.51666667
3,22,5,14,34,5343,76.56666667,14,76.56666667
3,22,6,14,36,6626,76.6,14,76.6
3,22,7,14,38,5379,76.63333333,14,76.63333333
3,22,8,14,40,4518,76.66666667,14,76.66666667
3,25,0,18,15,1917,80.25,18,80.25
3,25,1,18,20,5384,80.33333333,18,80.33333333
3,25,2,18,22,5667,80.36666667,18,80.36666667
3,25,3,18,25,5831,80.41666667,18,80.41666667
3,25,4,18,27,3718,80.45,18,80.45
3,25,5,18,29,4599,80.48333333,18,80.48333333
3,25,6,18,31,3753,80.51666667,18,80.51666667
3,25,7,18,34,4769,80.56666667,18,80.56666667
3,25,8,18,38,5718,80.63333333,18,80.63333333
3,28,0,18,18,1399,80.3,18,80.3
3,28,1,19,18,1946,81.3,19,81.3
3,28,2,19,20,2492,81.33333333,19,81.33333333
3,28,3,19,23,2857,81.38333333,19,81.38333333
3,28,4,19,25,1916,81.41666667,19,81.41666667
3,28,5,19,28,1657,81.46666667,19,81.46666667
3,28,6,19,30,2053,81.5,19,81.5
3,28,7,19,32,1651,81.53333333,19,81.53333333
3,28,8,19,34,2379,81.56666667,19,81.56666667
4,28,0,7,47,1434,93.78333333,7,93.78333333
4,28,1,7,55,3623,93.91666667,7,93.91666667
4,28,2,7,58,3768,93.96666667,7,93.96666667
4,28,3,8,1,3058,94.01666667,8,94.01666667
4,28,4,8,9,3849,94.15,8,94.15
4,28,5,8,13,3746,94.21666667,8,94.21666667
4,28,6,8,17,4352,94.28333333,8,94.28333333
4,28,7,8,20,3591,94.33333333,8,94.33333333
4,28,8,8,23,2873,94.38333333,8,94.38333333
4,25,0,7,49,1765,93.81666667,7,93.81666667
4,25,1,8,31,11856,94.51666667,8,94.51666667
4,25,2,8,36,21284,94.6,8,94.6
4,25,3,8,39,17090,94.65,8,94.65
4,25,4,8,41,9768,94.68333333,8,94.68333333
4,25,5,8,43,15093,94.71666667,8,94.71666667
4,25,6,8,46,12912,94.76666667,8,94.76666667
4,25,7,8,48,14810,94.8,8,94.8
4,25,8,8,51,13243,94.85,8,94.85
4,22,0,7,52,1944,93.86666667,7,93.86666667
4,22,1,8,56,10920,94.93333333,8,94.93333333
4,22,2,8,58,21598,94.96666667,8,94.96666667
4,22,3,9,0,13581,95,9,95
4,22,4,9,2,11244,95.03333333,9,95.03333333
4,22,5,9,6,9266,95.1,9,95.1
4,22,5,9,10,10881,95.16666667,9,95.16666667
4,22,6,9,8,11104,95.13333333,9,95.13333333
4,22,7,9,12,8906,95.2,9,95.2
4,22,8,9,14,8242,95.23333333,9,95.23333333
4,13,0,15,15,1557,101.25,15,101.25
4,13,1,15,33,4147,101.55,15,101.55
4,13,2,15,35,2084,101.5833333,15,101.5833333
4,13,3,15,37,1607,101.6166667,15,101.6166667
4,13,4,15,39,2429,101.65,15,101.65
4,13,5,15,42,2026,101.7,15,101.7
4,13,6,15,44,2822,101.7333333,15,101.7333333
4,13,7,15,47,2314,101.7833333,15,101.7833333
4,13,8,15,49,2333,101.8166667,15,101.8166667
4,16,0,15,17,1954,101.2833333,15,101.2833333
4,16,1,15,56,6527,101.9333333,15,101.9333333
4,16,2,15,29,3426,101.4833333,15,101.4833333
4,16,3,16,1,4152,102.0166667,16,102.0166667
4,16,4,16,3,2415,102.05,16,102.05
4,16,5,16,6,4559,102.1,16,102.1
4,16,6,16,8,5041,102.1333333,16,102.1333333
4,16,7,16,10,4089,102.1666667,16,102.1666667
4,16,8,16,12,4375,102.2,16,102.2
4,19,0,15,19,2139,101.3166667,15,101.3166667
4,19,1,16,21,8663,102.35,16,102.35
4,19,2,16,23,10088,102.3833333,16,102.3833333
4,19,3,16,25,8203,102.4166667,16,102.4166667
4,19,4,16,27,8658,102.45,16,102.45
4,19,5,16,30,8031,102.5,16,102.5
4,19,6,16,32,9861,102.5333333,16,102.5333333
4,19,7,16,34,8802,102.5666667,16,102.5666667
4,19,8,16,37,9331,102.6166667,16,102.6166667
4,22,0,15,21,1913,101.35,15,101.35
4,22,1,16,41,8122,102.6833333,16,102.6833333
4,22,2,16,44,14918,102.7333333,16,102.7333333
4,22,3,16,46,16685,102.7666667,16,102.7666667
4,22,4,16,49,15120,102.8166667,16,102.8166667
4,22,5,16,51,15826,102.85,16,102.85
4,22,6,16,54,13909,102.9,16,102.9
4,22,7,16,56,13230,102.9333333,16,102.9333333
4,22,8,16,58,12083,102.9666667,16,102.9666667
4,25,0,15,23,2045,101.3833333,15,101.3833333
4,25,1,17,5,10100,103.0833333,17,103.0833333
4,25,2,17,7,17153,103.1166667,17,103.1166667
4,25,3,17,12,14822,103.2,17,103.2
4,25,4,17,15,10952,103.25,17,103.25
4,25,5,17,17,12772,103.2833333,17,103.2833333
4,25,6,17,19,13706,103.3166667,17,103.3166667
4,25,7,17,21,15934,103.35,17,103.35
4,25,8,17,23,14519,103.3833333,17,103.3833333
5,13,0,9,23,2678,119.3833333,9,119.3833333
5,13,1,11,18,3873,121.3,11,121.3
5,13,2,11,20,2752,121.3333333,11,121.3333333
5,13,3,11,22,3103,121.3666667,11,121.3666667
5,13,4,11,24,3335,121.4,11,121.4
5,13,5,11,26,2435,121.4333333,11,121.4333333
5,13,6,11,28,3029,121.4666667,11,121.4666667
5,13,7,11,30,3717,121.5,11,121.5
5,13,8,11,36,3129,121.6,11,121.6
5,16,0,9,25,2925,119.4166667,9,119.4166667
5,16,1,11,42,9512,121.7,11,121.7
5,16,2,11,44,7561,121.7333333,11,121.7333333
5,16,3,11,46,6445,121.7666667,11,121.7666667
5,16,4,11,48,5815,121.8,11,121.8
5,16,5,11,50,6789,121.8333333,11,121.8333333
5,16,6,11,52,5264,121.8666667,11,121.8666667
5,16,7,11,55,4248,121.9166667,11,121.9166667
5,16,8,11,57,4681,121.95,11,121.95
5,19,0,9,28,2350,119.4666667,9,119.4666667
5,19,1,12,1,8636,122.0166667,12,122.0166667
5,19,2,12,3,16918,122.05,12,122.05
5,19,3,12,5,22139,122.0833333,12,122.0833333
5,19,4,12,7,14973,122.1166667,12,122.1166667
5,19,5,12,10,14577,122.1666667,12,122.1666667
5,19,6,12,12,14786,122.2,12,122.2
5,19,7,12,14,13094,122.2333333,12,122.2333333
5,19,8,12,16,16699,122.2666667,12,122.2666667
5,22,0,9,30,2458,119.5,9,119.5
5,22,1,9,39,12491,119.65,9,119.65
5,22,2,9,41,20779,119.6833333,9,119.6833333
