DAY,Temperature,N.Treatment,HOUR,MINUTE,Particles.per.ml,Hours.since.Innoc
2,25,0,9,28,1141,45.96666667
2,25,1,10,14,1487,46.73333333
2,25,2,10,20,1413,46.83333333
2,25,3,10,23,2529,46.88333333
2,25,4,10,25,1296,46.91666667
2,25,5,10,27,1330,46.95
2,25,6,10,29,1081,46.98333333
2,25,7,10,31,2945,47.01666667
2,25,8,10,33,1194,47.05
2,28,0,9,31,1535,46.01666667
2,28,1,10,44,1132,47.23333333
2,28,2,10,47,1736,47.28333333
2,28,3,10,55,927,47.41666667
2,28,4,10,57,2723,47.45
2,28,5,10,59,1972,47.48333333
2,28,6,11,2,1463,47.53333333
2,28,7,11,4,1628,47.56666667
2,28,8,11,6,1733,47.6
3,22,0,19,55,1490,80.41666667
3,22,1,20,2,2742,80.53333333
3,22,2,20,4,2042,80.56666667
3,22,3,20,7,4083,80.61666667
3,22,4,20,9,2689,80.65
3,22,5,20,12,3065,80.7
3,22,6,20,19,1225,80.81666667
3,22,7,20,23,4298,80.88333333
3,22,8,20,26,2509,80.93333333
3,25,0,19,57,2371,80.45
3,25,1,20,35,4874,81.08333333
3,25,2,20,41,4964,81.18333333
3,25,3,20,43,5961,81.21666667
3,25,4,20,45,5031,81.25
3,25,5,20,48,4823,81.3
3,25,6,20,50,7913,81.33333333
3,25,7,20,52,19601,81.36666667
3,25,8,20,54,6637,81.4
3,28,0,19,0,1419,79.5
3,28,1,20,3,13795,80.55
3,28,2,20,6,8028,80.6
3,28,3,20,8,6547,80.63333333
3,28,4,20,10,5377,80.66666667
3,28,5,20,12,6909,80.7
3,28,6,20,14,7126,80.73333333
3,28,7,20,16,9707,80.76666667
3,28,8,20,18,7452,80.8
3,13,0,10,10,978,70.66666667
3,13,1,12,2,428,72.53333333
3,13,2,12,4,859,72.56666667
3,13,3,12,7,752,72.61666667
3,13,4,12,9,489,72.65
3,13,5,12,11,306,72.68333333
3,13,6,12,13,598,72.71666667
3,13,8,12,15,849,72.75
3,16,0,10,12,2001,70.7
3,16,1,12,35,459,73.08333333
3,16,2,12,37,1031,73.11666667
3,16,3,12,40,617,73.16666667
3,16,4,12,42,185,73.2
3,16,5,12,44,342,73.23333333
3,16,6,12,50,219,73.33333333
3,16,8,12,53,1008,73.38333333
3,19,0,10,15,771,70.75
3,19,1,13,1,1751,73.51666667
3,19,2,13,3,1648,73.55
3,19,3,13,6,1496,73.6
3,19,4,13,8,1172,73.63333333
3,19,5,13,10,1164,73.66666667
3,19,6,13,12,775,73.7
3,19,8,13,15,3633,73.75
3,22,0,10,17,1273,70.78333333
3,22,1,10,24,1320,70.9
3,22,2,10,26,1760,70.93333333
3,22,3,10,28,2178,70.96666667
3,22,4,10,30,3318,71
3,22,5,10,32,3914,71.03333333
3,22,6,10,35,1712,71.08333333
3,22,7,10,37,6677,71.11666667
3,22,8,10,39,4999,71.15
3,25,0,10,19,2182,70.81666667
3,25,1,10,48,5631,71.3
3,25,2,10,50,5997,71.33333333
3,25,3,10,53,5689,71.38333333
3,25,4,10,55,4633,71.41666667
3,25,5,10,57,3963,71.45
3,25,6,10,59,5042,71.48333333
3,25,7,11,1,8751,71.51666667
3,25,8,11,3,11611,71.55
3,28,0,10,22,2199,70.86666667
3,28,1,11,26,6329,71.93333333
3,28,2,11,28,7618,71.96666667
3,28,3,11,30,6723,72
3,28,4,11,32,11212,72.03333333
3,28,5,11,35,10786,72.08333333
3,28,6,11,37,10816,72.11666667
3,28,7,11,39,8619,72.15
3,28,8,11,41,10298,72.18333333
4,22,0,17,32,581,102.0333333
4,22,1,17,38,5986,102.1333333
4,22,2,17,40,7774,102.1666667
4,22,3,17,43,4245,102.2166667
4,22,4,17,45,4963,102.25
4,22,5,17,47,6237,102.2833333
4,22,6,17,49,3565,102.3166667
4,22,7,17,51,11528,102.35
4,22,8,17,55,12090,102.4166667
4,25,0,17,34,1138,102.0666667
4,25,1,18,5,7839,102.5833333
4,25,2,18,8,14581,102.6333333
4,25,3,18,10,12417,102.6666667
4,25,4,18,12,11196,102.7
4,25,5,18,16,16652,102.7666667
4,25,6,18,21,15557,102.85
4,25,7,18,23,20459,102.8833333
4,25,8,18,25,18463,102.9166667
4,28,0,17,36,1069,102.1
4,28,1,18,30,11679,103
4,28,2,18,32,13548,103.0333333
4,28,3,18,34,21629,103.0666667
4,28,4,18,36,17988,103.1
4,28,5,18,38,19061,103.1333333
4,28,6,18,40,18827,103.1666667
4,28,7,18,43,27588,103.2166667
4,28,8,18,46,18999,103.2666667
4,13,0,13,9,1459,97.65
4,13,1,15,56,425,100.4333333
4,13,2,15,58,482,100.4666667
4,13,3,16,0,581,100.5
4,13,4,16,5,370,100.5833333
