List File,CH103.lst
Start Time,2016-10-18  14:52:12
Sampling Time,1 min 5 sec

Count,2424
Particles / ml,86776

Efficiency,8.5%
PPUI,3.24

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),57.31,20.22,157.55,18.60,32.46
Aspect Ratio,0.84,0.42,0.99,0.08,9.45
Circle Fit,0.79,0.17,0.96,0.07,8.73
Circularity (Hu),0.95,0.61,1.00,0.03,3.00
Compactness,1.46,1.00,4.56,0.35,24.18
Diameter (ABD),8.43,5.07,14.16,1.36,16.09
Diameter (ESD),9.62,5.46,19.03,1.63,16.91
Elongation,2.13,1.00,12.25,1.19,56.03
Geodesic Aspect Ratio,0.62,0.08,1.00,0.30,48.82
Geodesic Length,13.70,5.97,41.45,4.95,36.13
Geodesic Thickness,7.15,3.16,13.64,1.61,22.53
Image Height,31.93,23.00,49.00,3.63,11.38
Image Width,31.30,22.00,54.00,3.23,10.34
Intensity,132.62,93.49,173.28,14.09,10.63
Length,10.83,5.76,24.74,1.91,17.68
Perimeter,41.71,23.88,93.41,8.29,19.87
Roughness,1.22,1.03,1.67,0.13,10.85
Sigma Intensity,34.33,7.26,51.70,9.91,28.87
Sum Intensity,41569.73,17048.00,1.02e+005,12384.37,29.79
Transparency,0.12,0.03,0.29,0.05,37.17
Volume (ABD),338.92,68.37,1487.58,168.27,49.65
Width,8.25,5.01,14.26,1.50,18.22

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,6,0.25,0.05,215,0.02
6-7um,87,3.59,1.05,3115,0.46
7-8um,313,12.91,5.87,11205,2.59
8-9um,499,20.59,13.22,17864,5.82
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1458,60.15,40.20,52195,18
10-15um,954,39.36,58.30,34152,26
15-20um,6,0.25,1.24,215,0.55
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,542,22.36,19.75,19403,8.70
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

