List File,BB104.lst
Start Time,2016-10-14  13:57:07
Sampling Time,1 min 58 sec

Count,1256
Particles / ml,26160

Efficiency,16.3%
PPUI,1.50

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),110.19,20.01,292.06,34.93,31.70
Aspect Ratio,0.79,0.38,0.99,0.12,14.64
Circle Fit,0.73,0.00,0.94,0.08,11.53
Circularity (Hu),0.93,0.49,1.00,0.05,5.03
Compactness,1.62,1.00,9.82,0.43,26.58
Diameter (ABD),11.68,5.05,19.28,1.97,16.89
Diameter (ESD),13.27,5.57,25.76,2.19,16.51
Elongation,2.67,1.00,28.81,1.49,55.79
Geodesic Aspect Ratio,0.48,0.03,1.00,0.25,51.53
Geodesic Length,20.00,6.05,56.22,6.04,30.18
Geodesic Thickness,8.30,1.81,14.57,2.04,24.52
Image Height,38.19,24.00,73.00,4.81,12.59
Image Width,38.31,23.00,52.00,4.81,12.56
Intensity,124.32,76.97,179.23,16.27,13.09
Length,15.17,6.03,33.38,2.59,17.10
Perimeter,56.60,24.20,125.68,10.72,18.94
Roughness,1.21,1.03,2.07,0.11,9.23
Sigma Intensity,39.60,17.96,58.87,9.55,24.11
Sum Intensity,65412.10,18676.00,1.50e+005,19720.66,30.15
Transparency,0.12,0.03,0.41,0.04,30.29
Volume (ABD),903.45,67.34,3754.69,412.97,45.71
Width,11.14,4.70,17.60,2.22,19.89

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,3,0.24,0.02,62,0.01
6-7um,5,0.40,0.05,104,0.02
7-8um,17,1.35,0.24,354,0.08
8-9um,32,2.55,0.63,666,0.22
0-5um,0,0.00,0.00,0.00,0.00
5-10um,106,8.44,2.28,2208,0.79
10-15um,896,71.34,64.57,18662,22
15-20um,252,20.06,32.58,5249,11
20-25um,0,0.00,0.00,0.00,0.00
25-30um,1,0.08,0.54,21,0.19
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,49,3.90,1.35,1021,0.47
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

