List File,TT263.lst
Start Time,2016-09-20  16:47:43
Sampling Time,1 min 7 sec

Count,3288
Particles / ml,116259

Efficiency,8.4%
PPUI,4.23

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),107.68,19.60,330.33,33.43,31.04
Aspect Ratio,0.75,0.25,1.00,0.14,18.34
Circle Fit,0.66,0.00,0.94,0.13,20.17
Circularity (Hu),0.88,0.21,1.00,0.11,12.34
Compactness,1.95,1.02,17.13,1.23,63.30
Diameter (ABD),11.55,5.00,20.51,1.92,16.64
Diameter (ESD),13.53,5.90,33.08,2.27,16.80
Elongation,3.71,1.00,51.78,4.00,107.76
Geodesic Aspect Ratio,0.46,0.02,1.00,0.31,67.26
Geodesic Length,22.10,6.44,139.86,10.19,46.12
Geodesic Thickness,7.94,1.47,15.71,2.73,34.45
Image Height,38.60,20.00,73.00,5.13,13.28
Image Width,38.74,23.00,81.00,5.16,13.31
Intensity,128.87,73.61,220.03,19.70,15.29
Length,15.61,6.37,38.09,2.61,16.71
Perimeter,60.07,25.76,285.12,17.30,28.80
Roughness,1.28,1.03,3.44,0.20,15.99
Sigma Intensity,37.42,3.75,59.80,10.68,28.54
Sum Intensity,66316.61,20100.00,2.27e+005,20251.76,30.54
Transparency,0.14,0.03,0.58,0.07,51.76
Volume (ABD),871.33,65.29,4516.42,401.72,46.10
Width,11.03,2.70,28.26,2.53,22.92

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.03,0.00,35,0.00
6-7um,10,0.30,0.03,354,0.05
7-8um,20,0.61,0.10,707,0.17
8-9um,53,1.61,0.37,1874,0.61
0-5um,0,0.00,0.00,0.00,0.00
5-10um,154,4.68,1.19,5445,1.96
10-15um,2498,75.97,64.25,88325,106
15-20um,586,17.82,27.60,20720,45
20-25um,29,0.88,3.67,1025,6.02
25-30um,5,0.15,1.26,177,2.07
30-35um,5,0.15,1.78,177,2.92
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,70,2.13,0.69,2475,1.13
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

