sample,date sampled,date measured,absorbance 1,absorbance 2,species,temp,rep,notes
Blank,-,2017-06-30,-0.001,0.002,,,,
1-03-1,2017-05-02,2017-06-30,0.043,0.045,1,03,1,
2-03-1,2017-05-02,2017-06-30,0.054,0.055,2,03,1,
3-03-1,2017-05-05,2017-06-30,0.064,0.062,3,03,1,
4-03-1,2017-05-05,2017-06-30,0.023,0.027,4,03,1,
1-10-1,2017-05-02,2017-06-30,0.02,0.023,1,10,1,
2-10-1,2017-05-02,2017-06-30,0.041,0.042,2,10,1,
3-10-1,2017-05-05,2017-06-30,0.027,0.029,3,10,1,
4-10-1,2017-05-05,2017-06-30,0.033,0.033,4,10,1,
1-17-1,2017-05-02,2017-06-30,0.034,0.032,1,17,1,
2-17-1,2017-05-02,2017-06-30,0.031,0.029,2,17,1,
3-17-1,2017-05-05,2017-06-30,0.034,0.031,3,17,1,
4-17-1,2017-05-05,2017-06-30,0.028,0.031,4,17,1,
1-24-1,2017-05-02,2017-06-30,0.037,0.038,1,24,1,
2-24-1,2017-05-02,2017-06-30,0.046,0.036,2,24,1,
3-24-1,2017-05-05,2017-06-30,0.032,0.032,3,24,1,
4-24-1,2017-05-05,2017-06-30,0.023,0.026,4,24,1,
1-31-1,2017-05-02,2017-06-30,0.051,0.054,1,31,1,
2-31-1,2017-05-02,2017-06-30,0.047,0.05,2,31,1,
3-31-1,2017-05-05,2017-06-30,0.046,0.046,3,31,1,
4-31-1,2017-05-05,2017-06-30,0.043,0.035,4,31,1,
1-38-1,2017-05-02,2017-06-30,0.042,0.043,1,38,1,
2-38-1,2017-05-02,2017-06-30,0.04,0.043,2,38,1,
3-38-1,2017-05-05,2017-06-30,0.029,0.029,3,38,1,
4-38-1,2017-05-05,2017-06-30,0.057,0.057,4,38,1,
1-03-2,2017-05-02,2017-06-30,0.055,0.056,1,03,2,
2-03-2,2017-05-02,2017-06-30,0.079,0.084,2,03,2,
3-03-2,2017-05-05,2017-06-30,0.075,0.074,3,03,2,
4-03-2,2017-05-05,2017-06-30,0.037,0.039,4,03,2,
1-10-2,2017-05-02,2017-06-30,0.029,0.033,1,10,2,
2-10-2,2017-05-02,2017-06-30,0.032,0.036,2,10,2,
3-10-2,2017-05-05,2017-06-30,0.04,0.04,3,10,2,
4-10-2,2017-05-05,2017-06-30,0.096,0.09,4,10,2,
1-17-2,2017-05-02,2017-06-30,0.033,0.03,1,17,2,
2-17-2,2017-05-02,2017-06-30,0.029,0.029,2,17,2,
3-17-2,2017-05-05,2017-06-30,0.021,0.022,3,17,2,
4-17-2,2017-05-05,2017-06-30,0.025,0.027,4,17,2,
1-24-2,2017-05-02,2017-06-30,0.033,0.034,1,24,2,
2-24-2,2017-05-02,2017-06-30,0.035,0.035,2,24,2,
3-24-2,2017-05-05,2017-06-30,0.027,0.026,3,24,2,
4-24-2,2017-05-05,2017-06-30,0.027,0.028,4,24,2,
1-31-2,2017-05-02,2017-06-30,0.056,0.057,1,31,2,
2-31-2,2017-05-02,2017-06-30,0.046,0.048,2,31,2,
3-31-2,2017-05-05,2017-06-30,0.054,0.052,3,31,2,
4-31-2,2017-05-05,2017-06-30,0.079,0.076,4,31,2,
1-38-2,2017-05-02,2017-06-30,0.044,0.042,1,38,2,
2-38-2,2017-05-02,2017-06-30,0.04,0.04,2,38,2,
3-38-2,2017-05-05,2017-06-30,0.048,0.049,3,38,2,
4-38-2,2017-05-05,2017-06-30,0.078,0.079,4,38,2,
1-03-3,2017-05-02,2017-06-30,0.039,0.037,1,03,3,
2-03-3,2017-05-02,2017-06-30,0.058,0.056,2,03,3,
3-03-3,2017-05-05,2017-06-30,0.058,0.059,3,03,3,
4-03-3,2017-05-05,2017-06-30,0.039,0.037,4,03,3,
1-10-3,2017-05-02,2017-06-30,0.036,0.036,1,10,3,
2-10-3,2017-05-02,2017-06-30,0.033,0.038,2,10,3,
3-10-3,2017-05-05,2017-06-30,0.047,0.045,3,10,3,
4-10-3,2017-05-05,2017-06-30,0.036,0.037,4,10,3,
