sample,date sampled,date measured,absorbance 1,absorbance 2,species,temp,rep,notes
Blank,-,,-0.001,0.002,,,,
2001-03-01,2017-05-16,2017-07-06,0.019,0.015,1,3,1,
2002-03-01,2017-05-16,2017-07-06,0.05,0.044,2,3,1,
2001-10-01,2017-05-16,2017-07-06,0.024,0.025,1,10,1,
2002-10-01,2017-05-16,2017-07-06,0.024,0.02,2,10,1,
1-17-1,2017-05-16,2017-07-06,0.013,0.019,1,17,1,
2-17-1,2017-05-16,2017-07-06,0.018,0.014,2,17,1,
1-24-1,2017-05-16,2017-07-06,0.033,0.032,1,24,1,
2-24-1,2017-05-16,2017-07-06,0.028,0.026,2,24,1,
1-31-1,2017-05-16,2017-07-06,0.032,0.036,1,31,1,
2-31-1,2017-05-16,2017-07-06,0.025,0.025,2,31,1,
1-38-1,2017-05-16,2017-07-06,0.024,0.028,1,38,1,
2-38-1,2017-05-16,2017-07-06,0.017,0.017,2,38,1,
2001-03-02,2017-05-16,2017-07-06,0.026,0.029,1,3,2,
2002-03-02,2017-05-16,2017-07-06,0.04,0.04,2,3,2,
2001-10-02,2017-05-16,2017-07-06,0.028,0.031,1,10,2,
2002-10-02,2017-05-16,2017-07-06,0.015,0.014,2,10,2,
1-17-2,2017-05-16,2017-07-06,0.023,0.022,1,17,2,
2-17-2,2017-05-16,2017-07-06,0.026,0.026,2,17,2,
1-24-2,2017-05-16,2017-07-06,0.06,0.06,1,24,2,
2-24-2,2017-05-16,2017-07-06,0.03,0.032,2,24,2,
1-31-2,2017-05-16,2017-07-06,0.011,0.01,1,31,2,
2-31-2,2017-05-16,2017-07-06,0.035,0.034,2,31,2,
1-38-2,2017-05-16,2017-07-06,0.034,0.035,1,38,2,
2-38-2,2017-05-16,2017-07-06,0.026,0.024,2,38,2,
2001-03-03,2017-05-16,2017-07-06,0.036,0.034,1,3,3,
2002-03-03,2017-05-16,2017-07-06,0.045,0.047,2,3,3,
2001-10-03,2017-05-16,2017-07-06,0.019,0.024,1,10,3,
2002-10-03,2017-05-16,2017-07-06,0.075,0.069,2,10,3,
1-17-3,2017-05-16,2017-07-06,0.028,0.029,1,17,3,
2-17-3,2017-05-16,2017-07-06,0.024,0.024,2,17,3,
1-24-3,2017-05-16,2017-07-06,NA,NA,1,24,3,"double acid, dicscard"
2-24-3,2017-05-16,2017-07-06,0.014,0.014,2,24,3,
1-31-3,2017-05-16,2017-07-06,0.046,0.043,1,31,3,
2-31-3,2017-05-16,2017-07-06,0.035,0.037,2,31,3,
1-38-3,2017-05-16,2017-07-06,0.022,0.024,1,38,3,
2-38-3,2017-05-16,2017-07-06,0.034,0.032,2,38,3,
2001-03-04,2017-05-16,2017-07-06,0.041,0.042,1,3,4,
2002-03-04,2017-05-16,2017-07-06,0.047,0.047,2,3,4,
2001-10-04,2017-05-16,2017-07-06,0.014,0.013,1,10,4,
2002-10-04,2017-05-16,2017-07-06,0.016,0.014,2,10,4,
1-17-4,2017-05-16,2017-07-06,0.023,0.024,1,17,4,0.65ml
2-17-4,2017-05-16,2017-07-06,0.044,0.044,2,17,4,
1-24-4,2017-05-16,2017-07-06,0.026,0.026,1,24,4,
2-24-4,2017-05-16,2017-07-06,0.019,0.02,2,24,4,0.550ml
1-31-4,2017-05-16,2017-07-06,0.048,0.048,1,31,4,
2-31-4,2017-05-16,2017-07-06,0.05,0.05,2,31,4,
1-38-4,2017-05-16,2017-07-06,0.037,0.037,1,38,4,
2-38-4,2017-05-16,2017-07-06,0.031,0.031,2,38,4,
2001-03-05,2017-05-16,2017-07-06,0.022,0.021,1,3,5,
2002-03-05,2017-05-16,2017-07-06,0.039,0.039,2,3,5,
2001-10-05,2017-05-16,2017-07-06,0.023,0.024,1,10,5,
2002-10-05,2017-05-16,2017-07-06,0.029,0.031,2,10,5,
1-17-5,2017-05-16,2017-07-06,0.022,0.022,1,17,5,
2-17-5,2017-05-16,2017-07-06,0.049,0.048,2,17,5,0.6ml
1-24-5,2017-05-16,2017-07-06,0.019,0.019,1,24,5,
2-24-5,2017-05-16,2017-07-06,0.024,0.025,2,24,5,
1-31-5,2017-05-16,2017-07-06,0.04,0.041,1,31,5,
2-31-5,2017-05-16,2017-07-06,0.035,0.034,2,31,5,
1-38-5,2017-05-16,2017-07-06,0.007,0.006,1,38,5,0.6ml
2-38-5,2017-05-16,2017-07-06,0.024,0.025,2,38,5,
