sample,date sampled,date measured,absorbance 1,absorbance 2,species,temp,rep,notes
2001-03-01,2017-05-23,2017-07-14,0.031,0.029,1,3,1,
2002-03-01,2017-05-23,2017-07-14,0.041,0.04,2,3,1,
2003-03-01,2017-05-26,2017-07-14,0.077,0.074,3,3,1,
2004-03-01,2017-05-26,2017-07-14,0.033,0.032,4,3,1,
2001-10-01,2017-05-23,2017-07-14,0.019,0.022,1,10,1,
2002-10-01,2017-05-23,2017-07-14,0.034,0.032,2,10,1,
2003-10-01,2017-05-26,2017-07-14,0.042,0.044,3,10,1,
2004-10-01,2017-05-26,2017-07-14,0.03,0.03,4,10,1,
1-17-1,2017-05-23,2017-07-14,0.026,0.026,1,17,1,
2-17-1,2017-05-23,2017-07-14,0.019,0.016,2,17,1,
3-17-1,2017-05-26,2017-07-14,0.029,0.031,3,17,1,
4-17-1,2017-05-26,2017-07-14,0.032,0.029,4,17,1,
1-24-1,2017-05-23,2017-07-14,0.047,0.047,1,24,1,
2-24-1,2017-05-23,2017-07-14,0.05,0.047,2,24,1,
3-24-1,2017-05-26,2017-07-14,0.029,0.022,3,24,1,
4-24-1,2017-05-26,2017-07-14,0.026,0.026,4,24,1,
1-31-1,2017-05-23,2017-07-14,0.073,0.072,1,31,1,
2-31-1,2017-05-23,2017-07-14,0.083,0.083,2,31,1,
3-31-1,2017-05-26,2017-07-14,0.049,0.047,3,31,1,
4-31-1,2017-05-26,2017-07-14,0.049,0.049,4,31,1,
1-38-1,2017-05-23,2017-07-14,0.04,0.038,1,38,1,
2-38-1,2017-05-23,2017-07-14,0.044,0.043,2,38,1,
3-38-1,2017-05-26,2017-07-14,0.034,0.032,3,38,1,
4-38-1,2017-05-26,2017-07-14,0.033,0.034,4,38,1,
2001-03-02,2017-05-23,2017-07-14,0.037,0.038,1,3,2,
2002-03-02,2017-05-23,2017-07-14,0.074,0.076,2,3,2,
2003-03-02,2017-05-26,2017-07-14,0.068,0.064,3,3,2,
2004-03-02,2017-05-26,2017-07-14,0.034,0.039,4,3,2,
2001-10-02,2017-05-23,2017-07-14,0.036,0.034,1,10,2,
2002-10-02,2017-05-23,2017-07-14,0.024,0.026,2,10,2,
2003-10-02,2017-05-26,2017-07-14,0.082,0.079,3,10,2,
2004-10-02,2017-05-26,2017-07-14,0.026,0.024,4,10,2,
1-17-2,2017-05-23,2017-07-14,0.025,0.025,1,17,2,
2-17-2,2017-05-23,2017-07-14,0.018,0.024,2,17,2,
3-17-2,2017-05-26,2017-07-14,0.042,0.042,3,17,2,
4-17-2,2017-05-26,2017-07-14,0.027,0.025,4,17,2,
1-24-2,2017-05-23,2017-07-14,0.036,0.034,1,24,2,
2-24-2,2017-05-23,2017-07-14,0.022,0.022,2,24,2,
3-24-2,2017-05-26,2017-07-14,0.022,0.027,3,24,2,
4-24-2,2017-05-26,2017-07-14,0.024,0.024,4,24,2,
1-31-2,2017-05-23,2017-07-14,0.068,0.064,1,31,2,
2-31-2,2017-05-23,2017-07-14,0.048,0.051,2,31,2,
3-31-2,2017-05-26,2017-07-14,0.062,0.061,3,31,2,
4-31-2,2017-05-26,2017-07-14,0.051,0.049,4,31,2,
1-38-2,2017-05-23,2017-07-14,0.036,0.035,1,38,2,
2-38-2,2017-05-23,2017-07-14,0.043,0.04,2,38,2,
3-38-2,2017-05-26,2017-07-14,0.069,0.067,3,38,2,
4-38-2,2017-05-26,2017-07-14,0.068,0.067,4,38,2,
2001-03-03,2017-05-23,2017-07-14,0.043,0.042,1,3,3,
2002-03-03,2017-05-23,2017-07-14,0.07,0.071,2,3,3,
2003-03-03,2017-05-26,2017-07-14,0.077,0.073,3,3,3,
2004-03-03,2017-05-26,2017-07-14,,,4,3,3,
2001-10-03,2017-05-23,2017-07-14,0.039,0.04,1,10,3,
2002-10-03,2017-05-23,2017-07-14,0.041,0.041,2,10,3,
2003-10-03,2017-05-26,2017-07-14,0.041,0.037,3,10,3,
2004-10-03,2017-05-26,2017-07-14,0.037,0.039,4,10,3,
1-17-3,2017-05-23,2017-07-14,0.035,0.033,1,17,3,
2-17-3,2017-05-23,2017-07-14,0.033,0.031,2,17,3,
3-17-3,2017-05-26,2017-07-14,0.025,0.025,3,17,3,
4-17-3,2017-05-26,2017-07-14,0.023,0.021,4,17,3,
1-24-3,2017-05-23,2017-07-14,0.021,0.038,1,24,3,
2-24-3,2017-05-23,2017-07-14,0.032,0.034,2,24,3,
3-24-3,2017-05-26,2017-07-14,0.032,0.038,3,24,3,
4-24-3,2017-05-26,2017-07-14,0.038,0.036,4,24,3,
1-31-3,2017-05-23,2017-07-14,0.075,0.073,1,31,3,
2-31-3,2017-05-23,2017-07-14,0.041,0.044,2,31,3,
3-31-3,2017-05-26,2017-07-14,0.049,0.054,3,31,3,
4-31-3,2017-05-26,2017-07-14,0.036,0.039,4,31,3,0.5ml
1-38-3,2017-05-23,2017-07-14,0.038,0.034,1,38,3,
2-38-3,2017-05-23,2017-07-14,0.042,0.039,2,38,3,
3-38-3,2017-05-26,2017-07-14,0.042,0.038,3,38,3,
4-38-3,2017-05-26,2017-07-14,0.065,0.058,4,38,3,
2001-03-04,2017-05-23,2017-07-14,0.028,0.031,1,3,4,
2002-03-04,2017-05-23,2017-07-14,0.073,0.073,2,3,4,
2003-03-04,2017-05-26,2017-07-14,0.12,0.119,3,3,4,
2004-03-04,2017-05-26,2017-07-14,0.027,0.022,4,3,4,
2001-10-04,2017-05-23,2017-07-14,0.044,0.045,1,10,4,
2002-10-04,2017-05-23,2017-07-14,0.052,0.053,2,10,4,
2003-10-04,2017-05-26,2017-07-14,0.032,0.022,3,10,4,
2004-10-04,2017-05-26,2017-07-14,0.036,0.032,4,10,4,
1-17-4,2017-05-23,2017-07-14,0.074,0.072,1,17,4,
2-17-4,2017-05-23,2017-07-14,0.033,0.032,2,17,4,
3-17-4,2017-05-26,2017-07-14,0.053,0.048,3,17,4,
4-17-4,2017-05-26,2017-07-14,0.034,0.03,4,17,4,
1-24-4,2017-05-23,2017-07-14,0.054,0.056,1,24,4,
2-24-4,2017-05-23,2017-07-14,0.044,0.039,2,24,4,
3-24-4,2017-05-26,2017-07-14,0.027,0.027,3,24,4,
4-24-4,2017-05-26,2017-07-14,0.027,0.027,4,24,4,
1-31-4,2017-05-23,2017-07-14,0.06,0.061,1,31,4,
2-31-4,2017-05-23,2017-07-14,0.04,0.043,2,31,4,
3-31-4,2017-05-26,2017-07-14,0.041,0.044,3,31,4,
4-31-4,2017-05-26,2017-07-14,0.033,0.031,4,31,4,
1-38-4,2017-05-23,2017-07-14,0.047,0.044,1,38,4,
2-38-4,2017-05-23,2017-07-14,0.033,0.031,2,38,4,
3-38-4,2017-05-26,2017-07-14,0.056,0.058,3,38,4,
4-38-4,2017-05-26,2017-07-14,0.037,0.037,4,38,4,
2001-03-05,2017-05-23,2017-07-14,0.036,0.036,1,3,5,
2002-03-05,2017-05-23,2017-07-14,0.056,0.052,2,3,5,
2003-03-05,2017-05-26,2017-07-14,0.086,0.083,3,3,5,
2004-03-05,2017-05-26,2017-07-14,0.051,0.051,4,3,5,
2001-10-05,2017-05-23,2017-07-14,0.042,0.044,1,10,5,
2002-10-05,2017-05-23,2017-07-14,0.022,0.021,2,10,5,
2003-10-05,2017-05-26,2017-07-14,0.015,0.014,3,10,5,
2004-10-05,2017-05-26,2017-07-14,0.032,0.032,4,10,5,
1-17-5,2017-05-23,2017-07-14,0.033,0.032,1,17,5,
2-17-5,2017-05-23,2017-07-14,0.045,0.043,2,17,5,
3-17-5,2017-05-26,2017-07-14,0.052,0.046,3,17,5,
4-17-5,2017-05-26,2017-07-14,0.031,0.033,4,17,5,
1-24-5,2017-05-23,2017-07-14,0.061,0.06,1,24,5,
2-24-5,2017-05-23,2017-07-14,0.072,0.069,2,24,5,0.5ml
3-24-5,2017-05-26,2017-07-14,0.039,0.037,3,24,5,
4-24-5,2017-05-26,2017-07-14,0.035,0.028,4,24,5,
1-31-5,2017-05-23,2017-07-14,0.074,0.073,1,31,5,
2-31-5,2017-05-23,2017-07-14,0.03,0.031,2,31,5,
3-31-5,2017-05-26,2017-07-14,0.047,0.046,3,31,5,
4-31-5,2017-05-26,2017-07-14,0.031,0.031,4,31,5,
1-38-5,2017-05-23,2017-07-14,0.018,0.027,1,38,5,
2-38-5,2017-05-23,2017-07-14,0.019,0.026,2,38,5,
3-38-5,2017-05-26,2017-07-14,0.033,0.032,3,38,5,
4-38-5,2017-05-26,2017-07-14,0.06,0.06,4,38,5,
2001-03-01,2017-06-15,2017-07-14,0.025,0.02,1,3,1,
2001-03-02,2017-06-15,2017-07-14,0.02,0.019,1,3,2,
2001-03-03,2017-06-15,2017-07-14,0.023,0.022,1,3,3,
2001-03-04,2017-06-15,2017-07-14,0.027,0.031,1,3,4,
2001-03-05,2017-06-15,2017-07-14,0.038,0.036,1,3,5,
2001-03-01,2017-06-15,2017-07-14,0.023,0.022,4,3,1,
2002-03-02,2017-06-15,2017-07-14,0.029,0.029,4,3,2,
2002-03-03,2017-06-15,2017-07-14,0.025,0.02,4,3,3,
2002-03-04,2017-06-15,2017-07-14,0.025,0.022,4,3,4,
2002-03-05,2017-06-15,2017-07-14,0.022,0.021,4,3,5,
