sample,date sampled,date measured,absorbance 1,absorbance 2,species,temp,rep,notes
Blank,-,2017-06-28,-0.003,0.006,,,,
1-03-1,2017-04-18,2017-06-28,0.028,0.026,1,03,1,
2-03-1,2017-04-18,2017-06-28,0.034,0.035,2,03,1,
3-03-1,2017-04-21,2017-06-28,0.031,0.028,3,03,1,
4-03-1,2017-04-21,2017-06-28,0.026,0.024,4,03,1,
1-10-1,2017-04-18,2017-06-28,-0.003,-0.007,1,10,1,
2-10-1,2017-04-18,2017-06-28,0.01,0.011,2,10,1,
3-10-1,2017-04-21,2017-06-28,0.019,0.019,3,10,1,
4-10-1,2017-04-21,2017-06-28,-0.022,-0.021,4,10,1,
1-17-1,2017-04-18,2017-06-28,0.025,0.028,1,17,1,
2-17-1,2017-04-18,2017-06-28,-0.02,-0.019,2,17,1,
3-17-1,2017-04-21,2017-06-28,0,-0.001,3,17,1,
4-17-1,2017-04-21,2017-06-28,-0.007,-0.007,4,17,1,
1-24-1,2017-04-18,2017-06-28,-0.007,-0.003,1,24,1,
2-24-1,2017-04-18,2017-06-28,-0.004,0,2,24,1,
3-24-1,2017-04-21,2017-06-28,-0.001,-0.002,3,24,1,
4-24-1,2017-04-21,2017-06-28,0,-0.004,4,24,1,
1-31-1,2017-04-18,2017-06-28,0.016,0.018,1,31,1,
2-31-1,2017-04-18,2017-06-28,0.014,0.01,2,31,1,
3-31-1,2017-04-21,2017-06-28,0.008,0.008,3,31,1,
4-31-1,2017-04-21,2017-06-28,-0.005,-0.003,4,31,1,
1-38-1,2017-04-18,2017-06-28,0.066,0.066,1,38,1,
2-38-1,2017-04-18,2017-06-28,0.039,0.042,2,38,1,
3-38-1,2017-04-21,2017-06-28,0.024,0.025,3,38,1,
4-38-1,2017-04-21,2017-06-28,0.019,0.021,4,38,1,
1-03-2,2017-04-18,2017-06-28,0.063,0.063,1,03,2,
2-03-2,2017-04-18,2017-06-28,0.053,0.055,2,03,2,
3-03-2,2017-04-21,2017-06-28,0.082,0.082,3,03,2,
4-03-2,2017-04-21,2017-06-28,0.04,0.044,4,03,2,
1-10-2,2017-04-18,2017-06-28,0.063,0.067,1,10,2,
2-10-2,2017-04-18,2017-06-28,0.028,0.029,2,10,2,
3-10-2,2017-04-21,2017-06-28,0.044,0.048,3,10,2,
4-10-2,2017-04-21,2017-06-28,0.018,0.018,4,10,2,
1-17-2,2017-04-18,2017-06-28,0.019,0.019,1,17,2,
2-17-2,2017-04-18,2017-06-28,0.054,0.057,2,17,2,
3-17-2,2017-04-21,2017-06-28,0.041,0.043,3,17,2,
4-17-2,2017-04-21,2017-06-28,0.024,0.024,4,17,2,
1-24-2,2017-04-18,2017-06-28,0.037,0.038,1,24,2,
2-24-2,2017-04-18,2017-06-28,0.02,0.022,2,24,2,
3-24-2,2017-04-21,2017-06-28,,0,3,24,2,
4-24-2,2017-04-21,2017-06-28,0.017,0.02,4,24,2,
1-31-2,2017-04-18,2017-06-28,0.062,0.063,1,31,2,
2-31-2,2017-04-18,2017-06-28,0.159,0.159,2,31,2,
3-31-2,2017-04-21,2017-06-28,0.042,0.043,3,31,2,
4-31-2,2017-04-21,2017-06-28,0.034,0.034,4,31,2,
1-38-2,2017-04-18,2017-06-28,0.049,0.051,1,38,2,
2-38-2,2017-04-18,2017-06-28,0.034,0.031,2,38,2,
3-38-2,2017-04-21,2017-06-28,0.047,0.045,3,38,2,
4-38-2,2017-04-21,2017-06-28,0.055,0.058,4,38,2,
1-03-3,2017-04-18,2017-06-28,0.076,0.051,1,3,3,
2-03-3,2017-04-18,2017-06-28,0.06,0.059,2,3,3,
3-03-3,2017-04-21,2017-06-28,0.054,0.054,3,3,3,
4-03-3,2017-04-21,2017-06-28,0.049,0.048,4,3,3,
1-10-3,2017-04-18,2017-06-28,0.066,0.062,1,10,3,
2-10-3,2017-04-18,2017-06-28,0.041,0.036,2,10,3,
3-10-3,2017-04-21,2017-06-28,0.044,0.04,3,10,3,
4-10-3,2017-04-21,2017-06-28,0.014,0.012,4,10,3,
1-17-3,2017-04-18,2017-06-28,0.022,0.019,1,17,3,
2-17-3,2017-04-18,2017-06-28,0,0,2,17,3,
3-17-3,2017-04-21,2017-06-28,0.012,0.009,3,17,3,
4-17-3,2017-04-21,2017-06-28,0,0,4,17,3,
1-24-3,2017-04-18,2017-06-28,0.014,0.01,1,24,3,
2-24-3,2017-04-18,2017-06-28,0.128,0.122,2,24,3,
3-24-3,2017-04-21,2017-06-28,0.014,0.015,3,24,3,
4-24-3,2017-04-21,2017-06-28,0.03,0.032,4,24,3,
1-31-3,2017-04-18,2017-06-28,0.039,0.034,1,31,3,
2-31-3,2017-04-18,2017-06-28,0.025,0.029,2,31,3,
3-31-3,2017-04-21,2017-06-28,0.027,0.024,3,31,3,
4-31-3,2017-04-21,2017-06-28,0.023,0.025,4,31,3,
1-38-3,2017-04-18,2017-06-28,0.026,0.023,1,38,3,
2-38-3,2017-04-18,2017-06-28,0.016,0.018,2,38,3,
3-38-3,2017-04-21,2017-06-28,0.026,0.023,3,38,3,
4-38-3,2017-04-21,2017-06-28,0.041,0.045,4,38,3,
1-03-4,2017-04-18,2017-06-28,0.053,0.051,1,3,4,
2-03-4,2017-04-18,2017-06-28,0.061,0.061,2,3,4,
3-03-4,2017-04-21,2017-06-28,0.056,0.058,3,3,4,
4-03-4,2017-04-21,2017-06-28,0.067,0.064,4,3,4,
1-10-4,2017-04-18,2017-06-28,0.03,0.033,1,10,4,
2-10-4,2017-04-18,2017-06-28,0.025,0.027,2,10,4,
3-10-4,2017-04-21,2017-06-28,0.011,0.008,3,10,4,
4-10-4,2017-04-21,2017-06-28,0.008,0.008,4,10,4,
1-17-4,2017-04-18,2017-06-28,0.032,0.028,1,17,4,
2-17-4,2017-04-18,2017-06-28,0.028,0.025,2,17,4,
3-17-4,2017-04-21,2017-06-28,0.019,0.018,3,17,4,
4-17-4,2017-04-21,2017-06-28,0.017,0.017,4,17,4,
1-24-4,2017-04-18,2017-06-28,0.022,0.021,1,24,4,
2-24-4,2017-04-18,2017-06-28,0.285,0.286,2,24,4,
3-24-4,2017-04-21,2017-06-28,0.01,0.013,3,24,4,
4-24-4,2017-04-21,2017-06-28,0,0,4,24,4,
1-31-4,2017-04-18,2017-06-28,0,0,1,31,4,
2-31-4,2017-04-18,2017-06-28,0.047,0.046,2,31,4,
