sample,date sampled,date measured,absorbance 1,absorbance 2,species,temp,rep,notes
Blank,-,2017-07-05,0.002,0.004,,,,
2003-03-01,2017-05-12,2017-07-05,0.072,0.067,3,3,1,
2004-03-01,2017-05-12,2017-07-05,0.079,0.08,4,3,1,
2003-10-01,2017-05-12,2017-07-05,0.035,0.035,3,10,1,
2004-10-01,2017-05-12,2017-07-05,0.028,0.027,4,10,1,
3-17-1,2017-05-12,2017-07-05,0.02,0.02,3,17,1,
4-17-1,2017-05-12,2017-07-05,0.016,0.016,4,17,1,
3-24-1,2017-05-12,2017-07-05,0.016,0.016,3,24,1,
4-24-1,2017-05-12,2017-07-05,0.046,0.047,4,24,1,
3-31-1,2017-05-12,2017-07-05,0.024,0.027,3,31,1,
4-31-1,2017-05-12,2017-07-05,0.016,0.016,4,31,1,650 ul
3-38-1,2017-05-12,2017-07-05,0.033,0.033,3,38,1,
4-38-1,2017-05-12,2017-07-05,0.02,0.022,4,38,1,
2003-03-02,2017-05-12,2017-07-05,0.033,0.032,3,3,2,
2004-03-02,2017-05-12,2017-07-05,0.041,0.039,4,3,2,
2003-10-02,2017-05-12,2017-07-05,0.02,0.018,3,10,2,
2004-10-02,2017-05-12,2017-07-05,0.02,0.02,4,10,2,
3-17-2,2017-05-12,2017-07-05,0.04,0.036,3,17,2,
4-17-2,2017-05-12,2017-07-05,0.067,0.066,4,17,2,
3-24-2,2017-05-12,2017-07-05,0.035,0.03,3,24,2,
4-24-2,2017-05-12,2017-07-05,0.044,0.043,4,24,2,
3-31-2,2017-05-12,2017-07-05,0.057,0.057,3,31,2,
4-31-2,2017-05-12,2017-07-05,0.055,0.055,4,31,2,
3-38-2,2017-05-12,2017-07-05,0.056,0.052,3,38,2,
4-38-2,2017-05-12,2017-07-05,0.093,0.092,4,38,2,
2003-03-03,2017-05-12,2017-07-05,0.065,0.064,3,3,3,
2004-03-03,2017-05-12,2017-07-05,0.112,0.116,4,3,3,500 ul
2003-10-03,2017-05-12,2017-07-05,0.027,0.027,3,10,3,
2004-10-03,2017-05-12,2017-07-05,0.036,0.034,4,10,3,
3-17-3,2017-05-12,2017-07-05,0.05,0.05,3,17,3,
4-17-3,2017-05-12,2017-07-05,0.026,0.03,4,17,3,
3-24-3,2017-05-12,2017-07-05,0.021,0.023,3,24,3,
4-24-3,2017-05-12,2017-07-05,0.019,0.021,4,24,3,
3-31-3,2017-05-12,2017-07-05,0.058,0.057,3,31,3,
4-31-3,2017-05-12,2017-07-05,0.072,0.072,4,31,3,
3-38-3,2017-05-12,2017-07-05,0.029,0.031,3,38,3,
4-38-3,2017-05-12,2017-07-05,0.079,0.078,4,38,3,
2003-03-04,2017-05-12,2017-07-05,0.056,0.057,3,3,4,
2004-03-04,2017-05-12,2017-07-05,0.041,0.04,4,3,4,
2003-10-04,2017-05-12,2017-07-05,0.082,0.082,3,10,4,
2004-10-04,2017-05-12,2017-07-05,0.051,0.051,4,10,4,
3-17-4,2017-05-12,2017-07-05,0.026,0.025,3,17,4,
4-17-4,2017-05-12,2017-07-05,0.03,0.029,4,17,4,
3-24-4,2017-05-12,2017-07-05,0.034,0.031,3,24,4,
4-24-4,2017-05-12,2017-07-05,0.028,0.027,4,24,4,
3-31-4,2017-05-12,2017-07-05,0.067,0.068,3,31,4,
4-31-4,2017-05-12,2017-07-05,0.022,0.022,4,31,4,
3-38-4,2017-05-12,2017-07-05,0.073,0.071,3,38,4,
4-38-4,2017-05-12,2017-07-05,0.083,0.082,4,38,4,
2003-03-05,2017-05-12,2017-07-05,0.117,0.118,3,3,5,
2004-03-05,2017-05-12,2017-07-05,0.037,0.037,4,3,5,
2003-10-05,2017-05-12,2017-07-05,0.024,0.024,3,10,5,
2004-10-05,2017-05-12,2017-07-05,0.159,0.159,4,10,5,
3-17-5,2017-05-12,2017-07-05,0.044,0.043,3,17,5,
4-17-5,2017-05-12,2017-07-05,0.048,0.045,4,17,5,
3-24-5,2017-05-12,2017-07-05,0.046,0.046,3,24,5,
4-24-5,2017-05-12,2017-07-05,0.048,0.052,4,24,5,650 ul
3-31-5,2017-05-12,2017-07-05,0.047,0.047,3,31,5,
4-31-5,2017-05-12,2017-07-05,0.051,0.051,4,31,5,
3-38-5,2017-05-12,2017-07-05,0.073,0.072,3,38,5,
4-38-5,2017-05-12,2017-07-05,0.061,0.06,4,38,5,
