sample,date sampled,date measured,absorbance 1,absorbance 2,species,temp,rep,notes
Blank,-,,,,,,,
1-03-1,2017-04-25,2017-06-29,0.049,0.049,1,03,1,
2-03-1,2017-04-25,2017-06-29,0.047,0.041,2,03,1,
3-03-1,2017-04-28,2017-06-29,0.032,0.032,3,03,1,
4-03-1,2017-04-28,2017-06-29,0.032,0.03,4,03,1,
1-10-1,2017-04-25,2017-06-29,0.012,0.012,1,10,1,
2-10-1,2017-04-25,2017-06-29,0.012,0.013,2,10,1,
3-10-1,2017-04-28,2017-06-29,0.011,0.011,3,10,1,
4-10-1,2017-04-28,2017-06-29,0.048,0.047,4,10,1,
1-17-1,2017-04-25,2017-06-29,0.029,0.03,1,17,1,
2-17-1,2017-04-25,2017-06-29,0.019,0.02,2,17,1,
3-17-1,2017-04-28,2017-06-29,,,3,17,1,
4-17-1,2017-04-28,2017-06-29,0.134,0.136,4,17,1,0.5ml
1-24-1,2017-04-25,2017-06-29,0.015,0.013,1,24,1,
2-24-1,2017-04-25,2017-06-29,0.014,0.015,2,24,1,
3-24-1,2017-04-28,2017-06-29,0.019,0.018,3,24,1,
4-24-1,2017-04-28,2017-06-29,0.02,0.021,4,24,1,
1-31-1,2017-04-25,2017-06-29,0.036,0.033,1,31,1,
2-31-1,2017-04-25,2017-06-29,0.041,0.039,2,31,1,
3-31-1,2017-04-28,2017-06-29,0.029,0.029,3,31,1,
4-31-1,2017-04-28,2017-06-29,0.016,0.022,4,31,1,
1-38-1,2017-04-25,2017-06-29,0.028,0.026,1,38,1,
2-38-1,2017-04-25,2017-06-29,0.021,0.023,2,38,1,
3-38-1,2017-04-28,2017-06-29,0.018,0.018,3,38,1,
4-38-1,2017-04-28,2017-06-29,0.024,0.018,4,38,1,
1-03-2,2017-04-25,2017-06-29,0.036,0.033,1,03,2,
2-03-2,2017-04-25,2017-06-29,0.048,0.044,2,03,2,
3-03-2,2017-04-28,2017-06-29,0.042,0.039,3,03,2,
4-03-2,2017-04-28,2017-06-29,0.047,0.046,4,03,2,
1-10-2,2017-04-25,2017-06-29,0.017,0.015,1,10,2,
2-10-2,2017-04-25,2017-06-29,0.013,0.013,2,10,2,
3-10-2,2017-04-28,2017-06-29,0.039,0.036,3,10,2,
4-10-2,2017-04-28,2017-06-29,0.017,0.021,4,10,2,
1-17-2,2017-04-25,2017-06-29,0.014,0.013,1,17,2,
2-17-2,2017-04-25,2017-06-29,0.014,0.013,2,17,2,
3-17-2,2017-04-28,2017-06-29,0.007,0.007,3,17,2,
4-17-2,2017-04-28,2017-06-29,0.014,0.013,4,17,2,
1-24-2,2017-04-25,2017-06-29,0.034,0.038,1,24,2,
2-24-2,2017-04-25,2017-06-29,0.038,0.04,2,24,2,
3-24-2,2017-04-28,2017-06-29,0.043,0.042,3,24,2,0.5ml
4-24-2,2017-04-28,2017-06-29,0.009,0.013,4,24,2,
1-31-2,2017-04-25,2017-06-29,0.047,0.047,1,31,2,
2-31-2,2017-04-25,2017-06-29,0.024,0.028,2,31,2,
3-31-2,2017-04-28,2017-06-29,0.034,0.034,3,31,2,
4-31-2,2017-04-28,2017-06-29,0.025,0.026,4,31,2,
1-38-2,2017-04-25,2017-06-29,0.043,0.043,1,38,2,
2-38-2,2017-04-25,2017-06-29,0.025,0.026,2,38,2,
3-38-2,2017-04-28,2017-06-29,0.037,0.039,3,38,2,
4-38-2,2017-04-28,2017-06-29,0.064,0.064,4,38,2,
1-03-3,2017-04-25,2017-06-29,0.04,0.044,1,03,3,
2-03-3,2017-04-25,2017-06-29,0.069,0.069,2,03,3,
3-03-3,2017-04-28,2017-06-29,0.038,0.034,3,03,3,
4-03-3,2017-04-28,2017-06-29,0,0,4,03,3,
1-10-3,2017-04-25,2017-06-29,0.01,0.011,1,10,3,
2-10-3,2017-04-25,2017-06-29,0.029,0.027,2,10,3,0.5ml
3-10-3,2017-04-28,2017-06-29,0.024,0.023,3,10,3,
4-10-3,2017-04-28,2017-06-29,0.036,0.033,4,10,3,
1-17-3,2017-04-25,2017-06-29,0.017,0.018,1,17,3,
2-17-3,2017-04-25,2017-06-29,0.014,0.012,2,17,3,
3-17-3,2017-04-28,2017-06-29,0.021,0.021,3,17,3,
4-17-3,2017-04-28,2017-06-29,0.024,0.019,4,17,3,
1-24-3,2017-04-25,2017-06-29,0.015,0.015,1,24,3,
2-24-3,2017-04-25,2017-06-29,0.015,0.017,2,24,3,
3-24-3,2017-04-28,2017-06-29,0.012,0.013,3,24,3,0.5ml
4-24-3,2017-04-28,2017-06-29,0.03,0.026,4,24,3,
1-31-3,2017-04-25,2017-06-29,0.048,0.047,1,31,3,
2-31-3,2017-04-25,2017-06-29,0.028,0.028,2,31,3,
3-31-3,2017-04-28,2017-06-29,0.039,0.039,3,31,3,
4-31-3,2017-04-28,2017-06-29,0.023,0.022,4,31,3,
1-38-3,2017-04-25,2017-06-29,0.039,0.038,1,38,3,
2-38-3,2017-04-25,2017-06-29,0.027,0.024,2,38,3,
3-38-3,2017-04-28,2017-06-29,0.031,0.029,3,38,3,
4-38-3,2017-04-28,2017-06-29,0.049,0.047,4,38,3,
1-03-4,2017-04-25,2017-06-29,0.04,0.038,1,03,4,
2-03-4,2017-04-25,2017-06-29,0.062,0.063,2,03,4,
3-03-4,2017-04-28,2017-06-29,0.039,0.04,3,03,4,
4-03-4,2017-04-28,2017-06-29,0.045,0.042,4,03,4,
1-10-4,2017-04-25,2017-06-29,0.006,0.008,1,10,4,
2-10-4,2017-04-25,2017-06-29,0.024,0.024,2,10,4,
3-10-4,2017-04-28,2017-06-29,0.033,0.037,3,10,4,floatie in sample
4-10-4,2017-04-28,2017-06-29,0.022,0.018,4,10,4,
1-17-4,2017-04-25,2017-06-29,0.015,0.016,1,17,4,
2-17-4,2017-04-25,2017-06-29,0.029,0.03,2,17,4,
3-17-4,2017-04-28,2017-06-29,0.018,0.018,3,17,4,
4-17-4,2017-04-28,2017-06-29,0.011,0.012,4,17,4,0.5ml
1-24-4,2017-04-25,2017-06-29,0.016,0.017,1,24,4,
2-24-4,2017-04-25,2017-06-29,0.014,0.011,2,24,4,
3-24-4,2017-04-28,2017-06-29,0.024,0.023,3,24,4,
4-24-4,2017-04-28,2017-06-29,0.009,0.013,4,24,4,
1-31-4,2017-04-25,2017-06-29,0.025,0.026,1,31,4,
2-31-4,2017-04-25,2017-06-29,0.015,0.016,2,31,4,
3-31-4,2017-04-28,2017-06-29,0.03,0.034,3,31,4,
4-31-4,2017-04-28,2017-06-29,0.02,0.016,4,31,4,
