sample,date sampled,date measured,absorbance 1,absorbance 2,species,temp,rep,notes
1-03-1,2017-04-04,2017-06-26,0.057,0.057,1,03,1,
1-10-1,2017-04-04,2017-06-26,0.021,0.023,1,10,1,
1-17-1,2017-04-04,2017-06-26,0.049,0.048,1,17,1,
1-24-1,2017-04-04,2017-06-26,0.022,0.023,1,24,1,
1-31-1,2017-04-04,2017-06-26,0.026,0.018,1,31,1,
1-38-1,2017-04-04,2017-06-26,0.025,0.023,1,38,1,
1-03-2,2017-04-04,2017-06-26,0.046,0.046,1,03,2,
1-10-2,2017-04-04,2017-06-26,0.114,0.115,1,10,2,
1-17-2,2017-04-04,2017-06-26,0.032,0.027,1,17,2,
1-24-2,2017-04-04,2017-06-26,0.035,0.036,1,24,2,
1-31-2,2017-04-04,2017-06-26,0.039,0.04,1,31,2,
1-38-2,2017-04-04,2017-06-26,0.051,0.05,1,38,2,
1-03-3,2017-04-04,2017-06-26,0.04,0.04,1,03,3,
1-10-3,2017-04-04,2017-06-26,0.04,0.037,1,10,3,
1-17-3,2017-04-04,2017-06-26,0.04,0.041,1,17,3,
1-24-3,2017-04-04,2017-06-26,NA,NA,1,24,3,
1-31-3,2017-04-04,2017-06-26,0.053,0.054,1,31,3,
1-38-3,2017-04-04,2017-06-26,0.011,0.012,1,38,3,
1-03-4,2017-04-04,2017-06-26,0.037,0.034,1,03,4,
1-10-4,2017-04-04,2017-06-26,0.217,0.227,1,10,4,
1-17-4,2017-04-04,2017-06-26,0.027,0.027,1,17,4,
1-24-4,2017-04-04,2017-06-26,0.038,0.038,1,24,4,
1-31-4,2017-04-04,2017-06-26,0.059,0.059,1,31,4,
1-38-4,2017-04-04,2017-06-26,0.052,0.058,1,38,4,
1-03-5,2017-04-04,2017-06-26,0.053,0.056,1,03,5,
1-10-5,2017-04-04,2017-06-26,NA,NA,1,10,5,
1-17-5,2017-04-04,2017-06-26,0.049,0.048,1,17,5,
1-24-5,2017-04-04,2017-06-26,0.057,0.057,1,24,5,
1-31-5,2017-04-04,2017-06-26,0.089,0.082,1,31,5,
1-38-5,2017-04-04,2017-06-26,0.036,0.033,1,38,5,
