sample,date sampled,date measured,absorbance 1,absorbance 2,species,temp,rep,notes
1-03-1,2017-04-11,2017-06-26,0.059,0.061,1,03,1,wrong date entered
1-03-1,2017-04-11,2017-06-26,0.055,0.056,1,03,1,wrong date entered
1-10-1,2017-04-11,2017-06-26,0.11,0.113,1,10,1,wrong date entered
1-10-1,2017-04-11,2017-06-26,0.075,0.077,1,10,1,wrong date entered
1-17-1,2017-04-11,2017-06-26,0.011,0.015,1,17,1,wrong date entered
1-17-1,2017-04-11,2017-06-26,0.043,0.044,1,17,1,wrong date entered
1-24-1,2017-04-11,2017-06-26,0.018,0.019,1,24,1,wrong date entered
1-24-1,2017-04-11,2017-06-26,0.047,0.049,1,24,1,wrong date entered
1-31-1,2017-04-11,2017-06-26,0.027,0.024,1,31,1,wrong date entered
1-31-1,2017-04-11,2017-06-26,0.048,0.047,1,31,1,wrong date entered
1-38-1,2017-04-11,2017-06-26,0.062,0.068,1,38,1,
2-38-1,2017-04-11,2017-06-26,0.051,0.051,2,38,1,
1-03-2,2017-04-11,2017-06-26,0.054,0.052,1,03,2,
2-03-2,2017-04-11,2017-06-26,0.013,0.014,2,03,2,
1-10-2,2017-04-11,2017-06-26,0.039,0.033,1,10,2,
2-10-2,2017-04-11,2017-06-26,0.052,0.05,2,10,2,
1-17-2,2017-04-11,2017-06-26,0.018,0.02,1,17,2,
2-17-2,2017-04-11,2017-06-26,0.056,0.057,2,17,2,
1-24-2,2017-04-11,2017-06-26,0.019,0.021,1,24,2,
2-24-2,2017-04-11,2017-06-26,0.04,0.042,2,24,2,
1-31-2,2017-04-11,2017-06-26,0.024,0.025,1,31,2,
2-31-2,2017-04-11,2017-06-26,0.048,0.049,2,31,2,
1-38-2,2017-04-11,2017-06-26,0.05,0.05,1,38,2,
2-38-2,2017-04-11,2017-06-26,0.051,0.048,2,38,2,
1-03-3,2017-04-11,2017-06-26,0.054,0.057,1,03,3,
2-03-3,2017-04-11,2017-06-26,0.161,0.162,2,03,3,
1-10-3,2017-04-11,2017-06-26,0.017,0.018,1,10,3,
2-10-3,2017-04-11,2017-06-26,0.069,0.069,2,10,3,
1-17-3,2017-04-11,2017-06-26,0.019,0.02,1,17,3,
2-17-3,2017-04-11,2017-06-26,0.033,0.044,2,17,3,
1-24-3,2017-04-11,2017-06-26,0.029,0.028,1,24,3,
2-24-3,2017-04-11,2017-06-26,0.045,0.048,2,24,3,
1-31-3,2017-04-11,2017-06-26,0.048,0.043,1,31,3,
2-31-3,2017-04-11,2017-06-26,0.045,0.053,2,31,3,
1-38-3,2017-04-11,2017-06-26,0.05,0.05,1,38,3,
2-38-3,2017-04-11,2017-06-26,0.085,0.081,2,38,3,
1-03-4,2017-04-11,2017-06-26,0.053,0.052,1,03,4,
2-03-4,2017-04-11,2017-06-26,0.045,0.046,2,03,4,
1-10-4,2017-04-11,2017-06-26,0.02,0.014,1,10,4,
2-10-4,2017-04-11,2017-06-26,0.139,0.145,2,10,4,
1-17-4,2017-04-11,2017-06-26,0.016,0.016,1,17,4,
2-17-4,2017-04-11,2017-06-26,0.053,0.056,2,17,4,
1-24-4,2017-04-11,2017-06-26,0.029,0.026,1,24,4,
2-24-4,2017-04-11,2017-06-26,0.074,0.064,2,24,4,
1-31-4,2017-04-11,2017-06-26,0.02,0.018,1,31,4,
2-31-4,2017-04-11,2017-06-26,0.056,0.056,2,31,4,
1-38-4,2017-04-11,2017-06-26,0.049,0.045,1,38,4,
2-38-4,2017-04-11,2017-06-26,0.045,0.046,2,38,4,
1-03-5,2017-04-11,2017-06-26,0.065,0.062,1,03,5,
2-03-5,2017-04-11,2017-06-26,0.099,0.098,2,03,5,
1-10-5,2017-04-11,2017-06-26,0.023,0.021,1,10,5,
2-10-5,2017-04-11,2017-06-26,0.067,0.068,2,10,5,
1-17-5,2017-04-11,2017-06-26,0.025,0.027,1,17,5,
2-17-5,2017-04-11,2017-06-26,0.032,0.03,2,17,5,
1-24-5,2017-04-11,2017-06-26,0.022,0.019,1,24,5,
2-24-5,2017-04-11,2017-06-26,0.037,0.037,2,24,5,
1-31-5,2017-04-11,2017-06-26,0.023,0.022,1,31,5,
2-31-5,2017-04-11,2017-06-26,0.049,0.048,2,31,5,
1-38-5,2017-04-11,2017-06-26,0.052,0.055,1,38,5,
2-38-5,2017-04-11,2017-06-26,0.039,0.039,2,38,5,
