List File,TT252.lst
Start Time,2016-09-27  15:57:40
Sampling Time,1 min 6 sec

Count,2797
Particles / ml,99954

Efficiency,8.5%
PPUI,3.74

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),105.32,19.81,336.33,39.78,37.77
Aspect Ratio,0.75,0.26,0.99,0.12,16.33
Circle Fit,0.70,0.08,0.94,0.10,14.33
Circularity (Hu),0.91,0.21,1.00,0.07,7.87
Compactness,1.68,1.01,9.41,0.47,27.86
Diameter (ABD),11.38,5.02,20.69,2.17,19.05
Diameter (ESD),13.05,6.08,24.69,2.32,17.74
Elongation,2.84,1.00,27.53,1.60,56.40
Geodesic Aspect Ratio,0.44,0.04,1.00,0.22,50.13
Geodesic Length,20.24,6.64,55.25,6.34,31.31
Geodesic Thickness,7.91,1.60,16.59,2.07,26.20
Image Height,38.37,23.00,67.00,5.39,14.05
Image Width,37.41,20.00,67.00,4.83,12.92
Intensity,137.15,77.73,211.66,18.69,13.63
Length,15.14,6.80,31.39,2.57,17.00
Perimeter,56.29,26.55,123.35,11.80,20.96
Roughness,1.23,1.04,2.11,0.13,10.85
Sigma Intensity,40.28,5.27,58.44,8.18,20.30
Sum Intensity,71311.76,15952.00,2.09e+005,29429.68,41.27
Transparency,0.13,0.04,0.60,0.04,33.53
Volume (ABD),855.61,66.31,4639.91,489.49,57.21
Width,10.69,2.77,18.98,2.46,23.02

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,12,0.43,0.05,429,0.07
7-8um,28,1.00,0.19,1001,0.24
8-9um,78,2.79,0.73,2787,0.93
0-5um,0,0.00,0.00,0.00,0.00
5-10um,247,8.83,2.63,8827,3.36
10-15um,2012,71.93,61.69,71901,79
15-20um,521,18.63,33.48,18619,43
20-25um,13,0.46,2.08,465,2.65
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,129,4.61,1.66,4610,2.12
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

