List File,BB164.lst
Start Time,2016-09-27  16:34:42
Sampling Time,59 sec

Count,2906
Particles / ml,116352

Efficiency,8.5%
PPUI,4.24

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),115.59,23.12,303.71,39.35,34.04
Aspect Ratio,0.74,0.34,0.99,0.13,17.12
Circle Fit,0.70,0.00,0.93,0.10,14.32
Circularity (Hu),0.91,0.52,1.00,0.06,7.06
Compactness,1.63,1.02,5.86,0.37,22.44
Diameter (ABD),11.96,5.43,19.66,2.03,16.99
Diameter (ESD),13.66,6.97,24.02,2.21,16.19
Elongation,2.69,1.00,16.35,1.29,48.07
Geodesic Aspect Ratio,0.46,0.06,1.00,0.23,49.28
Geodesic Length,20.62,7.22,64.59,6.15,29.81
Geodesic Thickness,8.38,1.91,16.54,1.97,23.54
Image Height,39.60,25.00,68.00,5.40,13.65
Image Width,38.36,21.00,64.00,4.82,12.58
Intensity,132.20,79.81,185.63,18.93,14.32
Length,15.89,8.03,31.44,2.51,15.79
Perimeter,58.00,28.89,138.42,11.19,19.29
Roughness,1.22,1.03,1.98,0.12,10.21
Sigma Intensity,39.16,14.40,58.99,9.29,23.72
Sum Intensity,74502.48,17338.00,1.90e+005,29868.09,40.09
Transparency,0.12,0.04,0.38,0.04,29.87
Volume (ABD),974.64,83.61,3981.45,504.41,51.75
Width,11.13,2.93,18.51,2.43,21.86

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,1,0.03,0.00,40,0.01
7-8um,5,0.17,0.03,200,0.04
8-9um,38,1.31,0.30,1521,0.50
0-5um,0,0.00,0.00,0.00,0.00
5-10um,131,4.51,1.27,5245,2.13
10-15um,2028,69.79,56.37,81198,94
15-20um,718,24.71,39.94,28748,67
20-25um,16,0.55,2.11,641,3.53
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,87,2.99,0.94,3483,1.58
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

