List File,BB305.lst
Start Time,2016-10-28  14:07:06
Sampling Time,59 sec

Count,2637
Particles / ml,104838

Efficiency,8.4%
PPUI,3.90

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),83.28,19.60,269.93,36.92,44.34
Aspect Ratio,0.78,0.22,0.99,0.11,14.16
Circle Fit,0.71,0.09,0.91,0.10,14.18
Circularity (Hu),0.91,0.24,0.99,0.08,8.72
Compactness,1.81,1.02,7.47,0.77,42.67
Diameter (ABD),10.04,5.00,18.54,2.30,22.93
Diameter (ESD),11.69,5.59,21.99,2.39,20.48
Elongation,3.26,1.00,21.43,2.56,78.50
Geodesic Aspect Ratio,0.43,0.05,1.00,0.23,54.50
Geodesic Length,19.04,6.13,59.13,6.49,34.11
Geodesic Thickness,7.07,1.67,15.37,2.32,32.83
Image Height,35.52,20.00,60.00,5.15,14.51
Image Width,35.25,22.00,58.00,4.90,13.89
Intensity,150.05,79.96,212.44,19.64,13.09
Length,13.44,6.03,27.50,2.77,20.60
Perimeter,52.23,24.53,124.70,11.96,22.91
Roughness,1.28,1.04,2.38,0.18,14.43
Sigma Intensity,41.07,3.64,55.98,6.94,16.89
Sum Intensity,62919.27,17306.00,1.80e+005,25685.20,40.82
Transparency,0.14,0.05,0.54,0.06,38.50
Volume (ABD),613.23,65.29,3336.13,402.85,65.69
Width,9.73,2.81,17.29,2.29,23.56

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,14,0.53,0.06,557,0.06
6-7um,85,3.22,0.50,3379,0.49
7-8um,104,3.94,0.93,4135,0.92
8-9um,135,5.12,1.78,5367,1.76
0-5um,0,0.00,0.00,0.00,0.00
5-10um,592,22.45,7.92,23536,7.82
10-15um,1831,69.43,73.15,72794,72
15-20um,207,7.85,18.09,8230,18
20-25um,3,0.11,0.61,119,0.61
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,251,9.52,4.61,9979,4.55
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

