List File,TT305.lst
Start Time,2016-10-28  14:28:03
Sampling Time,59 sec

Count,1925
Particles / ml,76016

Efficiency,8.5%
PPUI,2.98

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),88.83,19.60,328.97,37.66,42.40
Aspect Ratio,0.78,0.35,0.99,0.11,14.31
Circle Fit,0.71,0.03,0.92,0.11,14.93
Circularity (Hu),0.90,0.39,1.00,0.09,9.43
Compactness,1.83,1.01,12.79,0.81,44.56
Diameter (ABD),10.40,5.00,20.47,2.22,21.31
Diameter (ESD),12.14,5.82,29.05,2.28,18.76
Elongation,3.34,1.00,38.15,2.68,80.31
Geodesic Aspect Ratio,0.41,0.03,1.00,0.22,52.26
Geodesic Length,19.80,6.41,101.14,6.46,32.63
Geodesic Thickness,7.18,1.59,20.87,2.29,31.97
Image Height,36.46,20.00,68.00,5.06,13.88
Image Width,35.99,22.00,69.00,4.59,12.75
Intensity,146.80,80.81,193.10,18.10,12.33
Length,13.95,6.22,37.33,2.64,18.90
Perimeter,53.95,25.63,207.58,11.83,21.92
Roughness,1.29,1.04,2.48,0.18,14.02
Sigma Intensity,41.25,6.60,56.63,7.01,16.99
Sum Intensity,65344.33,15597.00,2.12e+005,26343.43,40.31
Transparency,0.15,0.04,0.49,0.06,41.27
Volume (ABD),670.91,65.29,4488.52,436.96,65.13
Width,10.12,2.52,22.14,2.23,22.00

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,3,0.16,0.02,118,0.01
6-7um,12,0.62,0.09,474,0.08
7-8um,40,2.08,0.46,1580,0.36
8-9um,100,5.19,1.64,3949,1.30
0-5um,0,0.00,0.00,0.00,0.00
5-10um,288,14.96,5.25,11373,4.15
10-15um,1448,75.22,72.21,57180,57
15-20um,177,9.19,19.35,6990,15
20-25um,7,0.36,1.99,276,1.58
25-30um,2,0.10,1.08,79,0.86
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,133,6.91,3.04,5252,2.41
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

