sample,date sampled,time acid in,time cadmium in,time mix done,aborbance time,absorbance 1,absorbance 2,nitrate,rep
st.0.A,,11:33,11:38,11:40,11:50,0.001,0.002,0,1
st.1.A,,,,,,0.02,0.02,1,1
st.2.A,,,,,,0.034,0.033,2,1
st.3.A,,,,,,0.044,0.046,3,1
st.4.A,,,,,,0.046,0.045,4,1
st.5.A,,,,,,0.064,0.065,5,1
st.7.A,,,,,,0.068,0.068,7,1
st.10.A,,,,,,0.125,0.127,10,1
st.20.A,,,,,,0.229,0.228,20,1
st.0.B,,12:04,12:10,12:11,12:21,-0.002,0,0,2
st.1.B,,,,,,0.015,0.014,1,2
st.2.B,,,,,,0.037,0.034,2,2
st.3.B,,,,,,0.033,0.033,3,2
st.4.B,,,,,,0.035,0.036,4,2
st.5.B,,,,,,0.065,0.065,5,2
st.7.B,,,,,,0.046,0.047,7,2
st.10.B,,,,,,0.116,0.114,10,2
st.20.B,,,,,,0.222,0.225,20,2
st.0.C,,12:41,12:47,12:48,12:58,-0.01,-0.011,0,3
st.1.C,,,,,,0.001,0.005,1,3
st.2.C,,,,,,0.032,0.025,2,3
st.3.C,,,,,,0.04,0.029,3,3
st.4.C,,,,,1:03,0.048,0.05,4,3
st.5.C,,,,,,0.049,0.052,5,3
st.7.C,,,,,1:04,0.078,0.086,7,3
st.10.C,,,,,1:05,0.125,0.119,10,3
st.20.C,,,,,1:07,0.274,0.271,20,3
