sample,date sampled,date measured,time cadmium in,time mix done,aborbance time,absorbance 1,absorbance 2,nitrate,rep
st.0.,2017-07-12,2017-07-12,,,,0.001,-0.001,0,A
st.1.,2017-07-12,2017-07-12,,,,0.014,0.014,1,A
st.2.,2017-07-12,2017-07-12,,,,0.03,0.03,2,A
st.2.5,2017-07-12,2017-07-12,,,,0.034,0.033,2.5,A
st.3.,2017-07-12,2017-07-12,,,,0.039,0.037,3,A
st.3.5,2017-07-12,2017-07-12,,,,0.058,0.058,3.5,A
st.4,2017-07-12,2017-07-12,,,,0.049,0.049,4,A
st.5,2017-07-12,2017-07-12,,,,0.061,0.06,5,A
st.6,2017-07-12,2017-07-12,,,,0.088,0.084,6,A
st.7,2017-07-12,2017-07-12,,,,0.089,0.087,7,A
