List File,TT254.lst
Start Time,2016-09-27  16:03:44
Sampling Time,1 min 5 sec

Count,2292
Particles / ml,82247

Efficiency,8.5%
PPUI,2.94

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),94.23,19.81,283.68,33.65,35.72
Aspect Ratio,0.67,0.27,0.99,0.16,23.69
Circle Fit,0.65,0.18,0.94,0.11,17.60
Circularity (Hu),0.87,0.40,1.00,0.08,9.51
Compactness,1.59,1.02,6.97,0.42,26.48
Diameter (ABD),10.80,5.02,19.01,1.84,17.08
Diameter (ESD),12.52,6.45,24.41,1.98,15.80
Elongation,2.52,1.00,19.85,1.46,58.06
Geodesic Aspect Ratio,0.49,0.05,1.00,0.21,43.45
Geodesic Length,18.33,6.83,76.00,6.11,33.32
Geodesic Thickness,8.00,1.74,19.26,1.81,22.68
Image Height,39.84,22.00,61.00,4.88,12.24
Image Width,33.39,22.00,64.00,5.91,17.71
Intensity,152.84,80.19,187.82,28.22,18.47
Length,15.16,7.06,27.68,2.16,14.24
Perimeter,52.65,27.33,159.65,11.11,21.11
Roughness,1.18,1.03,2.23,0.14,12.06
Sigma Intensity,26.98,2.44,57.24,18.01,66.78
Sum Intensity,70751.30,16260.00,1.92e+005,23236.12,32.84
Transparency,0.14,0.03,0.48,0.04,27.35
Volume (ABD),719.28,66.31,3594.30,408.49,56.79
Width,9.30,3.58,20.17,2.73,29.34

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,5,0.22,0.03,179,0.03
7-8um,23,1.00,0.21,825,0.19
8-9um,44,1.92,0.58,1579,0.52
0-5um,0,0.00,0.00,0.00,0.00
5-10um,148,6.46,2.20,5311,2.00
10-15um,1860,81.15,71.82,66745,65
15-20um,276,12.04,24.84,9904,23
20-25um,5,0.22,1.06,179,0.96
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,76,3.32,1.38,2727,1.26
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

